k,l2o,ldro_pep,lpep
1,33.26464127414994,36.50755926291684,33.32456043993822
2,13.910232370497173,10.559771710616786,10.56966324915619
3,2.88187527171756,2.8956561610110017,4.575986146382111
4,1.7591113489475536,2.527874515487535,2.2766846599816994
5,0.6936259516786483,0.42955500078070347,1.2174112558338053
6,0.07914130449071574,0.4957372405857891,0.6720838210752796
7,0.1840968102760163,0.1692321812463694,0.3944541310861258
8,0.35604056119079314,0.08808476525560345,0.23942787257713904
9,0.06728873701370193,0.181588448030121,0.15063233062732373
10,0.04016695756348427,0.2857746787281459,0.0861344321815489
11,0.05996167054444328,0.013924563973763378,0.055372722069369856
