k,l2o,ldro_pep,lpep
1,31.95800800928296,30.871726599939407,31.035414159470808
2,8.555590899156655,11.372172487668704,10.638608739005967
3,3.2221630931741583,1.7520760058430331,4.977098412983887
4,0.493479534071718,0.7042598767774559,2.5895667491084655
5,0.17230428417390833,0.3230231271141823,1.4320195421537913
6,0.1042317191792348,0.1583700341762606,0.8142269511265429
7,0.018169961684829608,0.09663116505862616,0.49087074540259434
8,0.005520452367887735,0.059857906794678506,0.3054705453987155
9,0.0020714625569805416,0.027171805201604064,0.19668676358182818
10,0.001216913785170558,0.0160029734941981,0.11575960768351878
11,0.000691568303094323,0.01102001240690543,0.07612343572156577
