eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.0,0.0,0.0
0.0001,0.016,0.0,0.0
0.0005,0.47,0.0,0.0
0.001,0.81,0.0,0.0
0.005,1.0,0.112,0.0
0.01,1.0,0.534,0.0
0.05,1.0,1.0,0.216
