eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.002,0.0,0.0
0.0001,0.027,0.0,0.0
0.0005,0.471,0.0,0.0
0.001,0.8,0.0,0.0
0.005,1.0,0.106,0.0
0.01,1.0,0.528,0.0
0.05,1.0,1.0,0.19
