k,l2o_t,ldro_pep_t,lpep_t
1,0.1420142359033859,0.1629275693318738,0.1475434623123611
2,0.2357381117705688,0.1134751270924122,0.1444800770716495
3,0.108670471250377,0.3802044861866727,0.138433897772025
4,0.493412405171544,0.2118234253451382,0.1413802786148093
5,0.15786319576934,0.1255048179633773,0.1432576624541446
6,0.1037410551917254,0.232873255829662,0.1477531465278092
7,0.6543500739447046,0.1441809293022936,0.1421416043382893
8,0.2299832892264728,0.1594629200129475,0.1402100979549209
9,0.134594000536029,0.2722878792941374,0.1358904924659046
10,0.1661725249521569,0.2171338077096922,0.1651164633303662
11,0.2084942150705089,0.0794754545103046,0.1381147484511788
