k,l2o,ldro_pep,lpep
1,32.01606440940668,31.074233852766685,31.127382457053194
2,8.642793986121335,11.341679181929946,10.620605880206424
3,3.1992517002968865,1.7459142104811745,4.952616385481669
4,0.4927785888199878,0.7039091655502019,2.571409957340325
5,0.17117529301773157,0.31937900453301593,1.4197396332932626
6,0.1029878587238064,0.15673844013693325,0.8062430387325096
7,0.018071786462845744,0.09536062380404006,0.48560920117667866
8,0.005423447862565196,0.059003224646443295,0.3019675294976312
9,0.0020109700228604518,0.026773652350609457,0.19430427366702277
10,0.0011750665369565526,0.015769823751525695,0.11426577004718458
11,0.0006641551687933421,0.010819753714486574,0.07509232109023153
