K,eps_idx,eps,alpha,mro_sol,solvetime,dro_feas_sol
16.0,0.0,1.0,0.1,0.11812392479887267,258.966783484,0.11812392479887267
16.0,1.0,3.1622776601683795,0.1,0.1190751197007808,233.630177708,0.1190751197007808
16.0,2.0,10.0,0.1,0.1210648279304665,269.310904399,0.1210648279304665
17.0,0.0,1.0,0.1,0.11415108228378824,329.857631059,0.11415108228378824
17.0,1.0,3.1622776601683795,0.1,0.11502055612274059,319.04993828,0.11502055612274059
17.0,2.0,10.0,0.1,0.11679568281685972,304.393838902,0.11679568281685972
18.0,0.0,1.0,0.1,0.11033173525428729,448.703959492,0.11033173525428729
18.0,1.0,3.1622776601683795,0.1,0.1111179096143614,400.057060592,0.1111179096143614
18.0,2.0,10.0,0.1,0.11269804047614147,407.460989252,0.11269804047614147
19.0,0.0,1.0,0.1,0.106494267973094,488.929319383,0.106494267973094
19.0,1.0,3.1622776601683795,0.1,0.10722204556147005,487.120175353,0.10722204556147005
19.0,2.0,10.0,0.1,0.10865544891157049,475.978030045,0.10865544891157049
20.0,0.0,1.0,0.1,0.1025964066205901,587.943560748,0.1025964066205901
20.0,1.0,3.1622776601683795,0.1,0.10325296986025999,581.057859141,0.10325296986025999
20.0,2.0,10.0,0.1,0.10456560198061594,558.123282287,0.10456560198061594
21.0,0.0,1.0,0.1,0.09885675830419131,751.772510135,0.09885675830419131
21.0,1.0,3.1622776601683795,0.1,0.09950932494463965,712.692351802,0.09950932494463965
21.0,2.0,10.0,0.1,0.10073169295529144,728.344699421,0.10073169295529144
22.0,0.0,1.0,0.1,0.09535640295360198,883.980401859,0.09535640295360198
22.0,1.0,3.1622776601683795,0.1,0.09598656400313887,929.579999034,0.09598656400313887
22.0,2.0,10.0,0.1,0.0971283399615791,824.218848356,0.0971283399615791
23.0,0.0,1.0,0.1,0.09178318889355136,1113.800440235,0.09178318889355136
23.0,1.0,3.1622776601683795,0.1,0.09235816191970306,1140.441930389,0.09235816191970306
23.0,2.0,10.0,0.1,0.09340673247950497,1081.266255955,0.09340673247950497
24.0,0.0,1.0,0.1,0.08845239926980056,1319.495258309,0.08845239926980056
24.0,1.0,3.1622776601683795,0.1,0.08898608126356913,1309.980980662,0.08898608126356913
24.0,2.0,10.0,0.1,0.08995301587245036,1335.445389,0.08995301587245036
25.0,0.0,1.0,0.1,0.08520658096567438,1559.738332857,0.08520658096567438
25.0,1.0,3.1622776601683795,0.1,0.08571529774926842,1631.569302554,0.08571529774926842
25.0,2.0,10.0,0.1,0.08664723593276404,1715.226330813,0.08664723593276404
