iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10
0,0.03149187702127301,0.002154720529574749,0.11397929198574275,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134
1,0.02954582645915442,0.0021547038093597992,0.07904016698012128,0.022366269833485285,9.999999999999159e-07,1.250002236084334,1.2500022360835856,1.2500022360822765,1.250002236080062,1.250002236076363,1.250002236070317,1.2500022360605452,1.2500022360441974,1.2500022360132004,1.2500022359352387,1.2500022354956968,1.0000066043713968e-06,0.2817545251311659,0.43404378278577876,0.5310648054093065,0.5987795940597987,0.6489243261244365,0.6876468540097571,0.7185008534533304,0.743692046589177,0.7646657175684849,0.7824092432280134
2,0.03134284907963771,0.0021543526957998036,0.07839095802046359,0.023952739075450757,2.097999999999987e-05,1.2500491939310168,1.2500492024961853,1.2500492118468187,1.250049211932946,1.2500492069985885,1.2500492046609013,1.2500492085507404,1.250049212150626,1.250049204439893,1.2500491814871564,1.2500491476958258,2.2002554134422424e-05,0.28177553139611866,0.43406479124915526,0.5310858114836242,0.5988005945440962,0.6489453207759435,0.6876678461689192,0.7185218482647692,0.7437130473348168,0.7646867231037812,0.7824092432280134
3,0.02882350330400348,0.0021536731492849273,0.00445112498709932,0.022353474767574946,4.095999999999993e-05,1.250140766388166,1.2501407559062114,1.250140701461328,1.2501405835576282,1.2501404085431655,1.2501401973160995,1.2501399821768608,1.2501397936815861,1.250139648550766,1.2501395451500863,1.2501394437052304,6.295035289831903e-05,0.2818164672011758,0.43410569548961686,0.5311266634917594,0.5988413724979663,0.6489860052174785,0.6877084265616148,0.718562329889415,0.7437534529977212,0.7647270862410913,0.7824092432280134
4,0.02924321552104482,0.002152663156408357,0.0038138749659992754,0.02277348771770589,6.0939999999999996e-05,1.2502770329387427,1.2502769521355561,1.2502767875114833,1.2502764833667805,1.2502760462327578,1.2502755138628558,1.250274960486827,1.2502744746154515,1.2502741153310153,1.2502738793815247,1.2502736538967358,0.00012388172753867758,0.2818773613767631,0.43416653777623,0.531187424149927,0.5989020198552125,0.6490465101897822,0.6877687721195338,0.718622522031834,0.7438135244454157,0.764787086637646,0.7824092432280134
5,0.02918971448788922,0.0021513205238455255,0.003878000017721206,0.022188579615380337,8.091999999999984e-05,1.2504577914589887,1.2504575416107409,1.250457245277964,1.25045679031204,1.2504561840150719,1.2504554844238036,1.2504547927607341,1.2504542198303683,1.2504538279572595,1.2504535898808076,1.2504533068538994,0.0002046888379599123,0.28195808882640616,0.43424719840141623,0.5312680054922253,0.5989825086822932,0.6491268987780215,0.6878490648249138,0.718702739849776,0.7438937022170076,0.7648672615585124,0.7824092432280134
6,0.029867759489427933,0.002149642261267484,0.00433487503323704,0.022602138929302497,0.0001008999999999999,1.2506831053913812,1.2506828024121914,1.250682443376967,1.2506819403458174,1.2506813224139424,1.2506806550088923,1.250680025818799,1.250679522651202,1.2506791871045932,1.2506789720905442,1.2506786184323315,0.0003054107366544844,0.28205878511480154,0.43434785469294657,0.5313686237277596,0.5990830948414355,0.649227462370314,0.6879496180220865,0.7188032971147232,0.7439942785962226,0.7649678675593274,0.7824092432280134
7,0.02811308310350316,0.002147645438580884,0.003866415994707495,0.02181717952459892,0.00012087999999999997,1.2509528027939882,1.2509521952961382,1.2509516220143853,1.2509508793901913,1.250949989194771,1.2509490409476944,1.2509481630808605,1.2509474876014273,1.2509470736944097,1.2509468403344932,1.2509463831244676,0.00042593737834801333,0.2821791689367192,0.43446811803207097,0.5314887502578635,0.5992030628368034,0.649347255206711,0.6880692359186964,0.7189227686544506,0.744113661795178,0.7650872331376706,0.7824092432280134
8,0.030026224267997583,0.0021453163091034694,0.0039000409888103604,0.023124577438235285,0.00014085999999999992,1.2512675727246647,1.2512667493178364,1.251266016449675,1.2512650737446944,1.251263918065438,1.2512626362406438,1.2512613721289367,1.2512602918935114,1.251259487998308,1.2512588811225922,1.251257979265562,0.0005666034952628257,0.28231973528877863,0.43460858673778413,0.5316291039748857,0.5993432738178596,0.6494872932603195,0.6882090788913766,0.7190624157702536,0.7442531414472165,0.7652265958870784,0.7824092432280134
9,0.029457607028383983,0.0021426543104204505,0.0043420419679023325,0.02268967214872461,0.00016083999999999998,1.2516270906117304,1.251625949482681,1.2516252704611281,1.251624351860898,1.2516231208816335,1.251621661059262,1.2516201185852658,1.251618659144179,1.2516173771147592,1.2516161916083701,1.2516145729081478,0.000727257717809053,0.2824802710308961,0.43476911475714114,0.5317896136260842,0.5995037324318,0.6496476635279558,0.688369326333346,0.719222516124519,0.7444130872554487,0.7653863960363392,0.7824092432280134
