iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9
0,0.034113060686821475,0.0029308002073408996,0.6159526670235209,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081
1,0.033849844177348716,0.002930777546328674,0.23496279102982953,0.02606018759355998,9.999999999999972e-07,1.2500022360683156,1.2500022360676533,1.2500022360665077,1.250002236064493,1.250002236060895,1.250002236054393,1.250002236042299,1.250002236017729,1.2500022359544536,1.2500022356013951,9.999994821067878e-07,0.2817545251241408,0.43404378277879846,0.5310648054023821,0.5987795940529088,0.648924326117452,0.687646854002191,0.7185008534432822,0.7436920465654482,0.7646647176173081
2,0.03464731131303349,0.0029307099424187447,0.2692913330392912,0.02669181436768741,2.980000000000002e-06,1.2500089014544544,1.25000890412959,1.2500089049378773,1.2500089061959991,1.2500089077191803,1.2500089085383015,1.2500089080785985,1.2500089069124065,1.2500089060790287,1.2500089049898497,3.98093092553498e-06,0.2817575071882957,0.4340467651733302,0.5310677882913445,0.5987825775370879,0.6489273100482335,0.6876498380027468,0.7185038371379108,0.7436950298162739,0.7646647176173081
3,0.03425298075923521,0.0029305973204583656,0.0035641250433400273,0.025816659538774524,4.960000000000007e-06,1.2500199815480066,1.2500199888653762,1.2500199968292167,1.2500200088308366,1.2500200217493334,1.2500200315903558,1.2500200359437785,1.2500200358876197,1.2500200345204766,1.250020031810613,8.936247542838021e-06,0.28176246477577765,0.4340517255692462,0.531072752588841,0.5987875461193031,0.6489322824795007,0.687654813148922,0.7185088136277303,0.7437000066017865,0.7646647176173081
4,0.03525650494476786,0.002930439426331132,0.0035258749849162996,0.02689992475333155,6.939999999999998e-06,1.2500355009473108,1.2500355143001733,1.2500355342870646,1.2500355659615403,1.2500356006007107,1.2500356287777614,1.2500356446698724,1.2500356495180813,1.2500356489806617,1.25003564405433,1.5877476141322087e-05,0.281769409271724,0.43405867535863624,0.5310797098646494,0.5987945116344386,0.648939255512803,0.6876617917826529,0.7185157954938052,0.7437069897134322,0.7646647176173081
5,0.033996174919936194,0.0029302365270185197,0.0035567079903557897,0.026037551655733574,8.919999999999989e-06,1.2500554280013843,1.250055460708546,1.2500554987335675,1.2500555557698856,1.2500556198184485,1.2500556753478307,1.2500557109547246,1.2500557258708624,1.2500557269914676,1.2500557159737837,2.4789836892325577e-05,0.2817783308417302,0.43406760427891483,0.5310886483969489,0.5988034611340048,0.6489482157742963,0.6876707609230842,0.7185247705664876,0.7437159676353436,0.7646647176173081
6,0.03636402157321177,0.0029299878026956545,0.00363370799459517,0.027384753771946633,1.0899999999999994e-05,1.2500798155166013,1.2500798729644982,1.2500799446800306,1.250080047141676,1.2500801607695287,1.2500802603689456,1.250080326993689,1.2500803578307258,1.2500803623098744,1.2500803450658404,3.569796176153652e-05,0.28178925131487853,0.4340785386814062,0.5310996001897421,0.5988144318154743,0.6489592042889382,0.6876817638069102,0.7185357829947185,0.7437269847347701,0.7646647176173081
7,0.035426067057025425,0.0029296937236170536,0.003602083947043866,0.026693820911924935,1.2879999999999999e-05,1.2501086274464757,1.2501087258235044,1.2501088450035256,1.2501090035062654,1.2501091787836598,1.2501093362329443,1.2501094468626937,1.250109503166771,1.250109516082474,1.2501094940154942,4.858502182794639e-05,0.2818021576615937,0.434091463407091,0.5311125461080416,0.5988274009594787,0.6489721962826166,0.6876947753073644,0.7185488085043007,0.7437400180852356,0.7646647176173081
8,0.0358291649729305,0.0029293549967640466,0.0034626669948920608,0.02778973025395298,1.4860000000000003e-05,1.2501419501866466,1.2501420811471269,1.2501422289154778,1.250142419636138,1.250142626785641,1.2501428053441335,1.250142918029318,1.2501429575409997,1.2501429423691504,1.2501428910608305,6.349052569182449e-05,0.28181707748380047,0.43410639519419875,0.5311274910170174,0.5988423591893277,0.6489871653444154,0.6877097500405552,0.7185637827512381,0.7437549868697346,0.7646647176173081
9,0.03349794658989458,0.002928973173404551,0.0034340000129304826,0.025812129557020946,1.6840000000000008e-05,1.2501796423248415,1.2501798090238205,1.2501799633436397,1.2501801500695497,1.2501803499118198,1.2501805181372478,1.2501806177928187,1.2501806435619747,1.2501806146857306,1.2501805440529679,8.034585178767099e-05,0.2818339468885686,0.43412326481302627,0.5311443579287959,0.5988592221525878,0.649004023265933,0.6877266020408275,0.7185806288621166,0.7437718282604233,0.7646647176173081
