K,obj,val,solvetime
1,obj_val,11457.708872239946,0.004496259
2,obj_val,6874.625327768558,0.000500163
3,obj_val,4544.601636596342,0.000806275
4,obj_val,3219.6094971153384,0.001089057
5,obj_val,2398.815996840348,0.00157829
6,obj_val,1856.3451025455158,0.002415596
7,obj_val,1479.4428144687336,0.003862505
8,obj_val,1207.021381084134,0.005927438
9,obj_val,1003.7319814475583,0.008648475
10,obj_val,847.9927362406427,0.011895355
11,obj_val,726.0298988147282,0.158382197
12,obj_val,628.7201688616398,0.105309543
13,obj_val,549.8268301280795,0.114464921
14,obj_val,484.9693002194781,0.137731887
15,obj_val,430.99746163660893,0.176629361
16,obj_val,385.5988945537805,0.212206257
17,obj_val,347.04493418845897,0.23045214
18,obj_val,314.02226239924624,0.249662452
19,obj_val,285.5185521170975,0.367311002
20,obj_val,260.743256488102,0.529909077
21,obj_val,239.0717126258826,0.632350562
22,obj_val,220.00501106585912,0.728879759
23,obj_val,203.1407675086398,0.777672887
24,obj_val,188.15152430814294,0.66389958
