tau,sigma,theta
0.1588015356410141,0.05575398365006821,1.0927170424112642
0.06368758143379961,0.08162076947397966,1.010696430186387
0.05422467533462509,0.10790717687652995,1.0902492142258644
0.0928176268051788,0.08218665393476043,0.9529119645985988
0.05225627766023639,0.15689429794447088,1.0892329604107254
0.05212196810452084,0.07948200391925894,1.0585204819172174
0.06817550718747571,0.057935562076428006,1.0492622067604869
0.05813002652090565,0.0697270775005945,0.9989712235144539
0.052987500312075775,0.13496445067607066,1.0454014429040568
0.06053178103452471,0.09444317758619131,0.8718990541253746
