iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3
0,90.9379195300317,39.83755744419155,36.26731696818024,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,79.14476574027597,39.83712797493053,4.323432439006865,120.08287953892723,9.999999999992654e-07,0.10126208560476202,0.10126335878291048,0.9999979995204276,0.10126335878258082,0.10126335878290475,0.9999979995204835,0.10126335878284377,0.10126335878288663,0.999997999520621,0.1012633587828423,0.10126335878274839,0.9999979995210702
2,82.3170938862722,39.75131391339983,4.67445751093328,119.32051336974362,0.0002009799999999999,0.10114429895437158,0.10139130276179843,0.9995961013134993,0.10137924114075267,0.10139129234053161,0.9995961315861985,0.10139075796053727,0.1013912810341511,0.9995961634373339,0.10139136643480649,0.10139126570123776,0.9995961967864323
3,83.83356549148372,39.582195514207015,0.30301020201295614,117.70067341584782,0.0004009599999999988,0.10095885620801756,0.10164673545664599,0.9987947649270813,0.10161426895459623,0.10164666339117409,0.9987948694278868,0.10164534826454297,0.10164658195960385,0.998795050607728,0.10164754030561207,0.10164642421920707,0.9987952478505079
4,81.6555441345844,39.32759964026383,0.2981856968253851,121.29445662827885,0.0006009399999999995,0.10064696675601376,0.10203026194547765,0.9975942131578833,0.10196085134808444,0.10203010362306593,0.9975940561573794,0.10202507591567098,0.10202992014100626,0.9975943317139012,0.1020303577758499,0.10202942655465157,0.9975946574006632
5,83.0185934572745,38.98942705606012,0.30389521084725857,118.1233502395335,0.0008009199999999984,0.10026424127769276,0.10254250452687141,0.995995708228045,0.10244153612550895,0.10254209041727995,0.9959946151982239,0.10253641164383843,0.10254158874860206,0.9959950838534845,0.1025440872657576,0.10253991165979742,0.9959957053676972
6,83.7035092412726,38.56765896279492,0.30081675900146365,119.95711131539575,0.001000899999999999,0.09980434607793794,0.10318448137286695,0.9940004762237659,0.1030577692017959,0.10318352472601695,0.9939969157251114,0.10318045918002848,0.10318234225860841,0.9939976430304525,0.10318970800371209,0.10317789468698961,0.9939987460953242
7,80.9570555929924,38.061023857095336,0.3007499158848077,125.58123030563017,0.0012008799999999997,0.09918945194236001,0.10395765584473143,0.9916095575382663,0.10372954569434212,0.10395586838152533,0.9916002155844076,0.10393658499403963,0.10395360316912927,0.9916007098854979,0.10395622594723788,0.10394382579336088,0.9916019745353138
8,82.64325098073498,37.47651331582905,0.2947167279198766,115.6408775135579,0.0014008600000000003,0.09862159876147494,0.10486288232280958,0.9888270528065959,0.10455464452960278,0.10485930878842166,0.9888075967745107,0.10483644352759952,0.10485467451616157,0.9888081813247873,0.10486371816090878,0.10483362288833144,0.9888103216373083
9,80.44887641175026,36.8067108276677,0.30234599695540965,123.89988896288354,0.0016008399999999992,0.09788534921397349,0.10590274637037513,0.9856530789849071,0.10545196910265871,0.10589648577580822,0.9856161660771263,0.1058539832634217,0.10588821871205562,0.9856161651561772,0.10589657600463549,0.10584846674184478,0.9856190079796868
