i,K,obj_val
9.0,12.0,0.11342815314406668
9.0,13.0,0.11025665365931414
9.0,14.0,0.10739956546760898
9.0,15.0,0.10480512427235628
9.0,16.0,0.10243283771609435
9.0,17.0,0.10025059976548956
9.0,18.0,0.09823262994226944
9.0,19.0,0.09635798052844469
9.0,20.0,0.09460944072335348
9.0,21.0,0.09297272213056573
9.0,22.0,0.09143584626131634
9.0,23.0,0.08998867889437928
9.0,24.0,0.08862257242966226
10.0,1.0,0.3166388172618634
10.0,2.0,0.23502938857953265
10.0,3.0,0.2079090476443255
10.0,4.0,0.18867220667528467
10.0,5.0,0.17425264750264952
10.0,6.0,0.16303708724021387
10.0,7.0,0.1540662370786886
10.0,8.0,0.1467199667547211
10.0,9.0,0.140580618337509
10.0,10.0,0.1353586746755553
10.0,11.0,0.13084855155921382
10.0,12.0,0.12690101808802157
10.0,13.0,0.12340557726681078
10.0,14.0,0.12027892188483708
10.0,15.0,0.11745720611397942
10.0,16.0,0.11489076348622407
10.0,17.0,0.11254042776446394
10.0,18.0,0.11037492497341378
10.0,19.0,0.10836899465437183
10.0,20.0,0.10650201616869592
10.0,21.0,0.10475699041376968
10.0,22.0,0.10311977537574796
10.0,23.0,0.10157850547803626
10.0,24.0,0.1001231457177415
11.0,1.0,0.272704083464061
11.0,2.0,0.19575993071836456
11.0,3.0,0.17527331486046066
11.0,4.0,0.15970201983425703
11.0,5.0,0.14753896200936617
11.0,6.0,0.13781182272434056
11.0,7.0,0.12986393962635462
11.0,8.0,0.12324422515325123
11.0,9.0,0.11763657759618024
11.0,10.0,0.11281507136695546
11.0,11.0,0.10861506562478035
11.0,12.0,0.10491435552288653
11.0,13.0,0.10162066479280613
11.0,14.0,0.09866320047674487
11.0,15.0,0.0959868497023263
11.0,16.0,0.09354812376751459
11.0,17.0,0.09131227726314844
11.0,18.0,0.08925123038521743
11.0,19.0,0.08734204892270986
11.0,20.0,0.08556581725507872
11.0,21.0,0.08390679223229747
11.0,22.0,0.08235176047279985
11.0,23.0,0.08088954482061528
11.0,24.0,0.07951062145939447
12.0,1.0,0.30984991570211623
12.0,2.0,0.23025133349822507
12.0,3.0,0.20774852226446322
12.0,4.0,0.19057241749471243
12.0,5.0,0.17714842173217654
12.0,6.0,0.16641546742896673
12.0,7.0,0.15765227567805318
12.0,8.0,0.1503609471426391
12.0,9.0,0.1441915874149437
12.0,10.0,0.13889358222645443
12.0,11.0,0.1342840416324501
12.0,12.0,0.13022710030068774
12.0,13.0,0.12662013103630915
12.0,14.0,0.1233844063742538
12.0,15.0,0.12045866477148398
12.0,16.0,0.11779460391794466
12.0,17.0,0.115353673612761
12.0,18.0,0.11310475912802648
12.0,19.0,0.11102248421610927
12.0,20.0,0.1090859516553992
12.0,21.0,0.1072777970520502
12.0,22.0,0.10558346985572714
12.0,23.0,0.10399068120569921
12.0,24.0,0.10248897568116988
13.0,1.0,0.3000151388982032
13.0,2.0,0.2219714048150136
13.0,3.0,0.19617449583932228
13.0,4.0,0.17773909861359966
13.0,5.0,0.163828529875769
13.0,6.0,0.15294982297752652
13.0,7.0,0.14421219102140947
13.0,8.0,0.13703488150018545
13.0,9.0,0.13102262366479484
13.0,10.0,0.12589908326558324
13.0,11.0,0.12146673243145639
13.0,12.0,0.1175814921312926
13.0,13.0,0.11413632084517428
13.0,14.0,0.11105033968360889
13.0,15.0,0.10826148588628237
13.0,16.0,0.10572145410448863
13.0,17.0,0.10339215170547178
13.0,18.0,0.10124317412022277
13.0,19.0,0.0992499793993612
13.0,20.0,0.09739254978727241
13.0,21.0,0.09565439762809519
13.0,22.0,0.09402181813091043
13.0,23.0,0.09248332141985627
13.0,24.0,0.0910291963714629
14.0,1.0,0.28968137700425567
14.0,2.0,0.21047683615937446
14.0,3.0,0.1879396090315687
14.0,4.0,0.17081533945362093
14.0,5.0,0.15742982506654052
14.0,6.0,0.14671381279399565
14.0,7.0,0.13794943127849613
14.0,8.0,0.13064295397270104
14.0,9.0,0.12444827763644517
14.0,10.0,0.11911795608481757
14.0,11.0,0.11447168504554112
14.0,12.0,0.11037567056787545
14.0,13.0,0.10672892385211558
14.0,14.0,0.10345399783713038
14.0,15.0,0.10049061869524167
14.0,16.0,0.09779123400900103
14.0,17.0,0.09531785099729123
14.0,18.0,0.09303975704363909
14.0,19.0,0.09093185303648454
14.0,20.0,0.08897341863157571
14.0,21.0,0.08714718618803685
14.0,22.0,0.08543863819229552
14.0,23.0,0.08383546848512602
14.0,24.0,0.08232716493205594
15.0,1.0,0.3176004692204293
15.0,2.0,0.24011952755872468
15.0,3.0,0.2094896426311526
15.0,4.0,0.1881247450880077
15.0,5.0,0.17225970473389385
15.0,6.0,0.1598620320498142
15.0,7.0,0.14985482256351046
15.0,8.0,0.14157771620289072
15.0,9.0,0.13459288792555563
15.0,10.0,0.1285976478293554
15.0,11.0,0.12337646216361103
15.0,12.0,0.11877219829088093
15.0,13.0,0.1146679178898724
15.0,14.0,0.11097496244263222
15.0,15.0,0.10762497653574632
15.0,16.0,0.1045644486561117
15.0,17.0,0.101750902245489
15.0,18.0,0.09915018987123159
15.0,19.0,0.09673453915118652
15.0,20.0,0.0944811200118098
15.0,21.0,0.09237097941726219
15.0,22.0,0.09038823904074011
15.0,23.0,0.0885194837241638
15.0,24.0,0.08675329017436467
16.0,1.0,0.32626441299596076
16.0,2.0,0.24648741274345576
16.0,3.0,0.21917464725804325
16.0,4.0,0.2002925899085478
16.0,5.0,0.18633708301736107
16.0,6.0,0.1755309583200268
16.0,7.0,0.16688391714842166
16.0,8.0,0.15977815165618192
16.0,9.0,0.15380571232478685
16.0,10.0,0.148687967968483
16.0,11.0,0.1442295687628502
16.0,12.0,0.14029034410669006
16.0,13.0,0.1367676062331195
16.0,14.0,0.13358468488115915
16.0,15.0,0.13068333231895796
16.0,16.0,0.1280185830381091
16.0,17.0,0.12555520715784962
16.0,18.0,0.12326521965191972
16.0,19.0,0.12112610251883171
16.0,20.0,0.11911951683921651
16.0,21.0,0.11723035691058148
16.0,22.0,0.11544604681107257
16.0,23.0,0.11375601113340517
16.0,24.0,0.11215127243595191
17.0,1.0,0.2910320802982507
17.0,2.0,0.21254395725542122
17.0,3.0,0.1901829897261225
17.0,4.0,0.17307286202885389
17.0,5.0,0.1596615207668722
17.0,6.0,0.1489065372335379
17.0,7.0,0.1401010296450468
17.0,8.0,0.1327573894676606
17.0,9.0,0.1265326345431176
17.0,10.0,0.12118058002318713
17.0,11.0,0.11652102138075807
17.0,12.0,0.11241959010009087
17.0,13.0,0.10877436269840426
17.0,14.0,0.10550679756936063
17.0,15.0,0.10255549020953528
17.0,16.0,0.09987179525365872
17.0,17.0,0.09741670632381569
17.0,18.0,0.09515859758947151
17.0,19.0,0.09307156516929319
17.0,20.0,0.09113419245908441
17.0,21.0,0.08932861937436962
17.0,22.0,0.08763983241960024
17.0,23.0,0.08605511724899514
17.0,24.0,0.08456363221705301
18.0,1.0,0.3206740237345082
18.0,2.0,0.2464348241188949
18.0,3.0,0.2200998014634174
18.0,4.0,0.20126620687881736
18.0,5.0,0.18694273782251752
18.0,6.0,0.17555430238644282
18.0,7.0,0.16623914282230584
18.0,8.0,0.15845279619898267
18.0,9.0,0.151826188178095
18.0,10.0,0.14610015231222834
18.0,11.0,0.14108779369973312
18.0,12.0,0.13665133671687457
18.0,13.0,0.13268717603651908
18.0,14.0,0.12911596444470747
18.0,15.0,0.12587590651667446
18.0,16.0,0.12291813074766428
18.0,17.0,0.12020343889807361
18.0,18.0,0.11769998372457252
18.0,19.0,0.11538158364409479
18.0,20.0,0.11322648145269582
18.0,21.0,0.1112164173950938
18.0,22.0,0.10933592797219799
18.0,23.0,0.107571809049264
18.0,24.0,0.1059127000705486
19.0,1.0,0.2791482655143578
19.0,2.0,0.19892782828973016
19.0,3.0,0.1758223774073786
19.0,4.0,0.15863045487653255
19.0,5.0,0.14543790770509663
19.0,6.0,0.1350412855391816
19.0,7.0,0.12665049172532827
19.0,8.0,0.11973317132428013
19.0,9.0,0.11392271616833477
19.0,10.0,0.10896101844578276
19.0,11.0,0.10466252689554706
19.0,12.0,0.10089121212919261
19.0,13.0,0.09754553107905256
19.0,14.0,0.09454841444743439
19.0,15.0,0.09184046977568011
19.0,16.0,0.0893752819042204
19.0,17.0,0.08711610714640433
19.0,18.0,0.08503351019338695
19.0,19.0,0.08310364951792132
19.0,20.0,0.08130701597898748
19.0,21.0,0.07962749285680215
19.0,22.0,0.07805164702462547
19.0,23.0,0.0765681884781812
19.0,24.0,0.075167553973435
20.0,1.0,0.26872236938229405
20.0,2.0,0.19200956204084307
20.0,3.0,0.1709054370707137
20.0,4.0,0.15489486853315543
20.0,5.0,0.14244717619342706
20.0,6.0,0.13253762727861307
20.0,7.0,0.1244739716138622
20.0,8.0,0.11778115883707124
20.0,9.0,0.11212725657433514
20.0,10.0,0.10727585132144979
20.0,11.0,0.10305537498753758
20.0,12.0,0.09933907280915022
20.0,13.0,0.09603171598440985
20.0,14.0,0.09306063681789528
20.0,15.0,0.0903695764117845
20.0,16.0,0.08791439213173596
20.0,17.0,0.08566001511295263
20.0,18.0,0.08357826151356545
20.0,19.0,0.08164623587411896
20.0,20.0,0.07984515115300028
20.0,21.0,0.07815944604394309
20.0,22.0,0.07657611715201118
20.0,23.0,0.07508420835158469
20.0,24.0,0.07367441644707562
21.0,1.0,0.27349690268577287
21.0,2.0,0.19725760754684601
21.0,3.0,0.17401642132971762
21.0,4.0,0.15705089242943765
21.0,5.0,0.1441013888212207
21.0,6.0,0.13391144254118914
21.0,7.0,0.1256914848504223
21.0,8.0,0.11891650067769793
21.0,9.0,0.11322666516186103
21.0,10.0,0.10836914498312722
21.0,11.0,0.10416231975394069
21.0,12.0,0.10047303894198484
21.0,13.0,0.09720186262177133
21.0,14.0,0.09427326356889609
21.0,15.0,0.091628989361901
21.0,16.0,0.08922347722583202
21.0,17.0,0.08702062955674988
21.0,18.0,0.08499150840339809
21.0,19.0,0.08311266159678804
21.0,20.0,0.08136489021009963
21.0,21.0,0.07973232910364597
21.0,22.0,0.07820175273721236
21.0,23.0,0.07676204520486207
21.0,24.0,0.07540379145773746
22.0,1.0,0.2914607765201535
22.0,2.0,0.20801580154148974
22.0,3.0,0.18134821187173122
22.0,4.0,0.1620467790738077
22.0,5.0,0.14754725504458038
22.0,6.0,0.13633319150673145
22.0,7.0,0.12743847274192815
22.0,8.0,0.12022357693922969
22.0,9.0,0.11425431854474649
22.0,10.0,0.1092286292345867
22.0,11.0,0.10493160575699134
22.0,12.0,0.10120715754442022
22.0,13.0,0.0979397532466692
22.0,14.0,0.09504240379085432
22.0,15.0,0.09244858398024447
22.0,16.0,0.09010669340277788
22.0,17.0,0.08797618811824659
22.0,18.0,0.08602483292331276
22.0,19.0,0.08422671879570681
22.0,20.0,0.08256081164894269
22.0,21.0,0.0810098757864498
22.0,22.0,0.07955966544659604
22.0,23.0,0.07819831074731082
22.0,24.0,0.07691584635846743
23.0,1.0,0.31656449568583384
23.0,2.0,0.23317013454826685
23.0,3.0,0.20605316879940277
23.0,4.0,0.18644437500229905
23.0,5.0,0.17156994518676805
23.0,6.0,0.1599083436700302
23.0,7.0,0.1505202731727246
23.0,8.0,0.14278802214724085
23.0,9.0,0.13629224189716754
23.0,10.0,0.1307407585989228
23.0,11.0,0.12592530300465316
23.0,12.0,0.12169420823468102
23.0,13.0,0.1179348419031529
23.0,14.0,0.11456204073122994
23.0,15.0,0.11151034039657626
23.0,16.0,0.10872865199199128
23.0,17.0,0.10617654774091323
23.0,18.0,0.10382162517748589
23.0,19.0,0.10163760693980428
23.0,20.0,0.09960295066185276
23.0,21.0,0.09769981807412975
23.0,22.0,0.09591330071986176
23.0,23.0,0.09423083147418077
23.0,24.0,0.09264173229540035
24.0,1.0,0.29756390575323294
24.0,2.0,0.22061472308226115
24.0,3.0,0.195247731091729
24.0,4.0,0.17738371597000252
24.0,5.0,0.16401290529416201
24.0,6.0,0.15358714447741212
24.0,7.0,0.1452264932179554
24.0,8.0,0.1383688558786067
24.0,9.0,0.132634380249471
24.0,10.0,0.12775802461028146
24.0,11.0,0.1235502139715598
24.0,12.0,0.11987239634340091
24.0,13.0,0.11662134709803829
24.0,14.0,0.1137188150535986
24.0,15.0,0.11110454475081744
24.0,16.0,0.10873147542247669
24.0,17.0,0.10656237519507411
24.0,18.0,0.10456744013402347
24.0,19.0,0.10272255406478908
24.0,20.0,0.10100800872514504
24.0,21.0,0.09940754973972654
24.0,22.0,0.09790765662508172
24.0,23.0,0.09649699319684502
24.0,24.0,0.09516598362426765
25.0,1.0,0.3342329217755984
25.0,2.0,0.2570040366575249
25.0,3.0,0.22928854972510224
25.0,4.0,0.20966839957771907
25.0,5.0,0.19488604548155872
25.0,6.0,0.18327383315503168
25.0,7.0,0.1738765506429196
25.0,8.0,0.16608448662334932
25.0,9.0,0.159488477758805
25.0,10.0,0.15380531716495896
25.0,11.0,0.14883407710436256
25.0,12.0,0.14442896826238763
25.0,13.0,0.14048203054444033
25.0,14.0,0.13691180573559195
25.0,15.0,0.13365576858067366
25.0,16.0,0.13066516480111948
25.0,17.0,0.12790142417976066
25.0,18.0,0.12533362426258457
25.0,19.0,0.12293666774252918
25.0,20.0,0.12068995291491588
25.0,21.0,0.11857639020448366
25.0,22.0,0.11658166518557703
25.0,23.0,0.11469367959400614
25.0,24.0,0.11290212252369689
26.0,1.0,0.29072807414194507
26.0,2.0,0.20826446344314564
26.0,3.0,0.18336209951863686
26.0,4.0,0.1650269010739457
26.0,5.0,0.1511293733939152
26.0,6.0,0.1403106361025488
26.0,7.0,0.13168415916358428
26.0,8.0,0.12465772370893952
26.0,9.0,0.1188264073942315
26.0,10.0,0.11390672596464729
26.0,11.0,0.10969574594859943
26.0,12.0,0.10604516404020464
26.0,13.0,0.10284453294109391
26.0,14.0,0.10001017110159388
26.0,15.0,0.09747767789000833
26.0,16.0,0.09519678255282121
26.0,17.0,0.09312773401881197
26.0,18.0,0.09123872734985411
26.0,19.0,0.0895040401055992
26.0,20.0,0.08790266301115246
26.0,21.0,0.08641728017823169
26.0,22.0,0.08503350011630778
26.0,23.0,0.08373926911452673
26.0,24.0,0.08252441891624351
27.0,1.0,0.3094318684539724
27.0,2.0,0.2346439141587166
27.0,3.0,0.21411687857516398
27.0,4.0,0.1979284190476986
27.0,5.0,0.18488080122284256
27.0,6.0,0.17414319145313317
27.0,7.0,0.16513673623061692
27.0,8.0,0.1574532452806679
27.0,9.0,0.1508004087846307
27.0,10.0,0.1449653107189287
27.0,11.0,0.13979016411734607
27.0,12.0,0.13515604110812734
27.0,13.0,0.1309718350700741
27.0,14.0,0.12716666855232633
27.0,15.0,0.1236845954602731
27.0,16.0,0.12048085041283474
27.0,17.0,0.11751915573159799
27.0,18.0,0.114769761402641
27.0,19.0,0.11220799990507685
27.0,20.0,0.10981320744450435
27.0,21.0,0.1075679092129323
27.0,22.0,0.10545719717726365
27.0,23.0,0.10346824985336234
27.0,24.0,0.10158995791842429
28.0,1.0,0.29907590808079115
28.0,2.0,0.21996867340611953
28.0,3.0,0.19533465235323727
28.0,4.0,0.17772070168643017
28.0,5.0,0.16438814878737673
28.0,6.0,0.15390962758428023
28.0,7.0,0.1454389600957675
28.0,8.0,0.13842926203373884
28.0,9.0,0.1325116322282917
28.0,10.0,0.12742998433862668
28.0,11.0,0.12300219936987644
28.0,12.0,0.11909586472742828
28.0,13.0,0.11561274184856318
28.0,14.0,0.1124785738855158
28.0,15.0,0.10963625742206512
28.0,16.0,0.10704117558571191
28.0,17.0,0.10465794969543879
28.0,18.0,0.10245813970617706
28.0,19.0,0.10041859071488979
28.0,20.0,0.09852022670564514
28.0,21.0,0.09674715866872519
28.0,22.0,0.09508601685169005
28.0,23.0,0.09352544491829434
28.0,24.0,0.09205571250439909
29.0,1.0,0.28412971885629335
29.0,2.0,0.20918787609518877
29.0,3.0,0.18646031445241837
29.0,4.0,0.16924325125229725
29.0,5.0,0.15590639575623585
29.0,6.0,0.1453517832901177
29.0,7.0,0.13683072777329122
29.0,8.0,0.12982552724735838
29.0,9.0,0.12397173159003769
29.0,10.0,0.11900799142139792
29.0,11.0,0.11474346384168296
29.0,12.0,0.11103638316756606
29.0,13.0,0.10777974852655867
29.0,14.0,0.10489160285661495
29.0,15.0,0.10230831777347163
29.0,16.0,0.09997987814388123
29.0,17.0,0.09786651879249711
29.0,18.0,0.09593629013784097
29.0,19.0,0.09416327183338782
29.0,20.0,0.09252624504664822
29.0,21.0,0.09100769381472315
29.0,22.0,0.08959304556422384
29.0,23.0,0.08827008755181645
29.0,24.0,0.0870285141693238
30.0,1.0,0.3089187540409569
30.0,2.0,0.2333688999418383
30.0,3.0,0.2067104331599388
30.0,4.0,0.18797438611362122
30.0,5.0,0.1739009356569738
30.0,6.0,0.16285090172371508
30.0,7.0,0.15390445614284443
30.0,8.0,0.14648182128047754
30.0,9.0,0.14019635290078347
30.0,10.0,0.13478136250456585
30.0,11.0,0.13004793701297768
30.0,12.0,0.12585903872281134
30.0,13.0,0.12211310194474817
30.0,14.0,0.11873335284599601
30.0,15.0,0.11566070116901261
30.0,16.0,0.11284890735164083
30.0,17.0,0.1102612327212747
30.0,18.0,0.10786807568066809
30.0,19.0,0.10564527586795319
30.0,20.0,0.10357287874678861
30.0,21.0,0.1016342227102201
30.0,22.0,0.09981525548637243
30.0,23.0,0.09810401585065465
30.0,24.0,0.09649023606077134
31.0,1.0,0.26785324252345455
31.0,2.0,0.19474284333764702
31.0,3.0,0.17408400934696333
31.0,4.0,0.15814736676342472
31.0,5.0,0.14557064108451406
31.0,6.0,0.1354316694367505
31.0,7.0,0.12709534135150896
31.0,8.0,0.12011772257311731
31.0,9.0,0.11418367011364083
31.0,10.0,0.1090656233602198
31.0,11.0,0.10459643902035248
31.0,12.0,0.10065129081762436
31.0,13.0,0.09713546353147534
31.0,14.0,0.09397600273535522
31.0,15.0,0.09111591747706232
31.0,16.0,0.08851009576140878
31.0,17.0,0.08612238540071954
31.0,18.0,0.0839234789636551
31.0,19.0,0.08188936121846802
31.0,20.0,0.08000015530568516
31.0,21.0,0.07823925515640151
31.0,22.0,0.07659266589661345
31.0,23.0,0.07504849711297323
31.0,24.0,0.07359656969045864
32.0,1.0,0.29937182618587066
32.0,2.0,0.219142225639792
32.0,3.0,0.1952439365255257
32.0,4.0,0.17723846440798072
32.0,5.0,0.1632521265459718
32.0,6.0,0.15210021217557032
32.0,7.0,0.143001669968202
32.0,8.0,0.13542748211685926
32.0,9.0,0.12901098770164385
32.0,10.0,0.12349212092200143
32.0,11.0,0.11868238509946447
32.0,12.0,0.11444236944095379
32.0,13.0,0.11066703589487212
32.0,14.0,0.10727588996982343
32.0,15.0,0.10420628348842384
32.0,16.0,0.10140876465882456
32.0,17.0,0.09884379209520025
32.0,18.0,0.0964793741039873
32.0,19.0,0.09428934648091572
32.0,20.0,0.09225209807936954
32.0,21.0,0.09034961515807913
32.0,22.0,0.08856675589832344
32.0,23.0,0.08689069331704832
32.0,24.0,0.0853104829098055
33.0,1.0,0.2807603428757509
