repeat,K,mean,worst,cvar_0.01,cvar_0.05,cvar_0.1
0,1,0.30044376047868204,0.3650759748182064,0.3647353594190458,0.3463661713977417,0.3369977208398157
0,2,0.22228716972067858,0.28476199080589165,0.2821775297596656,0.26514394065007046,0.25698741963205496
0,3,0.19798290813895683,0.2562722891849662,0.25390742179629333,0.23757769466416012,0.2303516873724135
0,4,0.1800890083799966,0.23540817825319554,0.2329808494288716,0.21805961644965638,0.21103093591401573
0,5,0.1663596969625233,0.21925855596466898,0.2167734617881266,0.2031390795446042,0.19620152528167692
0,6,0.15549865053475587,0.2062983406106651,0.20380671716110252,0.19125307878375714,0.18451144346754553
0,7,0.14669182225384816,0.19562763444873793,0.19316748904121586,0.18164013166862997,0.1751227487527931
0,8,0.1393974676335185,0.1866568906344862,0.18437161837802146,0.1736080774711795,0.16734496331400875
0,9,0.13324326628095207,0.17898078582460908,0.17688378490693601,0.1667709011862406,0.16078549531584962
0,10,0.12796688316266952,0.1723123628264151,0.17039402338709392,0.1609761628931412,0.1551518130075123
0,11,0.12337937775846562,0.16644363367828613,0.16469301633381772,0.15592228101344502,0.15024984455431672
0,12,0.1193418990927573,0.1612206237335227,0.1596266083049378,0.1514393445812154,0.1459121094939348
0,13,0.11575050548845009,0.15652714835092546,0.15526020124144768,0.14742197479122324,0.14202856193793795
0,14,0.11252605844651128,0.1522739992191981,0.15133313842415114,0.14378976002139449,0.138519609170651
0,15,0.10960736168786454,0.14839159019192288,0.14774694986689996,0.14048035105298146,0.13532378564605776
0,16,0.1069464149386986,0.14482485538116946,0.14445065907441268,0.13744469085984024,0.13239291572402703
0,17,0.10450507284366031,0.14152964478644825,0.14140347760521832,0.13464365942140216,0.12968872171553825
0,18,0.10225265439560753,0.13867461823129798,0.13857237625782542,0.13204567400896333,0.12718040540241746
0,19,0.10016420642379313,0.13624369003911416,0.13593031255905508,0.12962494601181623,0.12484289680791875
0,20,0.09821922437724837,0.13396414443185314,0.13345491898808948,0.12738374790226442,0.12265556783311027
0,21,0.09640069763677728,0.1318189986854311,0.1311275194699839,0.12531198554601558,0.1206012747247952
0,22,0.09469438836110058,0.1297939747747668,0.12893238302463023,0.12335904060722447,0.11866563646814099
0,23,0.09308828058170299,0.12787696781500982,0.12685615098491398,0.12151273679154022,0.11683648469694292
0,24,0.09157215492283388,0.12605763472423084,0.12488739279781468,0.1197626852083004,0.11510343984238025
1,1,0.30420742896690284,0.37061427144081005,0.36458885483193176,0.3497697639462619,0.34022991370346056
1,2,0.22604811535914426,0.28742471471389974,0.28520086207685874,0.26995547707370826,0.26014437019988834
1,3,0.20127832374509375,0.25879387048112223,0.258663841399721,0.2418908861852535,0.23373073364413227
1,4,0.18311885774695347,0.24036024730685632,0.2391144877942384,0.2217762982472436,0.21456139982293249
1,5,0.16920909310145732,0.22613391301531224,0.2239672195081607,0.2066047376306804,0.1998665129680653
1,6,0.15821137978203859,0.21462753939905846,0.21183637418354817,0.19476262292716026,0.18822547472411502
1,7,0.1492940912469118,0.20509192712516597,0.20187371892015266,0.18511549550782203,0.1787383671096583
1,8,0.14190618210705452,0.19702661994604195,0.19351618764219464,0.17708115473350644,0.17083961116191565
1,9,0.13566984221622735,0.1900840480013202,0.18637601668560633,0.17026229499116377,0.16418433328595597
1,10,0.13031934896849784,0.18401685333761422,0.18017927223695956,0.16438013820419226,0.1584482873406981
1,11,0.12566362283381577,0.17864530452419355,0.1747281572010015,0.15923445619304596,0.15343965515184543
1,12,0.12156243428749144,0.17383624801037514,0.16987689880704573,0.1546783417473444,0.14901451560660967
1,13,0.1179109370706321,0.16948924545080093,0.16551602192503628,0.15060190246205496,0.14505375530537015
1,14,0.11462938788185958,0.1655272536077839,0.16156186572973585,0.14692146549445792,0.14147608929044475
1,15,0.11165617786522454,0.16189024966797214,0.15794946367575977,0.1435722836725274,0.13821868043534763
1,16,0.10894301873072278,0.15853079390150374,0.15462761702342712,0.14050350885929427,0.13523644325847337
1,17,0.10645155848574184,0.15541088990603,0.15155542655527224,0.1376746641555492,0.132501372974205
1,18,0.10415096297096645,0.1524997281307637,0.14869981068174695,0.13505312567067296,0.1299641673207712
1,19,0.10201616116054989,0.14977204034009664,0.1460337021036631,0.13264285185819893,0.12760088323606147
1,20,0.10002655400684196,0.14720688305735527,0.14353471870384396,0.13040207213498703,0.12540224180717613
1,21,0.09816505188552037,0.1447867265522431,0.1411841708374254,0.12829717523848122,0.1233373554314808
1,22,0.0964173482536099,0.14249676439903194,0.13896631060691716,0.12631339325632582,0.12139168538469505
1,23,0.09477136533154897,0.1403243842914789,0.13686775750396796,0.12443823663781609,0.11955293427185051
1,24,0.09321682659298972,0.13825875816176644,0.13487705418489843,0.1226831182267624,0.11781061707979246
2,1,0.30459692651102593,0.37571709701660444,0.3659689526142885,0.3461940314415345,0.3386046022742763
2,2,0.22657519120901337,0.2960217750266969,0.28452128905410845,0.26731479527674057,0.2589749940070394
2,3,0.20189533824807424,0.2676881917182453,0.25653424674936887,0.2390592581651599,0.23210609412533287
2,4,0.18375746135483872,0.24722402486157008,0.2365847867380133,0.21922373469165715,0.21271905577999903
