iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2
0,11.205732995378149,0.05723120857124755,0.19995529198786244,,,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,11.205732995378149,0.0572312430722231,0.33510783297242597,17.27003839309505,9.999999999999972e-07,1.2500022360697243,1.2499977639322701,1.2499977639322681
2,11.205733542414627,0.05723134588403408,0.28858837502775714,17.26999995507112,2.980000000000002e-06,1.2500088995670449,1.2499911004652786,1.2499911004661868
3,11.205735172493387,0.05723151700376703,0.002639333950355649,17.26988279439631,4.960000000000007e-06,1.2500199905516247,1.2499800096140803,1.2499800096230338
4,11.205737885343138,0.057231756425528094,0.0023118340177461505,17.269688923023832,6.939999999999998e-06,1.2500355090718125,1.2499644914592012,1.2499644915000623
5,11.205741680474912,0.05723206414188123,0.002359582984354347,17.26941457995641,8.919999999999989e-06,1.250055455267382,1.249944546046019,1.249944546174413
6,11.205746557192525,0.057232440142979804,0.002142790996003896,17.26906520492487,1.0899999999999994e-05,1.2500798293284854,1.2499201734301861,1.2499201737537817
7,11.205752514560984,0.05723288441599974,0.0020973749924451113,17.268634764599373,1.2879999999999999e-05,1.2501086314679284,1.249891373707401,1.249891374410375
8,11.205759551385597,0.05723339694578438,0.0024859579862095416,17.26812944970627,1.4860000000000003e-05,1.2501418619777185,1.2498581469605639,1.249858148334219
9,11.205767666204393,0.05723397771450393,0.0022830420057289302,17.267545816055296,1.6840000000000008e-05,1.250179521218664,1.2498204932736356,1.2498204957507777
10,11.205776857267535,0.057234626701582865,0.0023146249586716294,17.266884211760175,1.8819999999999986e-05,1.2502216096256915,1.249778412728662,1.2497784169224928
11,11.205787122524953,0.05723534388361013,0.0021807089797221124,17.266145011155356,2.079999999999999e-05,1.2502681277141268,1.2497319054026128,1.2497319121504604
12,11.205798459608644,0.057236129234508056,0.002251708006951958,17.265328078059042,2.2779999999999995e-05,1.2503190761015794,1.2496809713484232,1.2496809817596137
13,11.20581086582314,0.057236982724745554,0.002368916990235448,17.264434458203965,2.476e-05,1.2503744554628995,1.249625610639973,1.2496256261493024
14,11.205824338126376,0.057237904321660156,0.0021613340359181166,17.26346119295427,2.6740000000000005e-05,1.2504342665718495,1.2495658233395888,1.2495658457613652
15,11.20583887310564,0.05723889398999684,0.0023193329689092934,17.26241240491616,2.8719999999999996e-05,1.2504985103346498,1.2495016094599876,1.2495016410498665
16,11.20585446699236,0.05723995169128667,0.0025175829650834203,17.261283974016376,3.07e-05,1.2505671877632216,1.2494329689972743,1.2494330125138537
17,11.20587111563232,0.057241077383267475,0.0025730410125106573,17.260080744969038,3.2680000000000006e-05,1.2506402999492545,1.2493599019584603,1.2493599607323407
18,11.20588881446415,0.057242271020565505,0.0022909999825060368,17.25879819198332,3.466000000000001e-05,1.2507178481161325,1.2492824083133782,1.2492824863154544
