i,K,obj_val,grad_sq_norm
0.0,1.0,38.02519170601502,229.69456642510076
1.0,1.0,37.323908667463854,227.5840216529072
2.0,1.0,38.26936585574062,245.49051944265312
3.0,1.0,38.66312722766143,246.73531380238992
4.0,1.0,39.58664182454373,266.89093539684944
5.0,1.0,40.15403805702217,242.03179258092592
6.0,1.0,39.16546538232289,228.5624894582762
7.0,1.0,36.973382867288315,233.40503161470622
8.0,1.0,35.23213897537938,218.2302310155015
9.0,1.0,40.99820831831056,246.95933115602048
10.0,1.0,35.86547146517781,226.1343402581667
11.0,1.0,42.728938370214436,253.38289867253684
12.0,1.0,39.878204147638506,240.94901475257765
13.0,1.0,39.19680465235129,222.45149375432132
14.0,1.0,35.28889222652303,218.29892206789296
15.0,1.0,40.48666027157331,249.30623653743697
16.0,1.0,37.89148570130524,223.6175238168617
17.0,1.0,40.50677582585214,249.07978558489336
18.0,1.0,41.61673561091521,254.93428683747274
19.0,1.0,35.7429861606609,197.06829508595587
20.0,1.0,43.44723844193492,275.6283064572043
21.0,1.0,42.937875545406726,252.22538389922678
22.0,1.0,34.71793772716397,197.14845947665233
23.0,1.0,37.95336108314987,249.4587617642871
24.0,1.0,35.677351040183694,226.63815345039754
25.0,1.0,41.18809537997313,264.3909616539703
26.0,1.0,39.47055731116195,237.16245060926678
27.0,1.0,42.70882199352058,267.5226844552466
28.0,1.0,37.698067407683226,233.3898683216531
29.0,1.0,35.5416784223433,214.45511092273085
30.0,1.0,41.17098824825206,263.94974532628936
31.0,1.0,40.387520698758486,254.56866135999252
32.0,1.0,40.18154756518837,254.84623293097368
33.0,1.0,39.80771886681906,230.28727451178338
34.0,1.0,36.90096015166347,228.015176021952
35.0,1.0,36.14666022259685,210.46767038760325
36.0,1.0,38.74908426351283,233.64007715447647
37.0,1.0,36.34815397799133,215.77075987956476
38.0,1.0,42.18347534643824,255.90769105569743
39.0,1.0,37.77660207385376,234.4988939512454
40.0,1.0,37.53602070071597,232.67416924551142
41.0,1.0,45.053184671331394,296.05334942594135
42.0,1.0,37.04552093430298,213.45603467427492
43.0,1.0,40.172686581380354,266.57249553597705
44.0,1.0,37.80244471350286,219.93908445672983
45.0,1.0,39.18029980317871,232.1109343221343
46.0,1.0,43.97673952384504,269.1222964310947
47.0,1.0,39.60419155242786,245.2835576380363
48.0,1.0,35.21092754902828,192.20475218127288
49.0,1.0,41.338238841660875,249.31433207602643
50.0,1.0,41.280891426743196,236.85245038886245
51.0,1.0,40.06464866689716,256.6552929161954
52.0,1.0,40.55620860642677,267.40457685242893
53.0,1.0,39.199231097624356,238.30267269052976
54.0,1.0,38.536369894356845,230.12709455806558
55.0,1.0,35.58330866861671,217.09143204728267
56.0,1.0,40.48950040901555,228.9602839168215
57.0,1.0,38.597491889815274,229.40149921473852
58.0,1.0,38.892602256364555,231.88120501301236
59.0,1.0,37.546113267490675,214.81936908265914
60.0,1.0,37.24542186770609,206.48292076756772
61.0,1.0,39.115828921252294,249.62926449003038
62.0,1.0,36.406583976185104,221.90874045278616
63.0,1.0,40.92999282995983,232.79589633475103
64.0,1.0,41.39239774388846,244.41789928266184
65.0,1.0,38.741531261582956,218.39465564930057
66.0,1.0,38.063636596637856,228.7636394323076
67.0,1.0,37.32430000032897,234.43230097200447
68.0,1.0,38.228402757225496,217.59907722492267
69.0,1.0,40.087969007666985,240.7426703182809
70.0,1.0,35.47755291979763,208.64907351433428
71.0,1.0,40.14439619411763,233.58837628553138
72.0,1.0,35.28536738254276,200.42550206595433
73.0,1.0,42.88595581368872,247.02930710599395
74.0,1.0,36.79046646323834,225.93018815837644
75.0,1.0,38.22987593008726,236.20358136466646
76.0,1.0,40.14499997632929,248.37893956800724
77.0,1.0,37.167630538255466,212.6003835414805
78.0,1.0,38.12312217952448,231.48974539798346
79.0,1.0,38.26564499694997,215.39247112514954
80.0,1.0,39.575297563863316,239.54112975704874
