iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,beta0,beta1,beta2
0,0.11442698035141746,0.0513697654051916,0.1178077090298757,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195
1,0.1235851399152505,0.051369607380744496,0.0746320000034757,0.08735276401719612,9.999999999992654e-07,1.2500022366062866,1.2500022366059824,1.2500022366041983,1.0002402139540982e-06,0.28175452536510226,0.43404278278030195
2,0.11459474162917634,0.05133792275587734,0.07561491703381762,0.08191642738792002,0.0002009799999999999,1.2504506506040685,1.2504508940682062,1.2504509466184133,0.00020151487511472246,0.2819551528378216,0.43404278278030195
3,0.11839368322434266,0.05127466892716202,0.001644000003580004,0.08586963966331615,0.0004009599999999988,1.2513466561418325,1.2513472960498837,1.2513472925823612,0.0006020807143579359,0.2823558961971862,0.43404278278030195
4,0.1223566027712899,0.05117986137899803,0.0017980409902520478,0.08636507246806366,0.0006009399999999995,1.2526912229809606,1.2526927499348037,1.252692869939716,0.0012029252567927313,0.2829571402632338,0.43404278278030195
5,0.11654346294289422,0.051053823663033925,0.001773916999809444,0.08333060444825958,0.0008009199999999984,1.254482497367676,1.2544846720592606,1.2544845678484762,0.002002863491039928,0.283757452792026,0.43404278278030195
6,0.1187207334948745,0.050896476434555145,0.0015112909604795277,0.08591595865159796,0.001000899999999999,1.2567245458469463,1.256727194890813,1.256725967073327,0.0030033471719025616,0.28475830931399165,0.43404278278030195
7,0.11825366564461315,0.05070806111305198,0.0015844580484554172,0.08529676737292433,0.0012008799999999997,1.2594177631214174,1.2594202742448972,1.2594173660187942,0.0042039937259680015,0.2859592561435185,0.43404278278030195
8,0.11648204397656202,0.0504890548313909,0.0014429579605348408,0.08381248716340324,0.0014008600000000003,1.2625613273390335,1.2625604422636487,1.2625550773408705,0.005603750159341864,0.28735827223503796,0.43404278278030195
9,0.12043507283170418,0.05023932549119862,0.001387458003591746,0.08561869631662082,0.0016008399999999992,1.2661603099556706,1.2661555931095119,1.2661475386557486,0.007204240348180762,0.2889582937703921,0.43404278278030195
10,0.11743763066767254,0.04995932225428087,0.0017534579965285957,0.08566574865877254,0.0018008199999999981,1.270217771811816,1.2702034702685463,1.2701899371174703,0.009005947600303965,0.2907577481603097,0.43404278278030195
11,0.1156086145041654,0.049649632207216694,0.0014733750140294433,0.08340717772989661,0.0020007999999999988,1.2747280342249825,1.2747041780687687,1.2746826775693731,0.01100552802208487,0.2927560249391627,0.43404278278030195
12,0.11542297438914291,0.04931051321632753,0.001745041983667761,0.08392707271009431,0.0022007799999999994,1.2796955095627567,1.279661173327073,1.2796268701989322,0.013203945495565382,0.2949539852934296,0.43404278278030195
13,0.11426423404790038,0.04894259653947234,0.001530667010229081,0.08297459523844684,0.002400759999999999,1.2851196694784788,1.2850723670480912,1.2850209649648188,0.01559976592957715,0.2973500207195896,0.43404278278030195
14,0.11629145322099571,0.04854618698391785,0.001743124972563237,0.08355636616284265,0.00260074,1.2910065148548049,1.2909407188385138,1.290867138038152,0.018194460023539746,0.2999447567301523,0.43404278278030195
15,0.11285275829778606,0.048122370954896736,0.0016359160072170198,0.08091783158675361,0.0028007199999999996,1.2973461838544686,1.2972608566663943,1.2971607836976151,0.020982452720431723,0.30273508188906406,0.43404278278030195
16,0.1135641456494422,0.04767165058599843,0.0021485830075107515,0.0817107962576302,0.0030007000000000002,1.3041489933943968,1.3040305458302441,1.3038970309825726,0.0239667811160945,0.3057194677497454,0.43404278278030195
17,0.12341567941872456,0.04719287331364463,0.0017033329932019114,0.08544986735803688,0.00320068,1.3114368627614683,1.3112807904153236,1.3111092102054733,0.0271560106998057,0.30891068125561955,0.43404278278030195
18,0.11002339331200975,0.046688397552376346,0.0016977500054053962,0.08185154988192749,0.0034006600000000007,1.319194966319268,1.3189842678921315,1.3187592708761038,0.03054177585603734,0.3122961938676468,0.43404278278030195
19,0.11681417391589,0.046157811865082464,0.0019736249814741313,0.08397426488046372,0.0036006399999999996,1.3274410280609588,1.3271579629977743,1.3268685005064889,0.034130261735058134,0.31588277945166604,0.43404278278030195
20,0.115405206713772,0.045602028425177396,0.0017975830123759806,0.0836376202468215,0.0038006199999999993,1.3361778262998587,1.3357990978667635,1.3354287481898799,0.037921067467249714,0.31966870566640787,0.43404278278030195
21,0.11421161789388704,0.04502180184250188,0.001616584020666778,0.08275113283834273,0.0040006,1.3454016260624457,1.344913538101079,1.3444431207761909,0.041910787198628466,0.32365563395672664,0.43404278278030195
22,0.1135296183216149,0.04441828142005172,0.0015320000238716602,0.08236123293198225,0.004200579999999999,1.3551170123892664,1.3544906025148382,1.3539012336976097,0.04609958253202749,0.32783872718749413,0.43404278278030195
23,0.11390545428673773,0.04379232875305595,0.001593249966390431,0.0818818913704914,0.0044005599999999995,1.3653252656316894,1.3645322039131205,1.3637988497899005,0.05048590287512268,0.3322181986288839,0.43404278278030195
24,0.10407052640502353,0.04314722450828343,0.0014749999972991645,0.07736103411427073,0.004600539999999999,1.3759934632743704,1.3749975157070835,1.3740888362232606,0.05505330589712875,0.3367759602280708,0.43404278278030195
25,0.11097651884885484,0.04248121714999642,0.0015185830416157842,0.0801955296158134,0.00480052,1.3871519561236147,1.385936516633372,1.3848270364032165,0.05981333329599894,0.3415329583048165,0.43404278278030195
26,0.10934783105918239,0.04179524902196841,0.0016160830273292959,0.08140424843249827,0.0050005,1.3988260712442468,1.3973366698746357,1.3959840678560573,0.06477434463470312,0.3464845826639512,0.43404278278030195
27,0.10779972334218653,0.04109115121972891,0.0015124590136110783,0.0802497479819446,0.0052004799999999995,1.411013287980234,1.4091762559382175,1.4075319801783264,0.0699326714723891,0.35162177225672336,0.43404278278030195
28,0.11017596188435697,0.040368942438998405,0.0015264999819919467,0.08034942780046693,0.00540046,1.423717924005908,1.421478522060264,1.4194961976403997,0.0752883346998151,0.3569539510792589,0.43404278278030195
29,0.1066234245989815,0.03963027891638949,0.001555625000037253,0.07818470970133512,0.00560044,1.4369187640173888,1.4342387740795763,1.4318729473136067,0.0808302030124866,0.36247817487991857,0.43404278278030195
30,0.1051665094032761,0.03887656342553623,0.001636750006582588,0.07785953414469786,0.00580042,1.450624080087211,1.4474424643302422,1.444630421844622,0.08655932225539217,0.3681890802161697,0.43404278278030195
31,0.10950818953334203,0.03810833918521296,0.001734916993882507,0.07819243050283643,0.0060003999999999995,1.4648495619366801,1.4610878103909752,1.4577776345765199,0.09247965532809045,0.37408674436031114,0.43404278278030195
32,0.10447262362209596,0.03732764965386486,0.0016068749828264117,0.07621067077856303,0.00620038,1.4795765695329874,1.4751582386089437,1.4712860697952646,0.0985807343531941,0.38016380959163976,0.43404278278030195
33,0.11109302067396475,0.03653257165886988,0.0015162500203587115,0.07962325734810051,0.00640036,1.4948640687802546,1.4897024933623932,1.4851996404096812,0.1048855334564634,0.38644310065657966,0.43404278278030195
34,0.09924194491671771,0.035728452408983015,0.0014823329984210432,0.07409039544640883,0.00660034,1.5106398312301317,1.504637997060404,1.4994196287237267,0.11136045480796998,0.39288864091261644,0.43404278278030195
35,0.09506899609611051,0.03491826795352277,0.0018382499692961574,0.07075169747518492,0.00680032,1.5268621123103858,1.5199257444113372,1.513901812050653,0.11798575791698093,0.39948366852826206,0.43404278278030195
36,0.09969619480643731,0.03410085559509679,0.0015551660326309502,0.0727631400625424,0.007000299999999999,1.5435824861027705,1.5355886434859836,1.528676451464872,0.12478032308903889,0.40624113022807246,0.43404278278030195
37,0.09666212081406544,0.033277095934084774,0.0015179170295596123,0.07219324123626851,0.00720028,1.5608033311316503,1.5516274481360632,1.5437237756732343,0.13174299047450505,0.4131626493204894,0.43404278278030195
38,0.09362570912336134,0.03244965298135377,0.0018522919854149222,0.07026608307865757,0.0074002600000000005,1.578508155413399,1.5679902556789507,1.5589778456388308,0.1388638962679779,0.4202285490953283,0.43404278278030195
39,0.09625071126774302,0.03161902337754475,0.0014780840137973428,0.06944032555535347,0.007600239999999999,1.5966930711148375,1.5846852618122442,1.5744548262569547,0.14613950925189606,0.427443156619482,0.43404278278030195
40,0.09580144601451905,0.03078436652700926,0.001563000027090311,0.0713813644695805,0.00780022,1.615416631939517,1.601727156247891,1.5901414173132178,0.15359174594180203,0.43481901186203825,0.43404278278030195
41,0.09256270951972802,0.02994776347379431,0.0018629170372150838,0.06878753811870356,0.0080002,1.634633941640047,1.6191029190389719,1.6060303548423864,0.16119956345379477,0.44234828943313304,0.43404278278030195
42,0.09689778219194856,0.02910788808316561,0.001541875011753291,0.07090157467814538,0.00820018,1.654409264255198,1.636841759602294,1.6221350360263775,0.1689868929822569,0.45004964027555283,0.43404278278030195
