K,obj,val,solvetime
1,grad_sq_norm,32.24066356411408,0.026824178
2,grad_sq_norm,26.11493703934513,0.000611456
3,grad_sq_norm,21.153099377882047,0.001018207
4,grad_sq_norm,17.134009405211724,0.00155655
5,grad_sq_norm,13.878548446414719,0.002309707
6,grad_sq_norm,11.241624259153564,0.003600905
7,grad_sq_norm,9.105715640657873,0.005201911
8,grad_sq_norm,7.375629597941587,0.007353723
9,grad_sq_norm,5.974260019918213,0.010867336
10,grad_sq_norm,4.83915062204725,0.016190137
11,grad_sq_norm,3.9197119963638634,0.021689566
12,grad_sq_norm,3.174965818968679,0.063504846
13,grad_sq_norm,2.571722757804973,0.063647932
14,grad_sq_norm,2.083095137393722,0.081387551
15,grad_sq_norm,1.6873058433998958,0.092753136
16,grad_sq_norm,1.3667188600339475,0.119847159
17,grad_sq_norm,1.107042290193532,0.167484321
18,grad_sq_norm,0.8967041677662616,0.196366214
19,grad_sq_norm,0.7263304370088411,0.223734265
20,grad_sq_norm,0.5883275794831155,0.226863044
21,grad_sq_norm,0.4765450720364456,0.2929431
22,grad_sq_norm,0.38600155517195445,0.328815163
23,grad_sq_norm,0.3126614380681139,0.471275229
24,grad_sq_norm,0.25325553745284274,0.471569686
25,grad_sq_norm,0.20513718690717223,0.591451784
26,grad_sq_norm,0.16616105164795775,0.6123787
27,grad_sq_norm,0.1345904313065487,0.704094827
28,grad_sq_norm,0.10901829961327704,0.804440113
29,grad_sq_norm,0.08830483000440495,0.965253805
30,grad_sq_norm,0.07152659289200257,0.929600899
