iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4
0,76.29809048353252,21.6646958340055,4.081613081973046,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,66.8104864009545,21.664183894195858,5.033727851929143,130.15984151211595,9.999999999992654e-07,0.10126208560472694,0.10126335878291012,0.9999979995204442,0.101262085604777,0.10126335878290511,0.9999979995204757,0.10126335878258845,0.10126335878289106,0.9999979995205515,0.10126335878283081,0.10126335878280969,0.9999979995207278,0.1012633587828258,0.10126208560497103,0.9999979995212955
2,69.35262348492236,21.561973114700095,5.22217994579114,128.48856433411467,0.0002009799999999999,0.10113622749715225,0.10139133330165968,0.9995960037255995,0.10114568606874431,0.1013913236156359,0.99959603150858,0.10138107046569626,0.10139131290841262,0.9995960602319296,0.1013907605619647,0.1013912970601223,0.999596090212233,0.10139135345550399,0.10113421721678767,0.9995961215692052
3,70.5256923592835,21.3607749319433,0.4441912688780576,126.20258502091764,0.0004009599999999988,0.10089258455898915,0.10164690779484341,0.9987942151591322,0.10097211091427123,0.10164685513125239,0.9987943746121271,0.10161839343936749,0.10164677656917787,0.998794475597705,0.1016453294931342,0.10164664344395968,0.9987946501576289,0.10164747861831373,0.10087934619860633,0.9987949175757262
4,68.78996211104804,21.05625747836571,0.4674187528435141,131.2220212144444,0.0006009399999999995,0.10052161733147585,0.10203051352327104,0.9975934610028485,0.10067288631591725,0.10203045462449715,0.9975936473704776,0.10196910607345437,0.10203026894243372,0.9975934862724298,0.10202507041137739,0.10202991494683053,0.997593750082487,0.10203034492150437,0.10049772751831919,0.9975945492846566
5,69.78244027253031,20.65022488848489,0.4599474959541112,127.16000672157521,0.0008009199999999984,0.10003324591310879,0.10254294082059649,0.9959945127317064,0.10031473396711799,0.10254287624165523,0.9959947142274239,0.10245362050755616,0.10254235403997133,0.9959936450963185,0.10253644796237363,0.10254122021185885,0.9959941084655549,0.10254430486261232,0.0999896415935775,0.9959965289659802
6,70.28956362838775,20.140779845067353,0.4429770312272012,129.489940937012,0.001000899999999999,0.09942679389430427,0.1031851424227406,0.9939989626691056,0.09989273342484105,0.10318513343961153,0.9939989733579523,0.10307356843629555,0.10318388014970932,0.9939955180577492,0.10318063888020748,0.10318099985463268,0.9939962663806499,0.10319059625775932,0.09935554240812264,0.9940024020659759
7,68.03449361550459,19.522447369622867,0.4456188620533794,137.27714303644402,0.0012008799999999997,0.09868742616593905,0.10395796975341372,0.9916100871497381,0.09930829383753079,0.1039583381042221,0.9916088341600349,0.10375845667064686,0.10395587839321141,0.9915997034412329,0.10393782921783402,0.10394982574830886,0.9916002626822062,0.10395947190770184,0.09859557676594359,0.9916131348092557
8,69.16008061883632,18.8045605982506,0.44589642295613885,124.93363343373387,0.0014008600000000003,0.09785827326791961,0.10486314246940695,0.9888293881992666,0.09880426268946951,0.10486397862987494,0.9888263530593007,0.10459486129869881,0.10485897401847846,0.9888073999603653,0.10483875909645803,0.10484604885114356,0.9888081734890412,0.10486995192732114,0.09770994233822648,0.9888341387956779
9,67.30748850289413,17.97130954408632,0.44517405005171895,136.01353622002466,0.0016008399999999992,0.09689603533813015,0.10590216571877982,0.9856611545790149,0.0981281274560788,0.10590403994285306,0.9856541824506712,0.10551323662802582,0.1058951373169272,0.9856181989010103,0.105858956556139,0.10587129866425854,0.9856185854530836,0.10590927670695213,0.09669912861590903,0.9856657461035789
10,66.81051139219646,17.02054227535172,0.4547747860196978,146.29489525878657,0.0018008199999999981,0.09579447148318046,0.10707615655170517,0.9821121378421923,0.09725984326710939,0.10708004105435769,0.9820976692214228,0.10640113854923725,0.10706545904118754,0.9820338479501048,0.10696882066567029,0.10702492893058271,0.9820325157367701,0.10706542556297048,0.09556364870002966,0.9821120770378015
11,65.21444201124852,15.950967874233394,0.46908625797368586,152.72919430080913,0.0020007999999999988,0.09455315285051939,0.10838635983547809,0.9781901637626613,0.09621191592021928,0.10839367463583381,0.9781633564963604,0.10714304371470282,0.10837106369484469,0.9780566891228951,0.10813871441045726,0.1083056471557428,0.9780514541772818,0.10832859971609854,0.09430428134899016,0.9781787994248576
12,68.03429826464523,14.756523528977551,0.4506889700423926,138.41215699547138,0.0022007799999999994,0.0932103678169472,0.10983740084981937,0.9738936900764524,0.09509360802622335,0.10984929443937869,0.9738505809875901,0.10804437936001969,0.10981479368169897,0.9736841263591149,0.10946452185075317,0.10971133730083366,0.9736738732135989,0.10974828707221634,0.09292112788103982,0.9738718967532904
13,66.11958248160387,13.430761392395944,0.4442844958975911,139.5944437695838,0.002400759999999999,0.09175940409079633,0.11143167481556396,0.9692299938992398,0.09387242369506002,0.11144982361510199,0.9691651251077559,0.10907118542549801,0.11139865348942947,0.9689165669714466,0.11093858593789356,0.11123897810244912,0.9688988971091834,0.11132396937394919,0.09141423352073182,0.9691965498061168
14,66.28711074334767,11.972490410445054,0.44666287885047495,138.041649003439,0.00260074,0.09022136603308666,0.11317209483052294,0.9642065684471218,0.09261310596125942,0.11319852130624586,0.9641137565305073,0.11029056003809128,0.11312447246989275,0.9637555103681675,0.1125839921423824,0.11288427606873783,0.9637278433846556,0.11307011220529616,0.08978524873268076,0.9641625875766427
15,64.98683855453076,10.372526975963908,0.4462634180672467,143.75925755997446,0.0028007199999999996,0.08857712441728009,0.11506140269268328,0.9588330391619442,0.09124005646824405,0.11509893319492512,0.9587038028370921,0.1116285336918746,0.11499449851607013,0.9582005564779522,0.11438097977449044,0.11464163268331995,0.9581588049607372,0.1149810915922296,0.08803444521282199,0.9587756751670181
16,64.10465060315568,8.632347866563379,0.44393635098822415,154.92873665399952,0.0030007000000000002,0.08680613292911077,0.11710179756573297,0.953122419739699,0.08968558812572887,0.11715426842322131,0.9529457818038852,0.11293284961685797,0.11701053024271288,0.9522531126924857,0.11628850839398307,0.11650361685272347,0.9521916279980266,0.11704293642308226,0.08616304386770762,0.9530429296446553
17,61.31499602803581,6.811094706953935,0.463017072994262,152.72957681182564,0.00320068,0.08491272827214078,0.11929679529121363,0.9470850284606239,0.08795821959957778,0.11936841456893865,0.9468494811729156,0.11418745540178028,0.11917346169320113,0.9459158245384255,0.11831048994805202,0.11845464733950833,0.9458318502216948,0.11925897163947316,0.08417124781090296,0.9469668745259855
18,61.94492773366169,5.107493620436119,0.45872511086054146,145.6472995991294,0.0034006600000000007,0.08293466150955313,0.12165201439959344,0.9407265039788626,0.08615940298147816,0.12174565480049163,0.9404248582559946,0.11563045096669233,0.12148100404351671,0.9391986561078974,0.12052752273001131,0.12046506778085263,0.939107486844043,0.12165652143471993,0.08205623678047444,0.9405345623086676
19,61.72681916410511,3.9941988790783487,0.4410443159285933,125.42274193007609,0.0036006399999999996,0.08106594483523331,0.12416600873475504,0.9340725795818539,0.08498974911202155,0.12427648187835637,0.9337195560400486,0.11749008365946456,0.12390354100252277,0.9321840129557599,0.12302222452097664,0.12247149057407783,0.932191909072294,0.12428000873922725,0.07981157578875525,0.9337072543271426
20,58.32198184918839,3.639215996474809,0.4431199938990176,93.87941250530372,0.0038006199999999993,0.07972080363350069,0.12681393026350948,0.9272091727042393,0.08507142921167404,0.1269005883496559,0.9269041786975588,0.11962361062028819,0.1263121348915553,0.925266887224058,0.12579359378035415,0.1244186401278632,0.9254830291232933,0.12683731308561846,0.07742925622918273,0.9263460541285158
21,56.76727848943157,3.3598896179853144,0.44279670994728804,92.96666459440668,0.0040006,0.07895535556983616,0.12957786491090603,0.9201972469609887,0.08591881403668232,0.12958492136859248,0.9200639235009996,0.12210649459173499,0.12864917142355906,0.918640198282523,0.12885064323051487,0.12629767643627135,0.9189591598290672,0.12932997655525055,0.07491920386338896,0.9185055958317248
22,58.849646003216485,3.3227639045102793,0.4453383849468082,87.71679622524647,0.004200579999999999,0.07874336238232255,0.1324625465292533,0.9130368521381077,0.08732117624303243,0.13232930756219496,0.9131962068486063,0.12494900383218682,0.13090669230252053,0.9123248344978655,0.13213863495444655,0.128083949858605,0.9120234748506085,0.13175316004775994,0.07230008306157551,0.9102525619508836
23,56.544574021067845,3.453349849776264,0.4599979219492525,77.71597161091279,0.0044005599999999995,0.0789197251245786,0.13550870994569605,0.9056411645705399,0.08914533321533169,0.13516419747237163,0.9062238529370571,0.1281400464813131,0.13308560805256994,0.9063191435383351,0.13540938562128432,0.12967378661229587,0.9042195907835869,0.13410983779129704,0.06957534973731827,0.9015503038788351
24,56.77861364552146,3.683313481576281,0.46114408085122705,76.28860529189464,0.004600539999999999,0.07945539786397836,0.1387241734565211,0.8980000175721081,0.09134866250722357,0.13809449660413242,0.8991264658948064,0.13166871529409577,0.13518700869713016,0.9006176481080053,0.13848829653163097,0.13089911242088983,0.8955347685728111,0.1363970625429737,0.06677540900036129,0.8924964320858001
25,56.05522889984917,3.984903017019027,0.4432521010749042,75.74024214576545,0.00480052,0.08038058957425032,0.14209825092623493,0.8901423823995008,0.09392485990387321,0.14110962350185957,0.8919151315994507,0.13553646454589557,0.13721023453692985,0.8952132620201688,0.1413884304069911,0.13159673963722862,0.886049106964282,0.13860886921318358,0.06394710714761034,0.8832488344889013
26,56.42183681949029,4.3141062508518075,0.4436050259973854,76.79893336667736,0.0050005,0.08161942710420482,0.1456529503530349,0.882018434338311,0.09683790186700679,0.144224880474976,0.8845356886854738,0.13973269883191256,0.1391584218634258,0.8900970020220902,0.14395641547805646,0.13158271517511128,0.8757894156990419,0.14074685981612278,0.06112174015400259,0.8738795746099945
27,55.56813033349853,4.647138385197187,0.44379213615320623,77.19879886102638,0.0052004799999999995,0.08314589605773197,0.1493968025944769,0.8736064596886014,0.10007591891382886,0.14744413591959216,0.8769561298237053,0.14425687919274413,0.14103281233415413,0.8852584672775338,0.14617312897915932,0.13076785088376158,0.8648156173088372,0.1428107685368172,0.058341605880257844,0.8645003674380417
28,52.23793226409586,4.950396692068721,0.444360984954983,74.23947470129227,0.00540046,0.0848633398355148,0.1533576076140575,0.8648380456964504,0.10359650567157637,0.15078652686037822,0.8691000253142679,0.14908914187592115,0.142837461084269,0.8806777265483572,0.14784561739125743,0.12909006118196484,0.8531453571317547,0.14480415312355405,0.05564220124116978,0.855184450142311
29,50.611937840428574,5.205562309835688,0.4564194630365819,74.74529568270059,0.00560044,0.08667762491686208,0.15755715925588143,0.8556596891917654,0.10735648346188695,0.15426759131814013,0.8608972451756974,0.15420776318823518,0.1445778465573392,0.876312529416062,0.14887641518479497,0.12662071078783432,0.8408196195058527,0.14673103963434528,0.05307595264473123,0.8460410312400716
30,53.274525681575625,5.468617787721479,0.46126585314050317,80.13869733825945,0.00580042,0.08875582773807447,0.16196246128913913,0.8461427611525306,0.11144945229805914,0.15785854796734017,0.8523868771422868,0.1596772596958087,0.1462500777541297,0.872103839957889,0.1497051259060682,0.12354279119108087,0.8280115620873499,0.14858454761486167,0.050684393602308433,0.8372320794959952
31,52.18889522316772,5.751532524450855,0.45641115796752274,80.90748512289794,0.0060003999999999995,0.09106366620546452,0.16658765315135177,0.8362464954742838,0.11586458471088716,0.16156976273962836,0.8434958721001397,0.16549625482369595,0.1478559226307585,0.8679347802771437,0.1503861232624744,0.1199287098634786,0.814782029896833,0.15036567001906193,0.04850563193379034,0.8288578247910864
32,47.294695024956525,5.614886541025046,0.44609680003486574,76.67085943911175,0.00620038,0.09333537618421753,0.17149169065954636,0.8258269588334399,0.12046100141537869,0.1654515833131695,0.8340270798117169,0.17157532770129977,0.14939818250093384,0.863493166987647,0.15067678863432998,0.11581177467519194,0.8010898865080962,0.15207964736825036,0.04659073193149212,0.8210154419243966
