iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4
0,7.763401927736864,0.03330727979023472,0.20908870897255838,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,7.763401927736864,0.03330732579863419,0.3373307920410298,12.556215535989372,9.999999999999159e-07,1.2500022360859957,1.2499977639159996,1.2499977639161357,1.249997763916,1.249997763916002
2,7.763406456396112,0.033308291042765927,0.3631811669911258,12.556266263577939,2.097999999999987e-05,1.2500491493019819,1.2499508516370796,1.2499508516901612,1.2499508516532283,1.2499508516576048
3,7.763501465764358,0.03331017549641882,0.0034507079981267452,12.55740660102272,4.095999999999993e-05,1.2501407413290113,1.2498592651244966,1.249859265801367,1.2498592659998657,1.2498592665107375
4,7.76368695065624,0.03331297911022312,0.0033490409841760993,12.559659274571551,6.0939999999999996e-05,1.250277014082106,1.2497230074750225,1.2497230112531081,1.2497230129859291,1.2497230161908155
5,7.763962903095769,0.03331670182603421,0.003381500020623207,12.562995721511221,8.091999999999984e-05,1.250457968894517,1.249542081777984,1.2495420949695213,1.249542101844349,1.249542113553262
6,7.7643293156936055,0.03332134357143241,0.003182791988365352,12.567438702193721,0.0001008999999999999,1.250683604947107,1.2493164907282615,1.249316526473865,1.2493165458269175,1.2493165780370044
7,7.764786182840144,0.033326904273590294,0.0032418330083601177,12.572999278335134,0.00012087999999999997,1.2509539182591685,1.249046235736975,1.2490463166973726,1.249046362459769,1.2490464366986895
8,7.765333504340764,0.033333383852639176,0.0030829579918645322,12.57968551192138,0.00014085999999999992,1.2512689003038093,1.2487313163337412,1.2487314793835103,1.2487315740674658,1.2487317253728667
9,7.765971286135756,0.03334078224943451,0.0031373329693451524,12.587507907115915,0.00016083999999999998,1.2516285371854285,1.2483717291072556,1.2483720285967694,1.2483722077408328,1.2483724892963888
10,7.76669954569945,0.0333490994178569,0.0029184590093791485,12.59648482712299,0.00018081999999999983,1.2520328081374599,1.2479674673635028,1.247967979436982,1.2479682961507075,1.2479687847028325
11,7.7675183129679874,0.03335833533212842,0.003312499960884452,12.606634085532287,0.0002007999999999999,1.2524816844464077,1.2475185203709716,1.2475193478857032,1.2475198777994219,1.2475206796688878
12,7.768427632843068,0.03336849000730519,0.004547125019598752,12.617978674067627,0.00022077999999999996,1.2529751282146562,1.2470248728172366,1.2470261486117584,1.2470269973346677,1.2470282550634837
13,7.7694275698505,0.03337956350040073,0.004348792019300163,12.630529278555796,0.0002407599999999999,1.2535130912880628,1.2464865042004998,1.2464883950933625,1.246489705950944,1.2464916057045847
14,7.770518209901516,0.03339155592188536,0.003899291972629726,12.64432397487033,0.00026074,1.2540955137377394,1.2459033885125552,1.2459060986860109,1.2459080618211216,1.2459108412780326
15,7.771699663643284,0.03340446746527355,0.0041343330522067845,12.659381008167186,0.00028071999999999993,1.254722323226655,1.2452754934528623,1.2452792655418925,1.2452821299928591,1.2452860869138074
16,7.772972071944261,0.03341829839447558,0.0036386660067364573,12.675727691287614,0.0003007,1.255393433510374,1.244602780389684,1.2446078980248791,1.244611983144434,1.2446174845458857
