iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4
0,56.688883203748844,21.6646958340055,16.82126065599732,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,57.099612894670784,21.66442110344219,33.33861626498401,639184.8821742733,9.999999999999972e-07,0.10126208575549309,0.10126335862781441,0.9999979999824155,0.10126208575551354,0.10126335862805252,0.9999979999828935,0.101262085755494,0.1012633586280632,0.9999979999808103,0.10126208575549658,0.1012633586264426,0.9999979999808105,0.10126208575551605,0.10126335862774745,0.99999799998094
2,62.93629811506072,21.639770328891718,33.63545736600645,702286.0709299343,0.0001,0.10119840948810599,0.10132702525887498,0.9997978479205828,0.10119842271919911,0.10132704096228116,0.9997977456675421,0.1011984748965747,0.10132702816416662,0.9997978695762223,0.10119856142475099,0.10122316637419401,0.9997985132734334,0.10119849157838992,0.10132693538647145,0.99979809714253
3,58.394511002997284,21.616004615790636,3.677289196057245,643780.485419281,9.701478472890248e-05,0.10113658747514524,0.10138881167884282,0.9996032435731678,0.10113666556877343,0.10138887187602708,0.9996033718938786,0.10113683450390379,0.10138883189982532,0.9996034958693083,0.10113704007559818,0.10117530451115983,0.9996049603913116,0.10113727535950091,0.10138883129254875,0.9996051026523071
4,56.47756861673592,21.594263808723937,3.86820528912358,630954.4902147033,8.84191999343894e-05,0.10108032651240816,0.10144517817653313,0.9994289287977031,0.1010803748578959,0.10144521507864326,0.999425967362312,0.10108063723321223,0.10144516594812811,0.9994267343296417,0.10108089309367278,0.10113476407056743,0.9994284865190185,0.1010812972945497,0.101444961741502,0.9994289731923071
5,62.096943164172295,21.57551293066528,3.732224389910698,689311.6406306274,7.525e-05,0.10103250412610351,0.10149299456870965,0.999279910088575,0.10103252912681607,0.10149317571349287,0.9992754390352112,0.10103279331905686,0.10149314041477744,0.9992762223081715,0.1010330883328204,0.10111015972669062,0.9992781275606687,0.10103353945680599,0.10149302815883722,0.9992786133146977
6,60.28169835558552,21.560903081861696,3.8524237000383437,666264.8176480752,5.909558479451306e-05,0.10099492415659322,0.10153056441563547,0.9991629169267733,0.10099491727422936,0.10153086591921749,0.999156794646666,0.10099526352499136,0.10153083068919376,0.9991581498798009,0.10099556600928006,0.10108545386362669,0.9991600871425155,0.10099616805593982,0.1015309341378323,0.9991609755968897
7,57.35887499924447,21.550524299848764,3.635510104941204,630317.4658387844,4.190441520548695e-05,0.10096826463032009,0.10155725624053066,0.9990790506065711,0.10096829130094528,0.10155760290312524,0.9990731228677936,0.10096865521388881,0.101557568023678,0.9990743222812221,0.1009689757434468,0.1010677373887089,0.9990763653824712,0.10096974371949569,0.10155796415034293,0.9990776988695946
8,58.28114686420285,21.5440937137899,3.718271574936807,643711.2902367031,2.5750000000000013e-05,0.10095188514081246,0.10157366767960407,0.9990272905586014,0.10095194121692268,0.10157404285629298,0.9990218300748162,0.10095229817485002,0.10157400600302632,0.9990227108814884,0.10095265066747781,0.10105850251100366,0.9990249315256637,0.10095351357232168,0.101574661005212,0.9990265126401313
9,59.35717708451274,21.54095629526033,3.7777450629509985,661450.1495201177,1.2580800065610596e-05,0.10094387533509505,0.1015816769526032,0.999001943808329,0.10094394577464386,0.10158208124870424,0.9989966909860261,0.10094430997400598,0.10158203616670282,0.9989974522975331,0.10094468692963875,0.10105370034770225,0.998999848876954,0.10094559154156856,0.101582777572102,0.9990014941467608
10,58.324243083451684,21.539961660793168,3.813557139132172,658081.7659128348,3.985215271097538e-06,0.10094134069877615,0.10158421568535395,0.9989939516206593,0.10094141396727621,0.10158462540621649,0.9989887420839417,0.10094177719234372,0.10158457773236398,0.9989894509420818,0.10094216266727002,0.10105226510427699,0.9989919070868557,0.10094306651861631,0.10158532357819115,0.9989935272804
