i,K,obj_val,grad_sq_norm,opt_dist_sq_norm
0.0,1.0,9.805938443007435,6.21652005335602,156.0161243378592
0.0,2.0,4.933611564274892,2.2072584644729996,123.0088906191855
0.0,3.0,2.6990457816966122,0.833184609954152,101.34048205486336
0.0,4.0,1.6156052355570856,0.3526963566215849,86.33208995499739
0.0,5.0,1.0435817737859934,0.16854097836106516,75.3473189112729
0.0,6.0,0.7162323896308329,0.08967340211367333,66.93945234143261
0.0,7.0,0.5156661860256657,0.05188855057598388,60.27351492282855
0.0,8.0,0.38601946866871284,0.0320297151829614,54.83845758225911
0.0,9.0,0.29849632188704395,0.021004794787349422,50.302677383178036
0.0,10.0,0.23685300686225128,0.014591061438804167,46.442163655083874
0.0,11.0,0.1915593686174478,0.01055926335227245,43.103738749277916
0.0,12.0,0.15711854858895563,0.007785817734946109,40.18206571753075
0.0,13.0,0.13038796272898512,0.005782081402734494,37.60252554991838
0.0,14.0,0.1094327395008677,0.0043426155886239015,35.309046636199774
0.0,15.0,0.09287215854172994,0.003338483262143753,33.25693380078534
0.0,16.0,0.07961495910101733,0.0026463331525695506,31.409558804082952
0.0,17.0,0.0688038201962116,0.0021520159236214425,29.737077914340144
0.0,18.0,0.05981501234667851,0.0017706219021028562,28.215652725655936
0.0,19.0,0.05223596731360508,0.0014543824480369766,26.82644248205517
0.0,20.0,0.04581022802203598,0.0011853901377545009,25.5543263810435
0.0,21.0,0.040371266406433556,0.0009613654232131538,24.386642663564647
0.0,22.0,0.03578895158652063,0.0007829898734081617,23.31223093014883
0.0,23.0,0.03194035309395281,0.0006471150601200051,22.320897017626375
0.0,24.0,0.028703148355229177,0.0005458777413875571,21.403242347979987
0.0,25.0,0.02596208274623598,0.0004692703327130741,20.55070112506035
0.0,26.0,0.02361804074888175,0.00040829661542033936,19.75562514482346
0.0,27.0,0.02159306519548906,0.0003568575068971041,19.011314449019864
0.0,28.0,0.01982961327420657,0.00031194061104052615,18.31196490439437
0.0,29.0,0.01828580413945892,0.0002726821984492676,17.652555799326525
0.0,30.0,0.016929530532292004,0.00023913740114374452,17.02871979833717
