K,mean,worst,cvar_0.01,cvar_0.05,cvar_0.1
1,11.712367341036943,15.135363580680533,15.135363580680533,14.599742239629496,14.136512392683892
2,6.152276891322466,7.858127071846679,7.858127071846679,7.6140170018881985,7.429324713307072
3,3.4471722342693107,4.58781758441094,4.58781758441094,4.237136424544663,4.120795934606134
4,2.0715943023443244,2.8595437633684737,2.8595437633684737,2.5574989931138505,2.48632309003752
5,1.3278821608877458,1.8484907311714425,1.8484907311714425,1.6533496500131672,1.5983226098531798
6,0.8996939368005862,1.2276192759025066,1.2276192759025066,1.125848455892246,1.0922408143945828
7,0.6383637981336622,0.8326593367223485,0.8326593367223485,0.8027761338031878,0.7821808602853733
8,0.4702764465668868,0.6172365089332088,0.6172365089332088,0.596019485261681,0.5809666685394628
9,0.3571207136607301,0.479268817618914,0.479268817618914,0.4605670425659348,0.44493216674013725
10,0.27798040429272164,0.3803782678612628,0.3803782678612628,0.36589188313756094,0.35075032831019615
11,0.22083679085218894,0.3061825806491948,0.3061825806491948,0.2969603833263486,0.28274016423688264
12,0.1784385423325262,0.25483660311337875,0.25483660311337875,0.24330025282351259,0.2311111338030949
13,0.14624116479417434,0.21537576939289632,0.21537576939289632,0.2008124887300932,0.19106413254492688
14,0.12131363132570908,0.18263849407614605,0.18263849407614605,0.1678152543793032,0.15940681976838006
15,0.10171147475682846,0.15511433044912842,0.15511433044912842,0.1414100592034652,0.1347717022670619
16,0.08610119462974188,0.13178882281973633,0.13178882281973633,0.12071105810513523,0.11487845220540485
17,0.07353573167363003,0.11199671323330182,0.11199671323330182,0.10408064074728356,0.09876305246522887
18,0.0633225365391453,0.0952928609991581,0.0952928609991581,0.09035666649447076,0.08562437929690872
19,0.05494519280698754,0.08161068671872276,0.08161068671872276,0.07910845521569088,0.07469653446933512
20,0.04801390963921207,0.07276014241300374,0.07276014241300374,0.06978962615962656,0.06581104075250753
21,0.04223155626259682,0.06523314398281824,0.06523314398281824,0.06188150315942283,0.058591417239003504
22,0.03736919740390252,0.05878795664644591,0.05878795664644591,0.0551887873383789,0.05257481676605704
23,0.0332485011192638,0.05320696867692693,0.05320696867692693,0.049858483694568814,0.047351507520720634
24,0.02972939037770446,0.048299604680293096,0.048299604680293096,0.04542867640764388,0.042749050690462434
25,0.02670143798257081,0.043913136287039765,0.043913136287039765,0.04147947941387887,0.038794887442560974
26,0.024077646752493444,0.0399399880544883,0.0399399880544883,0.03792422401533163,0.0352773749648842
27,0.021789619425894604,0.036316337113211236,0.036316337113211236,0.03470260141160035,0.032112204165845634
28,0.019783562532919727,0.03302323765908548,0.03302323765908548,0.031774546954895434,0.029279690064146286
29,0.018016910000727013,0.03079602201887334,0.03079602201887334,0.029150029421869072,0.02678148468763309
30,0.0164555284275814,0.028732937996683996,0.028732937996683996,0.026845384922973635,0.02452159866762409
31,0.015071508118285117,0.026820582548768183,0.026820582548768183,0.024760368446479487,0.022508658922376704
32,0.013841517344082828,0.025045081760686635,0.025045081760686635,0.02287717493683206,0.020794169107874915
33,0.01274565389781484,0.02339023854722301,0.02339023854722301,0.021175694410795927,0.019269147187487103
34,0.011766694729107283,0.02183907044073311,0.02183907044073311,0.01963462106962997,0.017884207837238725
35,0.010889630456419386,0.020376656279857398,0.020376656279857398,0.018233263303015675,0.016620774503606855
36,0.010101377252064067,0.018992501367579462,0.018992501367579462,0.016953195955051552,0.01547197619327935
37,0.009390579621678502,0.017681440128609463,0.017681440128609463,0.015779216967524216,0.014438831859127666
38,0.00874744644351732,0.01644297173902086,0.01644297173902086,0.014699469406824244,0.013487505823394927
39,0.008163590853329005,0.015279535521971307,0.015279535521971307,0.013704908813252883,0.012635057080683304
40,0.007631865715403086,0.014194457332096145,0.014194457332096145,0.012790825000278404,0.011847390399010577
41,0.007146198051091235,0.013190197289507322,0.013190197289507322,0.011973380435570152,0.011116745193843761
42,0.0067014293316396975,0.0122672572614017,0.0122672572614017,0.01122154819600528,0.01043789184929642
43,0.006293167495379785,0.011423817602935461,0.011423817602935461,0.010530216689855706,0.009808974174049735
44,0.005917654311866146,0.01065596516104779,0.01065596516104779,0.009894101821078971,0.009228089401366397
45,0.005571650149836544,0.00995827920793435,0.00995827920793435,0.009312556982324931,0.008686504564309949
46,0.005252337480992025,0.00932454072989464,0.00932454072989464,0.00879515598911831,0.00818967210628041
47,0.004957243803016741,0.008748384806112208,0.008748384806112208,0.008323291905147499,0.007733990495337748
48,0.004684183385625458,0.008300138509876641,0.008300138509876641,0.007883183312760517,0.007309751425079021
49,0.004431215301844353,0.007975662462823425,0.007975662462823425,0.007471677625214909,0.006918373779628642
50,0.004196613261470105,0.007665552161261296,0.007665552161261296,0.007086153199417124,0.006555947383609607
