iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5
0,48.26775764871127,13.779547356903521,48.500309177907184,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,51.85495529117704,13.778958246453156,55.7753099440597,434477.4512208266,9.999999999999972e-07,0.10126208575550959,0.10126335862752174,0.9999979999877061,0.10126208575550906,0.10126335862804825,0.9999979999810128,0.10126208575549492,0.1012633586280363,0.9999979999809842,0.10126208575548955,0.10126335862409175,0.9999979999805678,0.10126335862739674,0.10126335862793075,0.9999979999819827,0.10126335862789457,0.10126208575572032,0.9999979999851624
2,49.75278988509221,13.720048115981474,60.7778658089228,402315.40516383806,0.0001,0.10119842222190421,0.10132674143220088,0.9997983601657593,0.10119858739566324,0.10132705435889885,0.9997982715355638,0.10119848113350148,0.10132707700268322,0.9997980177094903,0.10119844501791797,0.1013270836687721,0.9997978853955544,0.1013264099458588,0.10132697065160345,0.9997979291721732,0.10132656268912832,0.10119869441233754,0.9997982107370597
3,48.71696418767077,13.662758415483125,9.383054722798988,396584.9602484677,9.701478472890248e-05,0.10113663847278122,0.1013885216613793,0.9996040891603684,0.10113690955005426,0.10138888672441529,0.9996041058132069,0.1011368136749863,0.1013889361216269,0.9996040948069239,0.10113673085498939,0.10138905823179203,0.9996037542240161,0.10138696166754357,0.10138886283786704,0.9996040173709317,0.10138819398461058,0.10113727707028353,0.9996043085231031
4,53.08600276728856,13.611907025092215,7.428217530017719,437782.808009901,8.84191999343894e-05,0.10108031011896645,0.10144500701749125,0.999427251834462,0.10108080970104114,0.10144523457186998,0.9994274553909003,0.1010806467827482,0.10144533266484788,0.9994274626153581,0.10108048811724135,0.1013934237326101,0.9994268649085907,0.1014419630634395,0.101445347253527,0.9994270628545656,0.10144451275720238,0.10108127347401612,0.999429447411372
5,52.13579409988631,13.56927871779597,7.449371421942487,436992.56003927795,7.525e-05,0.10103228601834088,0.10149316246433636,0.9992761255145836,0.10103313921546866,0.10149310993396983,0.9992774894635787,0.10103284496066563,0.10149327229003204,0.9992771798249079,0.10103263420120966,0.10137131220343834,0.9992765040185715,0.1014882668712318,0.10149319144983543,0.9992764301771486,0.10149227420871046,0.10103338588088577,0.9992813745235629
6,50.64337748637745,13.535735417049944,7.217895396053791,425501.611748272,5.909558479451306e-05,0.10099465209964979,0.10153034246529805,0.9991585581327884,0.10099562322068285,0.10153070613853579,0.9991596321628508,0.10099530141553766,0.10153089071755117,0.9991592441608972,0.10099506223436605,0.10135517516905025,0.9991584577730086,0.10152210740343881,0.10153049988058248,0.9991580001515971,0.10152989891109761,0.10099572175130139,0.9991659043605797
7,50.89175002264713,13.511807553093758,7.9816786288283765,431822.3935402117,4.190441520548695e-05,0.1009680166707238,0.10155650352941549,0.9990753875280107,0.10096895778897348,0.10155738292166214,0.9990759497080842,0.10096865608985375,0.10155754198522143,0.9990756073825459,0.10096843499156492,0.10135099367729122,0.9990748715074403,0.10154694878302517,0.10155682427968045,0.9990744307850463,0.10155659101022059,0.10096898980297891,0.9990843986693391
8,47.558363187585904,13.497017152426643,7.397682314040139,392995.3772988609,2.5750000000000013e-05,0.1009516717672202,0.10157267487210138,0.9990243487992262,0.10095255428122868,0.10157380174764728,0.9990244874730291,0.10095228829492119,0.10157395289180733,0.9990242302797987,0.10095207596698115,0.10135132306619753,0.9990234731055088,0.1015624683466868,0.10157306424453096,0.9990230969882781,0.10157300522784317,0.10095259913526297,0.9990339744997679
9,52.0974256981747,13.489746780511442,7.063297963934019,418578.2438436686,1.2580800065610596e-05,0.10094369545015536,0.10158061308738427,0.9989993696787746,0.10094454607199654,0.10158183539427122,0.9989993168969549,0.10094429541039364,0.10158198405761387,0.9989991330434757,0.10094408283370251,0.10135285472452078,0.998998329359989,0.1015700010050245,0.10158106130649225,0.9989979785602008,0.10158100206654276,0.10094464546644227,0.999009049825204
10,52.576300910083816,13.487437793020906,7.523209111066535,427377.5504515723,3.985215271097538e-06,0.10094117260724149,0.10158311336488224,0.9989914843647585,0.10094201495824331,0.10158438007487317,0.9989913575476108,0.10094176381734261,0.10158452707242296,0.9989911826394766,0.10094155002601587,0.1013536237226791,0.9989903551021899,0.10157234480175627,0.10158360379781761,0.9989900100778002,0.10158353337558192,0.10094213320962588,0.9990010932941806
