Framework,K,Time
L2O,1,$0.119 \pm 0.014$
,5,$0.450 \pm 0.016$
,10,$0.845 \pm 0.019$
DR-L2O,1,$0.410 \pm 0.018$
,5,$3.755 \pm 0.154$
,10,$57.125 \pm 27.471$
OPT-PEP,1,$0.037 \pm 0.012$
,5,$0.371 \pm 0.021$
,10,$3.954 \pm 0.309$
