row,K,arch,gap_mean,gap_q10,gap_q90,gap_median
test,1,l2o,93.64021040184518,82.02223569217051,107.35619561799622,92.2876551649209
test,2,l2o,73.99866703420452,63.97801826646204,85.73338703745428,72.9011309519707
test,3,l2o,41.92762185562502,36.18757589799569,48.77910698118587,41.30985612053698
test,4,l2o,16.477949307506606,13.22421138977154,20.162816276756963,16.21969138721856
test,5,l2o,5.989135435354507,4.97814581753442,7.092626415268495,5.944614408853155
test,6,l2o,4.411219707757682,3.678043763747837,5.223686141428636,4.366283478067686
test,7,l2o,5.570688741218496,4.734674403112763,6.5097680669014215,5.540486775196612
test,8,l2o,3.2451546056927127,2.902634785237754,3.623333192726176,3.2234846072157666
test,9,l2o,3.872784010403773,3.4839579747893623,4.327448278772517,3.8373707943594155
test,10,l2o,8.058652905407662,7.016148058137389,9.257815468704212,7.951533783564912
test,1,ldro_pep,103.96853713162612,93.26416447265412,116.65374152913382,102.656968315828
test,2,ldro_pep,72.90642664474225,61.14390903558501,86.69306220443747,71.62823040717126
test,3,ldro_pep,47.60965109998064,35.558252811680816,61.056112962889394,46.70437470693304
test,4,ldro_pep,20.530196024770248,16.94799748585484,24.635895902398953,20.154645788095294
test,5,ldro_pep,8.143417417792316,6.608642600399435,9.82890075388679,8.023668109231892
test,6,ldro_pep,6.468548771271694,5.573257031269549,7.468265631715764,6.427935302139957
test,7,ldro_pep,5.089983041753055,4.52286702567672,5.709980418952234,5.038871592056921
test,8,ldro_pep,4.070278615377921,3.6917940726506573,4.550908766408617,4.004280980382163
test,9,ldro_pep,3.255520509907821,2.949362367201746,3.673593354249249,3.1733626620234645
test,10,ldro_pep,2.927043669889204,2.610421930481658,3.3446813851326596,2.8506483558252853
test,1,lpep,114.97736822377888,104.39563548414179,127.67543760750378,113.84620756727881
test,2,lpep,93.69403906357257,84.46404569184439,104.6262842791273,92.57049530097655
test,3,lpep,72.23394896017851,63.47146211999316,82.64328685370444,71.17137176260557
test,4,lpep,51.627417268797025,45.85150685143037,58.526934165914696,50.90326989092995
test,5,lpep,35.00332630310768,30.230659559943867,40.6984354253342,34.49276685100794
test,6,lpep,23.882625991582564,20.9554775790762,27.28223248100248,23.566575993258695
test,7,lpep,12.73314898073706,11.589812927129676,13.966099379786295,12.674216335001802
test,8,lpep,8.833805472772191,7.044686576494326,10.810511369782057,8.637086731925038
test,9,lpep,7.792704140653536,6.420411023559879,9.272250571598965,7.707572752854119
test,10,lpep,7.032534333859989,5.975142301369425,8.22108984788045,6.994088541513307
ood,1,l2o,446.8691474193421,313.96773523078787,584.3594422132887,423.46746807811826
ood,2,l2o,353.78350639881637,238.16238835305575,478.14255558499906,330.46081349945644
ood,3,l2o,217.06139595031817,134.34552710067913,319.99412226257203,196.88226831274574
ood,4,l2o,106.08050821427896,45.26538728622054,197.39261129521057,85.29345040559974
ood,5,l2o,73.28405514885405,29.050445136919144,142.52328111794287,56.607694073156495
ood,6,l2o,72.19222306302149,24.2078291540716,150.88790007896378,51.4687976974127
ood,7,l2o,73.742806439153,28.069439787279613,148.29998368860015,55.622276766802315
ood,8,l2o,58.72595290895521,18.07459018616487,128.5329780002296,39.54102164405458
ood,9,l2o,58.02476751828353,19.98341374098885,121.87542906545971,41.46927026988021
ood,10,l2o,74.93247539730734,34.89364756750594,132.7302558286708,61.90341392040227
ood,1,ldro_pep,517.3638359323958,365.88330543677307,671.6659196905944,496.2046347786583
ood,2,ldro_pep,328.51787771045423,201.65713057211144,446.52201847179043,285.40437530685085
ood,3,ldro_pep,194.61324053119515,71.83077998123599,323.0026019556852,148.85758648094122
ood,4,ldro_pep,121.6836850827154,57.872799540816345,213.87435303968076,100.00668920316673
ood,5,ldro_pep,90.77792049500873,38.70565901303735,166.7734688569805,71.64418664740992
ood,6,ldro_pep,74.50921712856423,31.127759787103493,145.2543152914758,58.38402300692633
ood,7,ldro_pep,63.2701045563871,24.811325787888087,126.84605210567351,48.125385214007906
ood,8,ldro_pep,53.309351026046976,21.463425070667405,106.09064718153428,40.81752123117758
ood,9,ldro_pep,44.66660769407739,19.1729959538157,86.2528727360263,34.77048765761242
ood,10,ldro_pep,38.61713360503184,17.129997391511232,71.08435418379447,31.12846494185601
ood,1,lpep,588.2738317985537,415.52463994193084,758.4019759409789,545.0058298327671
ood,2,lpep,476.8800664017578,336.63570640807706,628.8150800771662,450.3602065399977
ood,3,lpep,358.7523631812786,248.53680823788713,489.0724655960529,345.67479081415416
ood,4,lpep,275.8175621920177,186.77212219039606,395.61821990775456,259.90612137415246
ood,5,lpep,189.55249517778287,113.81098199071167,286.08048938923133,171.025497948026
ood,6,lpep,145.61212894376519,83.14133234757705,240.35771204479798,123.17094232440957
ood,7,lpep,113.87400304677199,59.0889607249909,193.43371628986884,88.42239579055581
ood,8,lpep,99.31044447602719,42.34318231078264,176.9747845492807,80.41225099121937
ood,9,lpep,87.31583627252618,37.061424226685475,163.65541653283708,68.84760212391234
ood,10,lpep,79.62522569966947,33.502613160388755,153.20700389774117,62.611877013888375
