row,eta,K,arch,frac_solved
ood,0.05,6,l2o,0.8
ood,0.05,7,l2o,0.8
ood,0.05,8,l2o,0.8
ood,0.05,9,l2o,0.8
ood,0.05,10,l2o,0.8
ood,0.05,1,ldro_pep,0.0
ood,0.05,2,ldro_pep,0.0
ood,0.05,3,ldro_pep,0.3
ood,0.05,4,ldro_pep,0.45
ood,0.05,5,ldro_pep,0.7
ood,0.05,6,ldro_pep,0.8
ood,0.05,7,ldro_pep,0.8
ood,0.05,8,ldro_pep,0.9
ood,0.05,9,ldro_pep,0.975
ood,0.05,10,ldro_pep,0.975
ood,0.05,1,lpep,0.0
ood,0.05,2,lpep,0.0
ood,0.05,3,lpep,0.0
ood,0.05,4,lpep,0.0
ood,0.05,5,lpep,0.075
ood,0.05,6,lpep,0.275
ood,0.05,7,lpep,0.525
ood,0.05,8,lpep,0.65
ood,0.05,9,lpep,0.75
ood,0.05,10,lpep,0.8
ood,0.1,1,l2o,0.0
ood,0.1,2,l2o,0.05
ood,0.1,3,l2o,0.475
ood,0.1,4,l2o,0.825
ood,0.1,5,l2o,0.975
ood,0.1,6,l2o,0.975
ood,0.1,7,l2o,0.975
ood,0.1,8,l2o,0.975
ood,0.1,9,l2o,0.975
ood,0.1,10,l2o,0.975
ood,0.1,1,ldro_pep,0.0
ood,0.1,2,ldro_pep,0.2
ood,0.1,3,ldro_pep,0.5
ood,0.1,4,ldro_pep,0.8
ood,0.1,5,ldro_pep,0.975
ood,0.1,6,ldro_pep,0.975
ood,0.1,7,ldro_pep,0.975
ood,0.1,8,ldro_pep,0.975
ood,0.1,9,ldro_pep,1.0
ood,0.1,10,ldro_pep,1.0
ood,0.1,1,lpep,0.0
ood,0.1,2,lpep,0.0
ood,0.1,3,lpep,0.0
ood,0.1,4,lpep,0.3
ood,0.1,5,lpep,0.575
ood,0.1,6,lpep,0.7
ood,0.1,7,lpep,0.875
ood,0.1,8,lpep,0.925
ood,0.1,9,lpep,0.975
ood,0.1,10,lpep,0.975
