Framework,K,IDeta1,IDeta2,IDeta3,OODeta1,OODeta2,OODeta3
L2O,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.050
,3,0.000,0.000,0.025,0.000,0.000,0.475
,4,0.000,0.338,0.900,0.000,0.575,0.825
,5,0.000,1.000,1.000,0.000,0.800,0.975
,6,0.000,1.000,1.000,0.000,0.800,0.975
,7,0.000,1.000,1.000,0.000,0.800,0.975
,8,0.000,1.000,1.000,0.075,0.800,0.975
,9,0.000,1.000,1.000,0.025,0.800,0.975
,10,0.000,1.000,1.000,0.000,0.800,0.975
DR-L2O,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.200
,3,0.000,0.000,0.087,0.000,0.300,0.500
,4,0.000,0.113,0.800,0.000,0.450,0.800
,5,0.000,1.000,1.000,0.000,0.700,0.975
,6,0.000,1.000,1.000,0.000,0.800,0.975
,7,0.000,1.000,1.000,0.000,0.800,0.975
,8,0.000,1.000,1.000,0.000,0.900,0.975
,9,0.000,1.000,1.000,0.025,0.975,1.000
,10,0.188,1.000,1.000,0.050,0.975,1.000
OPT-PEP,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.000
,3,0.000,0.000,0.000,0.000,0.000,0.000
,4,0.000,0.000,0.000,0.000,0.000,0.300
,5,0.000,0.000,0.263,0.000,0.075,0.575
,6,0.000,0.000,0.613,0.000,0.275,0.700
,7,0.000,0.600,1.000,0.000,0.525,0.875
,8,0.000,1.000,1.000,0.000,0.650,0.925
,9,0.000,1.000,1.000,0.000,0.750,0.975
,10,0.000,1.000,1.000,0.000,0.800,0.975
