iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,beta0,beta1,beta2,beta3,beta4,beta5,beta6
0,0.03759638591830599,0.008867112462918474,6.003207571338862,,,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,1.2426494076450263,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603
1,0.0384641977328571,0.008867055357020521,7.744924798142165,0.048922027071878586,9.999999999999159e-07,1.242651637145989,1.2426516371456178,1.2426516371449514,1.2426516371436718,1.2426516371408647,1.24265163713309,1.2426516371408243,1.0000071667472166e-06,0.2817545251321128,0.43404378278686756,0.531064805410579,0.5987795940610572,0.648924326123809,0.6876458540105603
2,0.037505026479691186,0.008865858535397633,6.042144478764385,0.0483593790573943,2.097999999999987e-05,1.2426984062588786,1.2426983913470147,1.242698370124587,1.2426983539066716,1.2426983453701301,1.2426983465975068,1.242698463673595,2.1975809617778718e-05,0.28177549390670087,0.43406474358243385,0.53108576001286,0.5988005448412641,0.648945276478877,0.6876458540105603
3,0.03859414084054582,0.008863520392882322,1.0150928036309779,0.04922482972504999,4.095999999999993e-05,1.2427897550615437,1.2427897229477354,1.242789669159936,1.2427896376186283,1.2427896246497128,1.242789636886582,1.2427900967125807,6.294574174269832e-05,0.28181645522975896,0.43410569315420555,0.5311267029251252,0.598841484588837,0.6489862190048385,0.6876458540105603
4,0.03955824174311182,0.008860038070875959,1.135112120769918,0.049011776769720294,6.0939999999999996e-05,1.2429255944336335,1.2429256861650628,1.2429256758589953,1.242925667427582,1.242925682648954,1.2429257274670658,1.2429266258340292,0.00012387695340705651,0.2818774372766627,0.43416668973870015,0.5311877080118644,0.5989024983600095,0.649047242355392,0.6876458540105603
5,0.0383636665558344,0.008855416176216841,0.9530030810274184,0.049113084429302276,8.091999999999984e-05,1.243106072341451,1.2431061668354317,1.243106216325196,1.243106278928534,1.2431063654620698,1.2431064946434212,1.2431082046786617,0.0002048158440688496,0.28195837907147564,0.43424765151436323,0.5312686925795173,0.5989835053973839,0.649128276194519,0.6876458540105603
6,0.03768812982150109,0.008849657260741287,0.9624648140743375,0.04906032070861643,0.0001008999999999999,1.2433311160825047,1.2433312749628698,1.2433313655256244,1.2433314293587245,1.2433314619505815,1.24333152908613,1.2433349936590141,0.0003057440921377674,0.28205933397011884,0.43434862245773564,0.531369667897008,0.5990844703419914,0.6492292316829695,0.6876458540105603
7,0.03840584969492332,0.008842758004352453,0.9238715469837189,0.04996039729272556,0.00012087999999999997,1.2436010381507658,1.2436011511192122,1.2436012654310393,1.243601324175564,1.243601273302468,1.2436012451707403,1.2436066335300573,0.0004267933655132857,0.2821803647759962,0.43446966931711317,0.531490719686216,0.5992055048186402,0.6493502481890148,0.6876458540105603
8,0.03781352285957428,0.008834729177403342,0.9623726140707731,0.048598952380302395,0.00014085999999999992,1.2439153795727484,1.2439154407118431,1.243915674003648,1.2439158139290263,1.2439157438145343,1.2439156170594128,1.243919377853792,0.0005677521703019359,0.2823213075487637,0.4346106624926065,0.531631747289736,0.5993465380467815,0.6494912665037463,0.6876458540105603
9,0.03373721731250383,0.008825632104781383,0.9107613107189536,0.04635965901164392,0.00016083999999999998,1.2442736225831976,1.244273151839198,1.2442727790732995,1.2442722045334855,1.2442713233109888,1.24427035085854,1.2442767795360306,0.0007283093003522589,0.2824816290063121,0.43477075073100707,0.5317915877016379,0.5995061217697064,0.6496506076378443,0.6876458540105603
