iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7
0,5.192341249341811,0.018230689628645914,0.21334008302073926,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,5.192341249341811,0.018230715865830187,0.3605334999738261,22.59708882697209,9.999999999999972e-07,1.2499977639323034,1.249997763932354,1.2499977639322681,1.2499977639322737,1.2499977639323003,1.2500022360697243,1.2499977639322815,1.250002236069601
2,5.192347529830471,0.018230794052599825,0.3268115420360118,22.5972088313072,2.980000000000002e-06,1.2499911004623279,1.2499911004651634,1.24999110046558,1.2499911004676225,1.2499911004695778,1.2500088995646061,1.2499911004681816,1.2500088995518464
3,5.192366245659831,0.0182309241893171,0.005870666995178908,22.597608998809886,4.960000000000007e-06,1.2499800095825913,1.2499800096065237,1.2499800096170703,1.2499800096376235,1.2499800096540667,1.2500199905284253,1.2499800096426765,1.2500199904006342
4,5.19239739683761,0.01823110627614848,0.005499541002791375,22.59826166688065,6.939999999999998e-06,1.2499644913135952,1.249964491422262,1.2499644914729215,1.2499644915671482,1.2499644916378811,1.2500355089675417,1.249964491588834,1.250035508378909
5,5.192440983221965,0.018231340314406288,0.005685542011633515,22.599164547901992,8.919999999999989e-06,1.249944545583264,1.2499445459323926,1.2499445460892078,1.2499445463854406,1.2499445466007508,1.2500554549403233,1.2499445464524421,1.2500554530895256
6,5.19249700480237,0.01823162630619598,0.005463499983306974,22.600348124138318,1.0899999999999994e-05,1.2499201722697404,1.2499201731325886,1.249920173538887,1.249920174288051,1.2499201748174937,1.2500798285052515,1.2499201744549837,1.2500798238399655
7,5.192565461564454,0.018231964254280888,0.005424541945103556,22.601787687487118,1.2879999999999999e-05,1.249891371193239,1.249891373050128,1.2498913739428548,1.2498913755772023,1.2498913767045177,1.2501086296785566,1.2498913759383055,1.250108619517095
8,5.192646353387533,0.018232354162907433,0.0056266250321641564,22.6035028247265,1.4860000000000003e-05,1.2498581420558903,1.2498581456719624,1.2498581474195196,1.2498581506253101,1.249858152768037,1.2501418584788622,1.2498581513280727,1.250141838564779
9,5.192739680180625,0.018232796037798597,0.005532249982934445,22.605487622387493,1.6840000000000008e-05,1.249820484447105,1.2498204909330948,1.2498204940994748,1.2498204999009639,1.24982050365149,1.2501795149046664,1.2498205011607322,1.2501794788978648
10,5.192845441809846,0.018233289886480073,0.005725291033741087,22.607755393352157,1.8819999999999986e-05,1.2497783978116557,1.2497784087464503,1.249778414123381,1.2497784239822478,1.249778430126837,1.2502215989234502,1.2497784261008782,1.250221537777062
11,5.192963638061785,0.01823383571847047,0.005545041000004858,22.610310373059356,2.079999999999999e-05,1.24973188145361,1.24973189897003,1.2497319076405227,1.2497319235702036,1.2497319330834642,1.2502681104724551,1.2497319269526803,1.2502680117567004
12,5.19309426859531,0.018234433545837824,0.005699583969544619,22.61316509853774,2.2779999999999995e-05,1.2496809344872974,1.2496809613909527,1.2496809747904707,1.2496809994845126,1.2496810135170047,1.250319049460674,1.2496810046560711,1.2503188965901486
13,5.193237332928682,0.018235083382903403,0.005521500017493963,22.616316837732757,2.476e-05,1.2496255558811686,1.2496255957578,1.2496256157503889,1.2496256527248788,1.2496256725443553,1.25037441571546,1.2496256603470282,1.2503741871189797
14,5.193392830212765,0.018235785247016266,0.005482208041939884,22.6197801897274,2.6740000000000005e-05,1.249565744406404,1.2495658017149458,1.2495658307007254,1.2495658844515376,1.2495659113657231,1.2504342090077891,1.249565895337493,1.2504338772073247
15,5.193560759209212,0.018236539159136696,0.005613000015728176,22.623569968395426,2.8719999999999996e-05,1.2495014986107325,1.2495015788347186,1.2495016197898836,1.249501695976733,1.2495017311231371,1.2504984290763443,1.2495017111062874,1.2504979596974164
16,5.193741118159323,0.01823734514374267,0.005541999998968095,22.627704988343368,3.07e-05,1.2494328168601572,1.2494329266404358,1.2494329831648783,1.249433088817561,1.2494331328948134,1.2505670755952851,1.2494331093379172,1.2505664262844134
17,5.193933904409658,0.018238203228867104,0.005430958000943065,22.632179677774477,3.2680000000000006e-05,1.2493596973752807,1.249359844621557,1.2493599210022457,1.2493600647371121,1.249360117651058,1.2506401481221192,1.2493600919637917,1.250639267426612
18,5.194139113943029,0.018239113447135483,0.005515333032235503,22.63703432583614,3.466000000000001e-05,1.2492821381592254,1.249282332239992,1.2492824334568446,1.2492826257254268,1.2492826860479025,1.2507176461479526,1.249282661135818,1.2507164722992163
19,5.194356740927054,0.01824007583582029,0.005573333008214831,22.642295034513065,3.664e-05,1.2492001371149482,1.2492003888756118,1.249200520675479,1.2492007740477888,1.249200838235729,1.250799569082552,1.2492008192603312,1.2507980288119631
20,5.194586776743447,0.01824109043717439,0.005697000015061349,22.647960811072732,3.8620000000000006e-05,1.2491136920227541,1.2491140140095904,1.2491141827949768,1.249114512263811,1.2491145736093388,1.250885916231838,1.2491145690071759,1.2508839235653362
21,5.194829208447801,0.018242157298511977,0.005512417003046721,22.654078784021692,4.0600000000000004e-05,1.2490228007099513,1.2490232072485654,1.2490234199385257,1.2490238432862104,1.2490238904111925,1.2509766868216872,1.2490239133384045,1.2509741418964284
22,5.195084016131277,0.01824327647251308,0.005592875008005649,22.66066169080622,4.2579999999999996e-05,1.2489274610958128,1.2489279684089223,1.2489282322153261,1.2489287704011511,1.2489287852310056,1.2510718799888578,1.2489288555241764,1.251068668108412
23,5.195350242965349,0.018244447664051037,0.005647916987072676,22.657917252333462,4.4559999999999993e-05,1.2488277047291918,1.2488283428232319,1.2488286205455996,1.248829292647739,1.2488292097308877,1.2511715018711422,1.2488294005421154,1.2511675675814515
