Framework,K,IDeta1,IDeta2,IDeta3,OODeta1,OODeta2,OODeta3
L2O,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.472,0.000,0.000,0.196
,3,0.000,0.004,0.948,0.000,0.000,0.428
,4,0.000,0.076,0.996,0.000,0.000,0.584
,5,0.000,0.300,1.000,0.000,0.000,0.476
,6,0.000,0.604,1.000,0.000,0.072,0.420
,7,0.000,0.832,1.000,0.000,0.088,0.364
,8,0.032,0.936,1.000,0.000,0.084,0.376
,9,0.180,0.972,1.000,0.012,0.116,0.272
,10,0.352,0.972,1.000,0.004,0.116,0.248
,11,0.556,0.980,1.000,0.016,0.080,0.248
,12,0.648,0.992,1.000,0.032,0.096,0.540
,13,0.688,0.996,1.000,0.048,0.088,0.352
,14,0.736,0.996,1.000,0.048,0.084,0.420
,15,0.744,1.000,1.000,0.052,0.084,0.384
DR-L2O,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.008
,3,0.000,0.000,0.092,0.000,0.000,0.888
,4,0.000,0.000,0.736,0.000,0.056,0.988
,5,0.000,0.036,0.968,0.000,0.292,1.000
,6,0.000,0.136,0.992,0.000,0.492,1.000
,7,0.000,0.284,0.996,0.000,0.728,1.000
,8,0.000,0.412,1.000,0.012,0.896,1.000
,9,0.000,0.584,1.000,0.024,0.968,1.000
,10,0.000,0.772,1.000,0.132,0.984,1.000
,11,0.000,0.816,1.000,0.284,0.984,1.000
,12,0.020,0.948,1.000,0.488,0.996,1.000
,13,0.104,0.968,1.000,0.600,1.000,1.000
,14,0.048,0.976,1.000,0.316,1.000,1.000
,15,0.448,0.972,1.000,0.704,1.000,1.000
OPT-PEP,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.000
,3,0.000,0.000,0.000,0.000,0.000,0.036
,4,0.000,0.000,0.072,0.000,0.000,0.780
,5,0.000,0.000,0.288,0.000,0.004,0.924
,6,0.000,0.000,0.672,0.000,0.024,0.976
,7,0.000,0.000,0.864,0.000,0.136,1.000
,8,0.000,0.036,0.980,0.000,0.336,1.000
,9,0.000,0.136,0.992,0.008,0.544,1.000
,10,0.000,0.208,0.996,0.036,0.644,1.000
,11,0.000,0.444,1.000,0.120,0.856,1.000
,12,0.008,0.492,1.000,0.184,0.896,1.000
,13,0.016,0.684,1.000,0.316,0.976,1.000
,14,0.008,0.800,1.000,0.448,0.984,1.000
,15,0.096,0.832,1.000,0.552,0.984,1.000
