Framework,K,IDeta1,IDeta2,IDeta3,OODeta1,OODeta2,OODeta3
L2O-ISTA,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.000
,3,0.000,0.000,0.000,0.000,0.000,0.000
,4,0.000,0.000,0.073,0.000,0.000,0.000
,5,0.000,0.028,0.589,0.000,0.000,0.004
,6,0.000,0.286,0.911,0.000,0.004,0.056
,7,0.004,0.690,0.980,0.000,0.012,0.200
,8,0.036,0.899,1.000,0.004,0.044,0.380
,9,0.137,0.996,1.000,0.004,0.168,0.472
,10,0.351,1.000,1.000,0.008,0.352,0.528
,11,0.540,1.000,1.000,0.012,0.460,0.600
,12,0.790,1.000,1.000,0.068,0.532,0.600
,13,0.883,1.000,1.000,0.104,0.600,0.648
,14,0.960,1.000,1.000,0.160,0.680,0.696
,15,0.996,1.000,1.000,0.300,0.640,0.652
L2O-ALISTA,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.000
,3,0.000,0.000,0.000,0.000,0.000,0.000
,4,0.000,0.000,0.000,0.000,0.000,0.000
,5,0.000,0.000,0.000,0.000,0.000,0.000
,6,0.000,0.000,0.004,0.000,0.000,0.000
,7,0.000,0.000,0.056,0.000,0.000,0.000
,8,0.000,0.000,0.246,0.000,0.000,0.000
,9,0.000,0.016,0.621,0.000,0.000,0.004
,10,0.000,0.077,0.855,0.000,0.000,0.020
,11,0.000,0.210,0.968,0.000,0.004,0.064
,12,0.000,0.440,0.996,0.000,0.004,0.180
,13,0.000,0.653,1.000,0.000,0.012,0.340
,14,0.008,0.843,1.000,0.000,0.028,0.548
,15,0.036,0.940,1.000,0.000,0.060,0.720
DR-L2O,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.000
,3,0.000,0.000,0.000,0.000,0.000,0.000
,4,0.000,0.000,0.000,0.000,0.000,0.000
,5,0.000,0.000,0.000,0.000,0.000,0.000
,6,0.000,0.000,0.008,0.000,0.000,0.000
,7,0.000,0.024,0.621,0.000,0.000,0.004
,8,0.000,0.222,0.968,0.000,0.004,0.064
,9,0.000,0.137,0.911,0.000,0.000,0.032
,10,0.000,0.359,0.984,0.000,0.004,0.120
,11,0.036,0.935,1.000,0.000,0.052,0.684
,12,0.794,1.000,1.000,0.060,0.864,1.000
,13,0.980,1.000,1.000,0.252,0.988,1.000
,14,0.798,1.000,1.000,0.072,0.884,1.000
,15,0.992,1.000,1.000,0.268,0.988,1.000
OPT-PEP,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.000
,3,0.000,0.000,0.000,0.000,0.000,0.000
,4,0.000,0.000,0.000,0.000,0.000,0.000
,5,0.000,0.000,0.000,0.000,0.000,0.000
,6,0.000,0.000,0.000,0.000,0.000,0.000
,7,0.000,0.000,0.012,0.000,0.000,0.000
,8,0.000,0.000,0.081,0.000,0.000,0.000
,9,0.000,0.000,0.137,0.000,0.000,0.000
,10,0.000,0.004,0.411,0.000,0.000,0.000
,11,0.000,0.016,0.645,0.000,0.000,0.004
,12,0.000,0.077,0.855,0.000,0.000,0.020
,13,0.000,0.302,0.984,0.000,0.004,0.104
,14,0.000,0.331,0.984,0.000,0.004,0.128
,15,0.000,0.641,1.000,0.000,0.012,0.324
