k,l2o,ldro_pep,lpep,l2o_alista
1,51.317141496940955,48.61479555315971,53.23010262512797,50.48577638298232
2,25.58829377008624,35.91723005239973,29.749658182307815,29.845890350782135
3,19.207271386552133,26.026197925652024,22.443146816893144,22.01242226282195
4,16.89702408779666,17.35639890479359,18.360034333666743,17.88797959687056
5,19.69768778207027,13.398635742000364,15.746641571577744,15.068512247260605
6,29.28766603225138,10.809228982381835,13.489269648278443,12.907958253385312
7,75.56389778471056,10.12169894232114,12.181663433021695,11.15946620720209
8,260.6988837153145,8.902083053052317,10.756147136917354,9.706437620192784
9,1124.810640372748,7.208688751269467,9.415920357688202,8.477449989862098
10,5098.787529585109,5.986351362087835,8.303076312979153,7.424315379283885
11,23033.848003556825,4.509305799025192,7.528724460605805,6.5124677671997055
12,100440.7511011403,3.253983882056881,6.849064337015431,5.717265091025977
13,416936.5082600236,2.179072096912529,6.227765470863717,5.020758195391608
14,1637419.1466992612,1.3819912826759493,5.631251271401576,4.409828489121928
15,6042580.45233079,0.8220405110426824,5.062972496498668,3.8730107175137456
