eta,l2o,ldro_pep,lpep,l2o_alista
1e-06,0.0,0.0,0.0,0.0
5e-06,0.0,0.0,0.0,0.0
1e-05,0.0,0.0,0.0,0.0
5e-05,0.0,0.0,0.0,0.0
0.0001,0.0,0.0,0.0,0.0
0.0005,0.0,0.0,0.0,0.0
0.001,0.008064516129032258,0.020161290322580645,0.0,0.0
0.005,0.0846774193548387,0.0846774193548387,0.0,0.0
0.01,0.1532258064516129,0.1532258064516129,0.0,0.0
0.05,0.4959677419354839,0.45161290322580644,0.0,0.0
