k,l2o_gamma,ldro_pep_gamma,lpep_gamma,l2o_alista_gamma
1,0.2449847963695934,0.2813494860505135,0.3404096850729505,0.3210184418228497
2,0.6816543839337871,0.9506393789650234,0.2916902412358989,0.3198319727608935
3,0.6375631119357025,0.4312713206283425,0.2922239597431521,0.3202175547355292
4,0.6455931016971839,0.0974428690574551,0.3117652100103501,0.3203994260279895
5,0.6376459477491764,0.4584528932211447,0.2829394686812359,0.3203079506482428
6,0.6329116685805333,0.1733784398812811,0.3130819165773205,0.3200819151252826
7,0.6221484775113569,0.1197938883426304,0.2205501314357964,0.3197920317608485
8,0.6123941616576242,0.2716529214165056,0.2778895598623279,0.3194589021800457
9,0.5995680744741546,0.4862609067043533,0.3067047473949605,0.3190880993322756
10,0.5876724722786072,0.4449606522117396,0.2976327686165911,0.3186967679272524
11,0.574517215616869,0.6754100810267332,0.236388188353223,0.3182671412456683
12,0.5620651072242397,0.7745236373656529,0.2303275825733948,0.3178234019918229
13,0.5495760045230883,0.93072988900582,0.2324879232216873,0.317374477062492
14,0.5375488889904692,1.0274021842565926,0.2464142109000036,0.3169341639016518
15,0.5252574713779632,1.1456105550402782,0.2602311238909119,0.3164917655941501
