k,l2o_gamma,ldro_pep_gamma,lpep_gamma,l2o_alista_gamma
1,0.2478807355033343,0.4025976574194476,0.3349591977438537,0.3207838470641048
2,0.7055432214682903,0.2658471272893011,0.2584612816151905,0.3194711190229934
3,0.6450986452122394,0.4600736910325302,0.297476640965625,0.3202338396939229
4,0.657435469341274,1.3932562933789303,0.2828808386136825,0.320854630695019
5,0.6476847611427974,0.049254150607369,0.3212030380414355,0.3210795442337761
6,0.651094181518378,0.1745725485492839,0.2406700891273498,0.3210828563838651
7,0.6336556114731536,0.1382692918632292,0.2498495302226,0.3209971655523059
