k,l2o,ldro_pep,lpep,l2o_alista
1,50.947085011942555,70.13660256081371,52.33733010792575,50.45993149076526
2,25.819201564094403,29.03443228831815,29.83409868038063,29.84196699650604
3,19.995728565015128,21.113740865233197,22.903576421758356,22.017424907667003
4,18.872817723749364,23.768613078640676,19.050816684946454,17.888869559481073
5,25.927571015717554,18.65814204610062,15.944677394963715,15.063312242333721
6,49.658529091510516,10.88346132982276,14.145224770364221,12.897622460812528
7,162.8531397188942,9.57937787451,12.57170823046497,11.14488190354502
