k,l2o,ldro_pep,lpep,l2o_alista
1,23.004351261771678,28.140712137146227,22.53102049865747,22.0177943170577
2,10.57426607853803,12.920120483763258,13.68516091713408,13.31523039274847
3,6.546067325753765,8.64242950474009,10.295522890342303,9.71165506214445
4,4.265977312655267,4.189113041651073,8.25717486133843,7.6105611048501265
5,2.862592824772838,3.8404970478941203,6.578290946528491,6.105395709791928
6,1.9142519242322389,3.046246396913817,5.616418951524455,4.959078301004001
7,1.3047916975553013,2.725925247961646,4.790659202514954,4.05755258550462
