iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13
0,2.983588400574986,0.0078281832812867,0.2277422499610111,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002
1,2.983588400574986,0.007828200306916187,0.3974577920162119,40.79686282193008,9.999999999999972e-07,1.2500022360697192,1.2500022360673166,1.249997763932295,1.2499977639323139,1.2499977639323436,1.2499977639322781,1.2499977639322681,1.249997763932275,1.2499977639323059,1.249997763932336,1.2499977639322886,1.2499977639323316,1.249997763932273,1.249997763932285
2,2.9835912941638476,0.007828251043361429,0.37481541704619303,40.79659740683468,2.980000000000002e-06,1.2500088995652787,1.2500088996353105,1.2499911004628959,1.249991100463365,1.2499911004682809,1.2499911004652995,1.2499911004657984,1.2499911004662816,1.2499911004665174,1.2499911004589155,1.2499911004674393,1.2499911004650388,1.2499911004666633,1.249991100464562
3,2.9835999170140863,0.007828335490920088,0.02405495900893584,40.79583309277693,4.960000000000007e-06,1.2500199905336797,1.2500199911711625,1.2499800095917297,1.2499800096024787,1.249980009636258,1.2499800096145273,1.2499800096190659,1.2499800096243412,1.249980009625895,1.2499800095506919,1.249980009632173,1.2499800096042233,1.2499800096282614,1.2499800096075548
4,2.9836142689914213,0.007828453649226318,0.023843207978643477,40.79453459032869,6.939999999999998e-06,1.2500355089895636,1.2500355119631699,1.2499644913580648,1.2499644914133723,1.24996449155511,1.2499644914614827,1.249964491481806,1.2499644915059411,1.2499644915109176,1.2499644911687122,1.2499644915368042,1.2499644914058807,1.2499644915251826,1.249964491429014
5,2.9836343496719895,0.007828605517750593,0.024514666001778096,40.79272563700076,8.919999999999989e-06,1.2500554550104201,1.2500554645567934,1.2499445457286134,1.2499445458970848,1.2499445463422607,1.2499445460531557,1.2499445461169807,1.2499445461932222,1.2499445462083598,1.249944545141094,1.2499445462860197,1.2499445458735319,1.2499445462542553,1.2499445459512029
6,2.9836601583968023,0.00782879109527601,0.024150790995918214,40.790420834618686,1.0899999999999994e-05,1.2500798286830352,1.2500798529576163,1.2499201726296376,1.2499201730484935,1.2499201741742694,1.2499201734477223,1.2499201736088759,1.2499201738032728,1.2499201738372179,1.2499201711641477,1.2499201740292214,1.2499201729880411,1.2499201739563544,1.249920173190095
7,2.98369169415784,0.007829010379425795,0.023510875005740672,40.78760648542501,1.2879999999999999e-05,1.2501086300669824,1.2501086829094161,1.2498913719636804,1.2498913728727488,1.2498913753333634,1.2498913737468647,1.2498913740949407,1.2498913745228781,1.2498913745944549,1.249891368786754,1.2498913750027778,1.2498913727441376,1.249891374853425,1.249891373183268
8,2.9837289554902533,0.007829263366815886,0.024033334047999233,40.784308676985844,1.4860000000000003e-05,1.2501418592436782,1.2501419622777197,1.249858143556078,1.249858145327105,1.2498581501346278,1.2498581470382115,1.2498581477167907,1.2498581485628688,1.2498581487014413,1.249858137345065,1.2498581494846628,1.2498581450895074,1.2498581492043257,1.2498581459339562
9,2.983771940468117,0.007829550052329753,0.023916832986287773,40.78053513018868,1.6840000000000008e-05,1.2501795162969322,1.250179701823713,1.2498204871404666,1.2498204903299528,1.2498204989902337,1.2498204934132047,1.2498204946356894,1.2498204961791692,1.2498204964203068,1.2498204759054297,1.249820497820007,1.2498204899256877,1.2498204973265543,1.2498204914177713
10,2.983820646504212,0.007829870429404926,0.024509499955456704,40.77627479384657,1.8819999999999986e-05,1.2502216013084302,1.2502219148746416,1.249778402350765,1.2497784077406568,1.249778422389375,1.2497784129607652,1.2497784150314244,1.2497784176776263,1.24977841806898,1.2497783833142975,1.2497784204130882,1.2497784070842888,1.2497784196053288,1.2497784095796083
11,2.983875070434998,0.007830224490009814,0.023945125052705407,40.771543449579056,2.079999999999999e-05,1.2502681143610885,1.2502686174046471,1.2497318887122364,1.2497318973790497,1.2497319209141913,1.2497319057655596,1.2497319091022066,1.2497319134193323,1.249731914018793,1.2497318580517809,1.249731917743309,1.249731896376538,1.2497319164936311,1.2497319003238294
12,2.983935208508552,0.007830612224215303,0.023757249990012497,40.766368224580184,2.2779999999999995e-05,1.2503190555487969,1.2503198287995323,1.2496809456191982,1.2496809589655609,1.2496809952357926,1.2496809718879138,1.249680977047052,1.2496809838037828,1.2496809846847823,1.2496808982424592,1.2496809903624042,1.2496809574842307,1.2496809885085889,1.2496809634908441
13,2.9840010562406003,0.007831033619535356,0.024263416009489447,40.76075333800741,2.476e-05,1.2503744249292428,1.2503755721650907,1.249625572355892,1.2496255921948793,1.2496256461515751,1.2496256114074686,1.249625619113688,1.2496256293360841,1.2496256305724973,1.2496255016409374,1.2496256389304876,1.2496255900762931,1.2496256362824036,1.2496255989013756
