iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,beta0,beta1,beta2,beta3,beta4,beta5,beta6
0,0.05686493197967122,0.00877367767849444,0.1081163749913685,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603
1,0.056770800118177714,0.008773621187356612,0.1260009579709731,0.04378057625350817,9.999999999999159e-07,1.2500022360851626,1.250002236084803,1.2500022360841323,1.2500022360828196,1.250002236079929,1.2500022360718424,1.2500022360251424,1.000007106948159e-06,0.28175452513205035,0.4340437827868167,0.5310648054105265,0.5987795940609871,0.6489243261236447,0.6876458540105603
2,0.05478422296759137,0.008772439901964508,0.07482229196466506,0.042524256238446356,2.097999999999987e-05,1.2500491449994473,1.2500490826462243,1.250049026211733,1.2500489818239457,1.2500489508246122,1.250048935322815,1.2500489358606635,2.1974078687741364e-05,0.2817754698243448,0.43406470558434196,0.5310857104847716,0.5988004862239285,0.6489452106638367,0.6876458540105603
3,0.057080340000521236,0.008770131748500866,0.002658541954588145,0.04287886262357244,4.095999999999993e-05,1.2501407309441568,1.250140546635509,1.2501404172169706,1.2501403395002064,1.250140308436764,1.2501403212622437,1.2501403676887959,6.29218540578189e-05,0.28181636322543807,0.43410557007664324,0.5311265582740406,0.5988413281512045,0.6489860561622274,0.6876458540105603
4,0.051473933128089955,0.008766716163200176,0.002677417011000216,0.03951739820992725,6.0939999999999996e-05,1.2502765468870056,1.2502760782306308,1.2502757644284659,1.250275573532046,1.2502754855814295,1.2502754898688269,1.2502755599875988,0.00012362319185328007,0.28187693920032353,0.43416606863306123,0.5311870050424631,0.5989017452476738,0.6490464632522613,0.6876458540105603
5,0.05833552058394834,0.00876216379279487,0.0028022080077789724,0.04374489699886805,8.091999999999984e-05,1.2504572826641245,1.25045658210882,1.250456132896044,1.2504559000820499,1.2504558403460213,1.2504559292295567,1.2504561106714478,0.00020441576351397047,0.28195762958805376,0.4342467022608399,0.5312676111576281,0.5989823475419314,0.6491270814305482,0.6876458540105603
6,0.055015147618392046,0.008756489786303568,0.0027883750153705478,0.04240314009686204,0.0001008999999999999,1.2506827212965501,1.2506817588554482,1.250681143558352,1.250680802457831,1.250680674355816,1.2506807336545647,1.250680917778067,0.0003051875520598222,0.282058286789354,0.43434729054837823,0.5313681510801044,0.5990828560574243,0.6492275750679832,0.6876458540105603
7,0.05501762298691716,0.008749694396364525,0.002609916962683201,0.04223332584763947,0.00012087999999999997,1.250952784008007,1.250951631574555,1.2509508106233098,1.2509503324078046,1.25095013110989,1.250950172159748,1.2509503691688617,0.0004258975277407031,0.28217891202990786,0.43446782993104616,0.5314886300127789,0.5992032989286228,0.6493480042235938,0.6876458540105603
8,0.05510973277177993,0.00874177829736966,0.0026954999775625765,0.04186147299361274,0.00014085999999999992,1.2512673139212078,1.251266033543376,1.2512650955482363,1.2512645894141148,1.2512644329447087,1.2512645600444223,1.251264830765485,0.0005664764471901189,0.2823194345579785,0.434608295976364,0.5316290706636635,0.5993437411057392,0.6494884672085484,0.6876458540105603
9,0.05579537964803121,0.008732747506449293,0.002729541971348226,0.042513734705862234,0.00016083999999999998,1.2516267412148911,1.2516251921861161,1.251624036749689,1.25162338110948,1.251623135562425,1.2516232350681935,1.2516235325856744,0.0007271242420163012,0.2824799571224012,0.43476873015350537,0.5317894395729637,0.5995040681834853,0.6496487758222692,0.6876458540105603
