iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11
0,0.026835867422077872,0.0016235802486169017,0.6162614999921061,,,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,1.2500000000000002,0.0,0.2817535251253208,0.43404278278030195,0.5310638054044796,0.5987785940560387,0.6489233261224009,0.6876458540105603,0.7184998534591345,0.7436910466053832,0.7646647176173081,0.7824092432280134,0.7976243809601434
1,0.024150025608471758,0.0016235678149145287,0.32282854203367606,0.018878163833244352,9.999999999999972e-07,1.2500022360677823,1.2500022360668872,1.2500022360652612,1.2500022360623977,1.2500022360573984,1.2500022360489955,1.2500022360357914,1.2500022360162935,1.2500022359869654,1.2500022359349772,1.2500022358061738,1.2500022350651911,9.999991537971308e-07,0.2817545251235624,0.4340437827780532,0.5310648054013395,0.5987795940513699,0.6489243261151596,0.6876468539990631,0.7185008534407208,0.7436920465755056,0.7646657175654128,0.7824102431105828,0.7976243809601434
2,0.02624562038916682,0.001623530809348123,0.27196045900927857,0.020476671621980733,2.980000000000002e-06,1.2500089063694506,1.2500089078915522,1.2500089085703157,1.25000890670592,1.2500089015518077,1.250008894986139,1.2500088924350365,1.2500088975686092,1.250008905602398,1.2500089078892778,1.250008901475395,1.2500088895157662,3.9833748858225555e-06,0.28175750907897107,0.43404676662574465,0.5310677877121255,0.5987825726978818,0.6489272988295809,0.6876498200347267,0.7185038155389986,0.7436950105550453,0.7646686883167926,0.7824132210159033,0.7976243809601434
3,0.026811410300225443,0.0016234690987237883,0.0040223749820142984,0.02003964074612924,4.960000000000007e-06,1.250020005295246,1.250020012384812,1.2500200194835922,1.250020022858167,1.2500200201683973,1.2500200120539788,1.2500200060602151,1.2500200093600298,1.250020016482378,1.2500200146116098,1.2500199985274332,1.250019971059054,8.947596960158119e-06,0.28176247606165666,0.43405173601162483,0.5310727585468102,0.5987875429426264,0.6489322652700726,0.6876547795482256,0.7185087674399846,0.7436999577127457,0.7646736351313221,0.7824181702932105,0.7976243809601434
4,0.026126734469809156,0.0016233825647193028,0.004012874967884272,0.01990158442666105,6.939999999999998e-06,1.2500355332526405,1.2500355356514272,1.2500355588368222,1.2500355822121356,1.25003559652974,1.2500355983943554,1.2500355958608738,1.2500355991107157,1.2500356019535193,1.2500355872336568,1.250035547817678,1.2500354896366555,1.5892622692610097e-05,0.28176942060841437,0.43405868756430915,0.5310797177514126,0.5987945080034833,0.6489392322630186,0.6876617439426691,0.7185157268430392,0.7437069133609647,0.7646805899480528,0.7824251256104944,0.7976243809601434
5,0.025672773715495163,0.0016232718132091495,0.003914708038792014,0.019688108455007958,8.919999999999989e-06,1.2500554945997837,1.2500554751843211,1.2500555020668198,1.2500555343372626,1.2500555523547712,1.250055548540733,1.2500555351336267,1.2500555309901529,1.2500555325263905,1.2500555169068324,1.2500554709709257,1.2500553965217265,2.481957375571304e-05,0.28177833904576,0.4340676079651176,0.5310886404940895,0.5988034299778955,0.6489481478205046,0.6876706474442235,0.7185246167446177,0.7437157944423465,0.7646894703589882,0.782434011324345,0.7976243809601434
6,0.025066672581069666,0.0016231365450746853,0.003961457987315953,0.019178087543198493,1.0899999999999994e-05,1.2500798396702104,1.2500798135779672,1.2500798426702542,1.2500798787266385,1.2500798994470983,1.2500798964512665,1.2500798854016424,1.250079889819317,1.2500799039151913,1.2500798961735717,1.2500798468707532,1.2500797544290698,3.570728559335207e-05,0.28178922386976507,0.43407849366629825,0.5310995268300521,0.5988143150571732,0.6489590282353483,0.6876815200806793,0.7185354820325072,0.7437266577727365,0.7647003388237229,0.7824448886290147,0.7976243809601434
7,0.027383728924446734,0.001622975789976261,0.004040708998218179,0.020819871613716033,1.2879999999999999e-05,1.2501086759492386,1.2501086392240237,1.2501086902459093,1.250108758538981,1.2501088124162203,1.2501088364185502,1.2501088439875088,1.250108860148834,1.250108877287645,1.2501088586660967,1.2501087835184213,1.2501086561937604,4.860538128649435e-05,0.28180211894943197,0.43409139927651413,0.5311124456811067,0.5988272466753932,0.6489719688922271,0.6876944644041115,0.7185484265351207,0.7437396030615373,0.7647132873382357,0.7824578404163,0.7976243809601434
8,0.026187771252320538,0.0016227903251691757,0.004027249990031123,0.020129008335318745,1.4860000000000003e-05,1.2501419529230933,1.2501419219511851,1.25014199824236,1.2501420947402186,1.2501421730438758,1.250142216371178,1.2501422437773615,1.25014228688967,1.2501423342767595,1.2501423365718578,1.2501422643982119,1.2501421201464789,6.348993988888695e-05,0.28181700671525783,0.43410629761730923,0.5311273544891612,0.5988421633785243,0.6489868890685846,0.6877093842916606,0.7185633468608329,0.7437545300384956,0.7647282279029242,0.7824727960263985,0.7976243809601434
9,0.024758808211538794,0.0016225823877283625,0.0040676670032553375,0.019197086321188567,1.6840000000000008e-05,1.2501796146368793,1.2501795789955374,1.2501796337329267,1.250179683837758,1.2501796890310617,1.2501796497772633,1.2501796254718935,1.2501796873928102,1.2501798244246778,1.250179947636249,1.25017998462505,1.2501798997235356,8.033317371426468e-05,0.2818338446776669,0.43412312378932516,0.5311441572771904,0.5988589281550762,0.649003601842716,0.6877260402729716,0.7185799606815956,0.7437711365047839,0.7647448663385127,0.7824894901882394,0.7976243809601434
