iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2,tau_3,sigma_3,theta_3,tau_4,sigma_4,theta_4,tau_5,sigma_5,theta_5,tau_6,sigma_6,theta_6,tau_7,sigma_7,theta_7,tau_8,sigma_8,theta_8
0,42.44731583458513,10.808352986771636,5.2004371411167085,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,38.553545522533284,10.807667333373999,6.517343037063256,173.8266824294452,9.999999999992654e-07,0.10126208560470913,0.1012633587829072,0.9999979995205803,0.10126208560471238,0.1012633587829026,0.9999979995205579,0.10126208560471905,0.10126335878289137,0.9999979995205601,0.10126208560473475,0.10126335878283915,0.9999979995205881,0.10126208560479276,0.1012620856048278,0.9999979995206494,0.10126335878229989,0.10126208560489627,0.9999979995215376,0.10126335878209172,0.10126335878246569,1.0000020004563166,0.10126335878156485,0.10126335878235998,1.0000020004476853,0.10126335877968512,0.1012633587819697,1.0000020004168013
2,39.616513826923864,10.669949773356386,6.833229535957798,167.99274643260404,0.0002009799999999999,0.10113429655442206,0.1013913723823862,0.9995958732212951,0.10113432274556698,0.10139136609606092,0.9995958899027583,0.10113435830144987,0.10139135916777012,0.9995959044108781,0.10113441045182335,0.10139134469569219,0.9995959160938481,0.10113450503845206,0.10113414357577702,0.9995959236445194,0.10139122218231628,0.10113413399922885,0.9995959156103043,0.10139119760864707,0.10139126376675298,1.0004038162567763,0.10139115656530744,0.10139123894599747,1.000403707617445,0.10139111888830592,0.10139123083919921,1.0004036610413427
3,39.92240742582092,10.395431684374863,0.8662004200741649,161.89706950213915,0.0004009599999999988,0.10087984655281516,0.10164717964947119,0.9987933386626346,0.10088000387584665,0.10164715062331711,0.9987934339055734,0.10088021942055975,0.10164712768762367,0.9987935136771188,0.10088054418078686,0.10164711761022593,0.9987935746917829,0.10088125927444654,0.10087912669181397,0.9987936740752285,0.10164672708848765,0.10087888185581535,0.9987933768329142,0.10164670836856361,0.10164685859542658,1.0012064345147762,0.10164663585476429,0.1016468386186596,1.0012063080018831,0.10164652767372619,0.10164680645529586,1.0012061743771394
4,39.21789994144407,9.984393554643828,0.8817841911222786,173.1293586124035,0.0006009399999999995,0.1004987910864451,0.1020309139273323,0.9975921757955399,0.1004990440282214,0.1020308994472006,0.9975922982023491,0.10049939804073775,0.10203092789509817,0.9975924046036229,0.10049994261200335,0.10203117320418152,0.9975924879961213,0.10050139030163775,0.10049850874462117,0.9975930187118329,0.10203016690412661,0.10049683397773225,0.9975910495491866,0.10203013308322467,0.10203049386766788,1.0024098142195343,0.10202989670627216,0.10203037987853444,1.0024092478592137,0.10202955890253125,0.10203019880839093,1.0024085746919835
5,39.26264727194359,9.438512298444465,0.8630661759525537,163.64868239626728,0.0008009199999999984,0.09999241408968484,0.10254373374133563,0.9959919323810618,0.09999286894081422,0.1025437630416771,0.9959921355859369,0.09999351011951856,0.10254394437774654,0.995992310500707,0.09999449972741908,0.10254492564278396,0.9959924423463947,0.0999978539162524,0.09999367465331047,0.9959943097832308,0.10254196960741041,0.09998753094023599,0.9959871756987494,0.10254206748957705,0.10254258478611392,1.0040144993026139,0.10254161441900157,0.10254232315979596,1.004013321649858,0.10254090825498956,0.10254182002947018,1.0040116443191274
6,39.25396563836816,8.760404010237513,0.8651028468739241,166.43563575506042,0.001000899999999999,0.09936172203883378,0.10318659026000275,0.9939942236220205,0.0993624692501968,0.10318676545707386,0.9939945238743497,0.09936353349767614,0.1031873605558394,0.9939947861945011,0.09936518642539044,0.10319016443286783,0.9939949806550479,0.09937239393786552,0.09936835191262328,0.9940001143552334,0.10318329525494144,0.09935115050588524,0.9939807635162387,0.10318371398741297,0.10318435433893958,1.0060226590506134,0.1031828205616953,0.10318371152026241,1.0060200261587013,0.10318146142200833,0.10318257332779358,1.0060163553018224
7,38.08352339515217,7.954111506672344,0.8641920180525631,181.6765520133623,0.0012008799999999997,0.0986066855550725,0.10395947664969495,0.991605106763901,0.0986074216425815,0.10396013990232186,0.9916050962509917,0.0986085448931658,0.10396177445396491,0.99160512296472,0.09861038691360353,0.10396854541715507,0.9916051396612353,0.09862241588889732,0.09862954851120131,0.99161706854505,0.10395488714238114,0.09858849591376817,0.991572652678605,0.10395591732900526,0.10395652689973188,1.008435347882076,0.10395416469828207,0.10395500858294661,1.0084296106795345,0.10395151528119231,0.10395239312270756,1.008421521735902
8,37.788767804882205,7.0301592609152905,0.8680788588244468,155.1618724210328,0.0014008600000000003,0.09773161378269626,0.10486607094445764,0.9888194653084301,0.09773276614130631,0.10486743858900102,0.9888193252792836,0.09773455673109205,0.10487072754767197,0.9888192585549131,0.09773751186583884,0.1048839524617611,0.9888191818063797,0.09776122706341812,0.09778068339175457,0.9888435416365248,0.10485484546707323,0.09769694180883108,0.9887551026938781,0.1048572501065423,0.10485716575405479,1.011246600386789,0.1048541837570044,0.10485396590561205,1.011235495137271,0.10484972314898813,0.10484880037433579,1.0112206365198875
9,36.583951914410385,6.001060473567598,0.8728263098746538,174.70301072087548,0.0016008399999999992,0.09673579955526906,0.10590605043122368,0.9856474886673118,0.09673707892959597,0.10590873455616855,0.9856468377989678,0.09673921459499088,0.10591493522476454,0.9856464612192297,0.09674287326016587,0.10593898686095941,0.9856462275834155,0.09678271492701086,0.09683704794836946,0.9856921392823631,0.10588468556183904,0.09667854628318122,0.9855310907115924,0.10588820353161427,0.10588793205499604,1.0144580946899684,0.10588110155543158,0.10587997899522439,1.0144310705738044,0.10587163731149601,0.10586846787808614,1.0143975086718864
