iteration,training_loss,validation_loss,iter_time,raw_grad_norm,lr,tau_0,sigma_0,theta_0,tau_1,sigma_1,theta_1,tau_2,sigma_2,theta_2
0,52552.01923096381,62.52665696472974,6.335277230013162,,,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0,0.10126272219280587,0.10126272219280587,1.0
1,52552.01923096381,62.52665696562132,12.208584632026032,0.0,1.0000000000000006e-06,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998,0.10126272219078061,0.10126272219078061,0.99999999998
2,52552.019531022386,62.52665697003911,12.926640211837366,0.0,5.500000000000001e-06,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987,0.1012627221796417,0.1012627221796417,0.99999999987
3,52552.01955954365,62.52607405246925,0.11094145802780986,254472.98994200543,1e-05,0.10125865656646162,0.10126678783993831,0.9999872234522386,0.10126678783858793,0.10125865656017323,0.9999872234741273,0.10126678784026197,0.10125865656161362,1.0000127759793573
4,52550.80659946995,62.525365931636344,0.11286909808404744,259748.57816131777,9.931634888554937e-06,0.10125592376660714,0.10127172306381531,0.9999718360318032,0.10127172449947648,0.10125372669971575,0.9999723000925453,0.10127172630801567,0.10125373842129243,1.0000282942044527
5,52549.308711856815,62.52460820182405,0.11113344598561525,255943.5622191087,9.728616793536588e-06,0.10125217626542087,0.10127701136435041,0.9999552889612329,0.10127700045619582,0.10124844258752137,0.9999560359650661,0.10127701436145878,0.10124845492550762,1.0000449102156799
6,52547.73207848535,62.523532720636126,0.13035581004805863,262548.2105934264,9.397114317029975e-06,0.1012548190164221,0.10128212531371224,0.9999499650231424,0.10128235499788867,0.10124324086257933,0.9999393915084056,0.10128240790236456,0.101248190605938,1.000061816018909
7,52546.064253182274,62.52252775807236,0.11112550809048116,255393.6167518385,8.947199994035402e-06,0.10125673135189037,0.10128724172296653,0.9999420222504728,0.10128761103589787,0.10123806208348948,0.9999228865034722,0.10128770005180661,0.1012469676213548,1.0000784327400398
8,52544.43659137621,62.521599613312446,0.10908732702955604,255370.98365365664,8.392544243589428e-06,0.10125807529733308,0.10129220413268793,0.9999326818715638,0.10129265205936722,0.10123305515086378,0.9999069846770471,0.10129276910062704,0.10124514763125972,1.0000943667612985
9,52542.873071284856,62.52075720713467,0.11143281497061253,254713.35241076606,7.75e-06,0.10125884913083957,0.10129689637053012,0.9999226845307737,0.10129737000753865,0.10122832889160172,0.9998919573868892,0.10129752125563826,0.10124294990893018,1.0001093193665906
10,52541.40725713373,62.51999991722469,0.1118515229318291,254855.59790512107,7.0390906449655104e-06,0.10125928519390232,0.10130123491718199,0.999912721164095,0.10130171319229948,0.10122396682874528,0.9998781376033747,0.10130188758415413,0.10124061904671008,1.0001230637525735
11,52540.058860115845,62.519332777192645,0.11064903507940471,255662.03828157083,6.281416799501188e-06,0.10125944259409748,0.10130515702356466,0.9999032060014905,0.10130562372364522,0.10122002624062698,0.9998656658320949,0.10130581886630557,0.1012382712869415,1.00013544268755
12,52538.84511560978,62.51875496623913,0.1173278100322932,255395.7303232667,5.500000000000001e-06,0.10125937738423132,0.10130862621123686,0.9998944290133235,0.10130906999590503,0.10121654306755493,0.9998546383457998,0.10130928553687671,0.10123602426172482,1.0001463613303978
13,52537.77556884349,62.51826299058785,0.13020150689408183,254945.8980410424,4.718583200498814e-06,0.10125919761539827,0.10131162799298557,0.999886596994991,0.10131204587800861,0.10121353220477251,0.9998451204363398,0.10131227642376389,0.10123396830820817,1.0001557826302607
14,52536.85275794338,62.51785318682717,0.11077128909528255,255017.11226954943,3.960909355034493e-06,0.10125893598503023,0.1013141647147965,0.9998798011231217,0.10131455522641829,0.10121098961585764,0.9998370761970258,0.10131479849100088,0.10123214681086158,1.000163728372827
15,52536.07496629045,62.517518603357395,0.11263255914673209,254735.1741704502,3.2500000000000015e-06,0.10125865449765872,0.1013162575949052,0.999874085306033,0.10131662443805127,0.1012088933119949,0.999830460414475,0.10131687558334279,0.10123059387596657,1.0001702728033208
16,52535.43445818657,62.51725174256785,0.11388365202583373,254202.66360553395,2.607455756410573e-06,0.10125836903300635,0.1013179442884789,0.9998693959910673,0.10131828876258653,0.1012072045668294,0.9998251256380836,0.10131854692317553,0.10122930367883774,1.0001755391545835
17,52534.91932151647,62.517042611625584,0.1282960658427328,254891.9394909947,2.0528000059646e-06,0.10125811125059292,0.10131927756184327,0.9998656417423093,0.10131960338000848,0.1012058707879929,0.999820918644259,0.10131986596730981,0.10122825825906583,1.0001796954038051
18,52534.51281458833,62.516880386317716,0.1150418461766094,254316.16125580555,1.6028856829700269e-06,0.10125787326962435,0.10132032203407841,0.9998626616190185,0.10132062861656736,0.101204826469674,0.9998176107738682,0.10132089792077524,0.10122741831379639,1.0001829470149604
19,52534.195561276494,62.51675102363321,0.10945167695172131,254516.41229057655,1.2713832064634127e-06,0.10125768929333039,0.10132115277864752,0.9998602813786855,0.10132145030328894,0.10120399710152561,0.9998150205872187,0.10132171814654839,0.10122675094742596,1.0001855309723238
20,52533.941996787325,62.51664235480437,0.11054925085045397,252433.3207322612,1.068365111445064e-06,0.10125751818871834,0.10132185257906182,0.9998582585866852,0.10132214214796827,0.10120329856746724,0.999812843541879,0.10132240814925592,0.10122618514275496,1.0001877047294008
