k,l2o,ldro_pep,lpep
1,31.948619229077934,37.48653551281869,30.947793775864906
2,8.709957461432811,9.067218531128466,10.597217887198738
3,3.199253484710265,11.339204828049464,4.630692810872731
4,0.49452562184581667,2.1296343472300765,2.400771602175518
5,0.16803350322097266,0.9019318067303008,1.3506242576388912
6,0.10433009159732902,0.06163374311422793,0.7669339506765253
7,0.018416825918144912,0.02543325350559056,0.449892870354179
8,0.007165701406128749,0.006713209315563238,0.2871828962964031
9,0.0020338302338736053,0.011957292097477463,0.1820217982303886
10,0.0011884145982089267,0.011555400024075914,0.11093466545456877
11,0.0007611886224743556,0.0006183167543832957,0.073032660868991
12,0.0004626617510162853,0.0005070486334628288,0.04981067500795967
13,0.00026680125757649073,0.0004503977572256934,0.03319534901911886
14,0.00015598264068605362,0.00017768819597181902,0.02240307636002366
