eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.0,0.0,0.0
5e-05,0.014,0.046,0.0
0.0001,0.022,0.172,0.0
0.0005,0.092,0.814,0.0
0.001,0.158,0.92,0.0
0.005,0.354,0.98,0.022
0.01,0.474,0.994,0.266
0.05,0.696,1.0,1.0
0.1,0.824,1.0,1.0
0.5,0.954,1.0,1.0
1.0,0.976,1.0,1.0
