k,l2o_t,ldro_pep_t,lpep_t
1,0.1423518573506148,0.1856045398746778,0.1492303995931894
2,0.2359102996471843,0.1190990547312993,0.1430440653475351
3,0.1080594764339116,0.7070925825000669,0.1501522709385033
4,0.4945878864039917,0.1207593780039838,0.1428208326975401
5,0.1543745833881263,0.1081221587577258,0.1405528396562559
6,0.1026328752359849,0.2978846130144297,0.1487325092187632
7,0.6318855532514693,0.1528269710019986,0.1495381723949892
8,0.2782031247414583,0.4790804014042405,0.1341993236235869
9,0.1501144399128658,0.2706610671974084,0.1406634533755794
10,0.1437528915835318,0.0018210653766813,0.1559603820717564
11,0.1676204396366685,0.0950767931288183,0.1378277677821312
12,0.1942211915164084,0.0545240516493922,0.1298569545760912
13,0.2188021046811821,0.0427590580916055,0.1393194261294644
14,0.2233822470182233,0.3659590602027356,0.1376202814525175
