eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.0,0.0,0.0
1e-05,0.002,0.0,0.0
5e-05,0.19,0.11,0.0
0.0001,0.408,0.366,0.0
0.0005,0.974,0.958,0.0
0.001,0.998,0.996,0.0
0.005,1.0,1.0,0.0
0.01,1.0,1.0,0.052
0.05,1.0,1.0,0.984
