eta,l2o,ldro_pep,lpep
1e-06,0.0,0.0,0.0
5e-06,0.002,0.0,0.0
1e-05,0.008,0.001,0.0
5e-05,0.152,0.128,0.0
0.0001,0.409,0.343,0.0
0.0005,0.96,0.95,0.0
0.001,0.998,0.996,0.0
0.005,1.0,1.0,0.001
0.01,1.0,1.0,0.068
0.05,1.0,1.0,0.976
