k,l2o,ldro_pep,lpep
1,31.888580302081596,37.07766871110919,30.844866757608724
2,8.619912910817403,9.095784162436754,10.615185137814422
3,3.2221717689074727,11.189332645505074,4.653611180702257
4,0.4952575538788352,2.119917800046342,2.418132454112687
5,0.16925408233352235,0.898929753942619,1.3624856826920868
6,0.10557530602670356,0.06199931955936632,0.7746161733430517
7,0.018521366238280206,0.025680461070073768,0.4548348362847171
8,0.007238266430944584,0.00681142525464773,0.29054015376956005
9,0.002092567829597431,0.012150596483154693,0.18427368627235824
10,0.0012303854592791068,0.011742346721434488,0.11239035988952505
11,0.0007900491936811574,0.0006425897318683612,0.0740390460125728
12,0.00048152772414195683,0.0005292356653894318,0.050529293732919485
13,0.00027874054956325827,0.00047080853443086086,0.03369933858018427
14,0.0001639218283993033,0.0001853450187343941,0.022761247877922816
