k,l2o,ldro_pep,lpep
1,33.25186733398485,49.2912211899178,33.4569667782413
2,14.08606383347361,8.789173812523094,10.550956711338872
3,2.8756450248778536,31.69044000607181,4.374345715779102
4,1.6624322180818354,3.30514570232601,2.144648049264162
5,0.5932259487118797,0.8774657788790907,1.1597590345732203
6,0.07860964041979573,0.15420301117803034,0.6390755695376233
7,0.1166630487362944,0.05901298615882693,0.36456165580870836
8,0.3944422189651738,0.6301482711728241,0.22713495409324674
9,0.1412298279735049,2.1963866042989713,0.1406036084321204
10,0.04072586566851466,2.1123189377198934,0.08348968728007551
11,0.02559705999462428,0.0013875336936570487,0.05376941999045801
12,0.02963128749332556,0.00043274569190216984,0.035943697766907444
13,0.05335015724678689,0.0002680303967124425,0.02344371909034651
14,0.103853792637535,0.0005540369543299916,0.015494689461916367
