Framework,K,IDeta1,IDeta2,IDeta3,OODeta1,OODeta2,OODeta3
L2O,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.000
,3,0.000,0.000,0.000,0.000,0.000,0.000
,4,0.000,0.000,0.000,0.000,0.000,0.000
,5,0.000,0.000,0.080,0.000,0.000,0.026
,6,0.000,0.000,0.936,0.000,0.000,0.326
,7,0.000,0.074,1.000,0.000,0.018,0.642
,8,0.000,0.822,1.000,0.000,0.174,0.716
,9,0.154,0.998,1.000,0.032,0.380,0.828
,10,0.488,1.000,1.000,0.074,0.468,0.886
,11,0.810,1.000,1.000,0.108,0.476,0.864
,12,0.950,1.000,1.000,0.150,0.500,0.866
,13,0.982,1.000,1.000,0.122,0.430,0.806
,14,0.998,1.000,1.000,0.158,0.474,0.824
,15,1.000,1.000,1.000,0.154,0.458,0.784
DR-L2O,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.000
,3,0.000,0.000,0.000,0.000,0.000,0.000
,4,0.000,0.000,0.000,0.000,0.000,0.000
,5,0.000,0.000,0.000,0.000,0.000,0.000
,6,0.000,0.000,0.004,0.000,0.000,0.040
,7,0.000,0.000,0.348,0.000,0.000,0.578
,8,0.000,0.182,1.000,0.000,0.024,0.578
,9,0.000,0.006,0.980,0.000,0.000,0.210
,10,0.004,0.884,1.000,0.014,0.822,1.000
,11,0.000,0.534,1.000,0.000,0.446,0.998
,12,0.642,1.000,1.000,0.086,0.656,0.992
,13,0.998,1.000,1.000,0.992,1.000,1.000
,14,0.996,1.000,1.000,0.920,0.994,1.000
,15,1.000,1.000,1.000,0.870,0.998,1.000
OPT-PEP,1,0.000,0.000,0.000,0.000,0.000,0.000
,2,0.000,0.000,0.000,0.000,0.000,0.000
,3,0.000,0.000,0.000,0.000,0.000,0.000
,4,0.000,0.000,0.000,0.000,0.000,0.000
,5,0.000,0.000,0.000,0.000,0.000,0.000
,6,0.000,0.000,0.000,0.000,0.000,0.000
,7,0.000,0.000,0.000,0.000,0.000,0.000
,8,0.000,0.000,0.002,0.000,0.000,0.024
,9,0.000,0.000,0.052,0.000,0.000,0.222
,10,0.000,0.000,0.514,0.000,0.000,0.768
,11,0.000,0.000,0.806,0.000,0.000,0.948
,12,0.000,0.000,0.980,0.000,0.006,0.998
,13,0.000,0.008,0.998,0.000,0.074,1.000
,14,0.000,0.052,1.000,0.000,0.266,1.000
,15,0.000,0.232,1.000,0.000,0.524,1.000
