row,eta,K,training_sample_N,arch,frac_solved
ood,0.001,11,1000,lpep,0.0
ood,0.001,12,1000,lpep,0.0
ood,0.001,13,1000,lpep,0.0
ood,0.001,14,1000,lpep,0.0
ood,0.001,15,1000,lpep,0.0
ood,0.01,1,1000,l2o,0.0
ood,0.01,2,1000,l2o,0.0
ood,0.01,3,1000,l2o,0.0
ood,0.01,4,1000,l2o,0.0
ood,0.01,5,1000,l2o,0.0
ood,0.01,6,1000,l2o,0.0
ood,0.01,7,1000,l2o,0.018
ood,0.01,8,1000,l2o,0.174
ood,0.01,9,1000,l2o,0.38
ood,0.01,10,1000,l2o,0.468
ood,0.01,11,1000,l2o,0.476
ood,0.01,12,1000,l2o,0.5
ood,0.01,13,1000,l2o,0.43
ood,0.01,14,1000,l2o,0.474
ood,0.01,15,1000,l2o,0.458
ood,0.01,1,1000,ldro_pep,0.0
ood,0.01,2,1000,ldro_pep,0.0
ood,0.01,3,1000,ldro_pep,0.0
ood,0.01,4,1000,ldro_pep,0.0
ood,0.01,5,1000,ldro_pep,0.0
ood,0.01,6,1000,ldro_pep,0.0
ood,0.01,7,1000,ldro_pep,0.0
ood,0.01,8,1000,ldro_pep,0.024
ood,0.01,9,1000,ldro_pep,0.0
ood,0.01,10,1000,ldro_pep,0.822
ood,0.01,11,1000,ldro_pep,0.446
ood,0.01,12,1000,ldro_pep,0.656
ood,0.01,13,1000,ldro_pep,1.0
ood,0.01,14,1000,ldro_pep,0.994
ood,0.01,15,1000,ldro_pep,0.998
ood,0.01,1,1000,lpep,0.0
ood,0.01,2,1000,lpep,0.0
ood,0.01,3,1000,lpep,0.0
ood,0.01,4,1000,lpep,0.0
ood,0.01,5,1000,lpep,0.0
ood,0.01,6,1000,lpep,0.0
ood,0.01,7,1000,lpep,0.0
ood,0.01,8,1000,lpep,0.0
ood,0.01,9,1000,lpep,0.0
ood,0.01,10,1000,lpep,0.0
ood,0.01,11,1000,lpep,0.0
ood,0.01,12,1000,lpep,0.006
ood,0.01,13,1000,lpep,0.074
ood,0.01,14,1000,lpep,0.266
ood,0.01,15,1000,lpep,0.524
ood,0.1,1,1000,l2o,0.0
ood,0.1,2,1000,l2o,0.0
ood,0.1,3,1000,l2o,0.0
ood,0.1,4,1000,l2o,0.0
ood,0.1,5,1000,l2o,0.026
ood,0.1,6,1000,l2o,0.326
ood,0.1,7,1000,l2o,0.642
ood,0.1,8,1000,l2o,0.716
ood,0.1,9,1000,l2o,0.828
ood,0.1,10,1000,l2o,0.886
ood,0.1,11,1000,l2o,0.864
ood,0.1,12,1000,l2o,0.866
ood,0.1,13,1000,l2o,0.806
ood,0.1,14,1000,l2o,0.824
ood,0.1,15,1000,l2o,0.784
ood,0.1,1,1000,ldro_pep,0.0
ood,0.1,2,1000,ldro_pep,0.0
ood,0.1,3,1000,ldro_pep,0.0
ood,0.1,4,1000,ldro_pep,0.0
ood,0.1,5,1000,ldro_pep,0.0
ood,0.1,6,1000,ldro_pep,0.04
ood,0.1,7,1000,ldro_pep,0.578
ood,0.1,8,1000,ldro_pep,0.578
ood,0.1,9,1000,ldro_pep,0.21
ood,0.1,10,1000,ldro_pep,1.0
ood,0.1,11,1000,ldro_pep,0.998
ood,0.1,12,1000,ldro_pep,0.992
ood,0.1,13,1000,ldro_pep,1.0
ood,0.1,14,1000,ldro_pep,1.0
ood,0.1,15,1000,ldro_pep,1.0
ood,0.1,1,1000,lpep,0.0
ood,0.1,2,1000,lpep,0.0
ood,0.1,3,1000,lpep,0.0
ood,0.1,4,1000,lpep,0.0
ood,0.1,5,1000,lpep,0.0
ood,0.1,6,1000,lpep,0.0
ood,0.1,7,1000,lpep,0.0
ood,0.1,8,1000,lpep,0.024
ood,0.1,9,1000,lpep,0.222
ood,0.1,10,1000,lpep,0.768
ood,0.1,11,1000,lpep,0.948
ood,0.1,12,1000,lpep,0.998
ood,0.1,13,1000,lpep,1.0
ood,0.1,14,1000,lpep,1.0
ood,0.1,15,1000,lpep,1.0
