Framework,K,Time
L2O,1,$0.003 \pm 0.001$
,5,$0.006 \pm 0.001$
,10,$0.009 \pm 0.005$
,15,$0.011 \pm 0.001$
DR-L2O,1,$1.181 \pm 1.102$
,5,$1.740 \pm 1.135$
,10,$1.969 \pm 0.360$
,15,$11.064 \pm 1.261$
OPT-PEP,1,$0.009 \pm 0.004$
,5,$0.017 \pm 0.006$
,10,$0.050 \pm 0.005$
,15,$0.202 \pm 0.011$
