Framework,K,IDmean,IDq10,IDmed,IDq90,OODmean,OODq10,OODmed,OODq90
L2O,1,3.07e1,2.72e1,3.06e1,3.43e1,3.42e1,2.91e1,3.36e1,3.94e1
,2,8.85e0,7.16e0,8.84e0,1.06e1,1.07e1,8.12e0,1.03e1,1.34e1
,3,2.92e0,2.19e0,2.90e0,3.74e0,3.42e0,2.46e0,3.24e0,4.59e0
,4,4.60e-1,3.15e-1,4.39e-1,6.35e-1,1.14e0,4.43e-1,8.47e-1,2.10e0
,5,1.72e-1,1.04e-1,1.59e-1,2.58e-1,4.14e-1,1.37e-1,2.91e-1,7.77e-1
,6,5.87e-2,3.27e-2,5.41e-2,9.15e-2,2.93e-1,5.12e-2,1.49e-1,6.08e-1
,7,2.41e-2,1.15e-2,2.13e-2,4.07e-2,1.38e-1,1.79e-2,6.18e-2,2.96e-1
,8,6.93e-3,2.99e-3,6.05e-3,1.19e-2,1.12e-1,6.53e-3,3.83e-2,2.56e-1
,9,2.33e-3,8.87e-4,1.98e-3,4.09e-3,6.99e-2,2.22e-3,1.87e-2,1.60e-1
,10,1.23e-3,3.96e-4,1.02e-3,2.30e-3,5.24e-2,1.24e-3,1.23e-2,1.17e-1
,11,6.64e-4,1.84e-4,5.29e-4,1.27e-3,6.00e-2,9.33e-4,1.21e-2,1.33e-1
,12,3.86e-4,9.99e-5,3.03e-4,7.57e-4,6.14e-2,6.41e-4,1.01e-2,1.34e-1
,13,2.46e-4,5.89e-5,1.92e-4,4.79e-4,9.90e-2,8.70e-4,1.49e-2,2.09e-1
,14,1.56e-4,3.82e-5,1.22e-4,3.09e-4,1.04e-1,5.61e-4,1.34e-2,2.26e-1
,15,1.07e-4,2.63e-5,8.28e-5,2.10e-4,1.33e-1,5.71e-4,1.59e-2,2.81e-1
DR-L2O,1,3.07e1,2.72e1,3.06e1,3.43e1,3.42e1,2.91e1,3.36e1,3.94e1
,2,8.57e0,6.99e0,8.53e0,1.02e1,9.53e0,7.58e0,9.28e0,1.18e1
,3,3.79e0,2.91e0,3.77e0,4.75e0,4.89e0,3.46e0,4.60e0,6.61e0
,4,1.31e0,9.16e-1,1.29e0,1.75e0,1.86e0,1.13e0,1.66e0,2.78e0
,5,8.15e-1,5.41e-1,7.91e-1,1.13e0,1.02e0,6.12e-1,9.28e-1,1.50e0
,6,2.74e-1,1.62e-1,2.58e-1,4.05e-1,2.17e-1,1.25e-1,2.03e-1,3.23e-1
,7,1.25e-1,7.19e-2,1.17e-1,1.88e-1,9.99e-2,5.75e-2,9.25e-2,1.53e-1
,8,1.88e-2,8.05e-3,1.66e-2,3.30e-2,1.68e-1,1.95e-2,7.74e-2,3.64e-1
,9,4.01e-2,1.80e-2,3.58e-2,6.64e-2,6.07e-1,6.10e-2,2.79e-1,1.34e0
,10,5.81e-3,2.10e-3,4.96e-3,1.06e-2,7.12e-3,1.85e-3,5.03e-3,1.31e-2
,11,1.08e-2,4.84e-3,9.52e-3,1.85e-2,1.39e-2,4.80e-3,1.09e-2,2.45e-2
,12,9.67e-4,3.15e-4,7.81e-4,1.77e-3,1.19e-2,1.13e-3,5.63e-3,2.58e-2
,13,1.46e-4,4.65e-5,1.14e-4,2.79e-4,1.14e-4,3.84e-5,7.44e-5,1.96e-4
,14,1.78e-4,4.72e-5,1.36e-4,3.52e-4,5.54e-4,7.38e-5,2.22e-4,7.56e-4
,15,4.83e-5,1.05e-5,3.36e-5,1.02e-4,5.21e-4,2.38e-5,1.78e-4,1.21e-3
OPT-PEP,1,3.13e1,2.80e1,3.14e1,3.47e1,3.33e1,2.91e1,3.32e1,3.76e1
,2,9.24e0,7.62e0,9.23e0,1.09e1,1.00e1,8.08e0,9.79e0,1.22e1
,3,4.45e0,3.46e0,4.43e0,5.52e0,4.30e0,3.34e0,4.21e0,5.41e0
,4,2.06e0,1.50e0,2.04e0,2.66e0,1.96e0,1.43e0,1.91e0,2.55e0
,5,1.21e0,8.47e-1,1.20e0,1.61e0,1.05e0,7.30e-1,1.02e0,1.43e0
,6,7.62e-1,5.10e-1,7.44e-1,1.03e0,6.35e-1,4.23e-1,6.03e-1,8.89e-1
,7,4.06e-1,2.58e-1,3.89e-1,5.69e-1,3.29e-1,2.08e-1,3.12e-1,4.72e-1
,8,2.73e-1,1.70e-1,2.59e-1,3.91e-1,2.15e-1,1.31e-1,2.02e-1,3.15e-1
,9,1.87e-1,1.11e-1,1.76e-1,2.74e-1,1.44e-1,8.51e-2,1.35e-1,2.17e-1
,10,1.06e-1,6.07e-2,9.89e-2,1.61e-1,7.99e-2,4.41e-2,7.31e-2,1.23e-1
,11,7.51e-2,4.13e-2,6.98e-2,1.15e-1,5.54e-2,2.94e-2,4.99e-2,8.76e-2
,12,4.77e-2,2.53e-2,4.36e-2,7.57e-2,3.43e-2,1.74e-2,3.06e-2,5.56e-2
,13,3.29e-2,1.69e-2,2.99e-2,5.33e-2,2.33e-2,1.14e-2,2.07e-2,3.85e-2
,14,2.24e-2,1.12e-2,2.03e-2,3.68e-2,1.55e-2,7.28e-3,1.38e-2,2.61e-2
,15,1.61e-2,7.89e-3,1.45e-2,2.67e-2,1.10e-2,4.97e-3,9.59e-3,1.88e-2
