K,obj,val,solvetime
1,obj_val,9.34865534127441,0.002926278
2,obj_val,5.609182181944604,0.00497729
3,obj_val,3.70804748866869,0.009262771
4,obj_val,2.6269476438441273,0.017235614
5,obj_val,1.9572380757888235,0.032591578
6,obj_val,1.514620325008532,0.121415259
7,obj_val,1.2070947047277314,0.120502543
8,obj_val,0.9848180874589769,0.216625539
9,obj_val,0.818948337605142,0.215452806
10,obj_val,0.6918761176851609,0.319640063
11,obj_val,0.5923631036301226,0.379416195
12,obj_val,0.5129652206667037,0.460070103
13,obj_val,0.4485938473443471,0.527718609
14,obj_val,0.3956746602532197,0.755890098
15,obj_val,0.3516374928909866,0.994555761
16,obj_val,0.31459546218233203,1.109353803
17,obj_val,0.28313813784886044,1.504421173
18,obj_val,0.2561939711658939,1.761913291
19,obj_val,0.2329369736081038,3.453981502
20,obj_val,0.2127221000286611,3.37587107
21,obj_val,0.1950396210430568,4.107793652
22,obj_val,0.17948254263876165,4.858847407
23,obj_val,0.1657225141112528,5.066676082
24,obj_val,0.1534923517972263,6.216779019
25,obj_val,0.14257282449491057,7.14677295
26,obj_val,0.13278267376941408,7.58801101
27,obj_val,0.123970991296831,8.871484101
28,obj_val,0.11601128487036654,9.924464563
29,obj_val,0.10879688739817771,11.805908844
30,obj_val,0.1022372422581648,13.680208826
31,obj_val,0.09625556211109534,15.677784966
32,obj_val,0.09078554209149463,18.656694839
33,obj_val,0.08577027812761112,20.24858165
34,obj_val,0.08116066027866671,22.225098013
35,obj_val,0.07691404851346308,27.663145153
36,obj_val,0.07299303102266985,29.911308445
37,obj_val,0.06936514918571815,32.005717261
38,obj_val,0.06600231600014363,40.594704012
39,obj_val,0.06287879281389235,43.328825124
40,obj_val,0.05997190858059371,45.287232029
41,obj_val,0.05726309579740879,55.744554442
42,obj_val,0.0547334358524955,57.948186166
43,obj_val,0.05236934095370816,73.393219704
44,obj_val,0.05015484564099768,82.122394813
45,obj_val,0.04807860950345696,84.936020605
46,obj_val,0.04612867496156066,103.107226176
47,obj_val,0.04429529500281925,108.994035219
48,obj_val,0.042568898032494765,113.427994031
49,obj_val,0.040942209070412273,136.256884831
50,obj_val,0.039406875300103936,150.607026033
