split,K,mean,q10,median,q90,accept_rate
test,1,96.57674380185682,86.5668064464309,95.33071365600564,108.35919030843198,1.0
test,2,64.7431691882089,59.07360386124597,64.35311198701116,70.9812749058425,1.0
test,3,50.53207047840786,38.421302878234606,48.502842979707154,64.26247427147368,1.0
test,4,48.19405935457609,37.14347574176,46.442536315044265,60.64863788992048,1.0
test,5,45.18757020963809,35.39566164851603,43.743949519633404,56.41987533119955,1.0
test,6,41.650460758277056,33.24895626684478,40.56783830015226,51.61243824332583,1.0
test,7,37.8097205876284,30.635434072107795,36.87413680256324,46.28451472852172,1.0
test,8,33.95078968590675,27.883538696339595,32.914705416969284,41.705116320973,1.0
test,9,30.349713133971317,25.207849698064685,29.405039977399255,37.479907038467005,1.0
test,10,27.188058501208857,22.589171621014646,26.244202489776058,33.62911062442449,1.0
ood,1,483.83546659661914,342.22737436996397,463.4333454146731,634.4821856971295,1.0
ood,2,386.4222736497357,272.9998000453566,356.96433718332935,537.7716042900555,1.0
ood,3,396.5075223661929,232.96606679457565,405.2669641223358,564.5296144605134,1.0
ood,4,356.96256206165486,213.64087387104615,372.5288451230456,501.6312217954321,1.0
ood,5,313.472837653293,194.1938914450342,336.68413885460143,426.136811789059,1.0
ood,6,273.3988262062904,170.53593923530886,303.251695430439,365.69727732958887,1.0
ood,7,239.594552829637,150.33452243760755,259.9000186918121,313.8288628734685,1.0
ood,8,211.4931126815819,134.54060555692593,225.5483897471031,278.5985024923115,1.0
ood,9,188.10354297294035,122.19295884315544,200.52056214371032,247.93237577542286,1.0
ood,10,171.10796598590622,112.66055785707768,179.01823825333372,219.4502877096479,1.0
