split,K,mean,q10,median,q90,accept_rate
test,1,0.06559735927069382,0.05004231883582237,0.0638928851366187,0.08208213511876149,1.0
test,2,0.022299489389692374,0.013679727144948629,0.02142375173130004,0.032536948104045414,1.0
test,3,0.015525549332266263,0.009290742365540217,0.01441723767863523,0.023480986489889225,0.176
test,4,0.010274039683830356,0.005384982320106585,0.009214015233218409,0.01689371344382053,0.824
test,5,0.005937900389518811,0.0025527801808542584,0.0051911791325292,0.010486798892197205,1.0
test,6,0.0030072027129013365,0.000891860464652694,0.0025574975526646004,0.005767491217200676,0.976
test,7,0.002116564576567245,0.000617269460896197,0.001817768817584664,0.0040436406563664875,0.452
test,8,0.0017047168435718374,0.00042273744783888903,0.001389988327547248,0.003352598216507935,0.588
test,9,0.0013137245536152913,0.0002544185380308761,0.000992208095457081,0.0027490132269541107,0.984
test,10,0.0009234964111013391,0.00014569753130861396,0.0006508508527681145,0.0020986956169405657,0.976
test,11,0.0005922870613222097,5.917835813340489e-05,0.0003718981791514253,0.0012796398902508443,0.872
test,12,0.000474017104950236,4.4114925141064415e-05,0.00028733268009117907,0.0010007931991371398,0.376
test,13,0.0004134595166980868,3.457102939646295e-05,0.00021711732915721815,0.0008736060272418078,0.784
test,14,0.0003515635077562369,2.330439331960088e-05,0.00015358153760772209,0.0007485426904313139,0.968
test,15,0.00028842554772457764,1.383406038270585e-05,0.00010163254607090111,0.0006148420210562055,0.948
ood,1,0.050949717115743934,0.03582189445749466,0.0507376922281601,0.0681914702707167,1.0
ood,2,0.026199660407281843,0.014853446061961569,0.0237294538122238,0.039576424695682,0.212
ood,3,0.011250330211995676,0.006020199289072681,0.010561237121218314,0.017132894956046984,0.788
ood,4,0.006019247488822384,0.0027803504743147854,0.00555375310053724,0.009528992695228866,0.972
ood,5,0.004086474392561578,0.0015821216566453357,0.003510732130063532,0.0068401324782729235,0.24
ood,6,0.003057592845265257,0.0010075270887839106,0.0026362763022030056,0.005358405951271317,0.796
ood,7,0.0020225387641414592,0.000572549067875483,0.0016850980965138485,0.0038976805061552875,0.98
ood,8,0.0014841779173027543,0.000390961924465455,0.001193031557866625,0.0028458294168395293,0.556
ood,9,0.0010584246745601147,0.00023544619589320196,0.00081595855367117,0.0020195652749403323,0.616
ood,10,0.0007841824833166158,0.000138237184796125,0.0005882588331000138,0.0015579091695015923,0.848
ood,11,0.0005878718395353826,9.54973168101947e-05,0.00039599926000280505,0.0012215194315063403,0.884
ood,12,0.00046951540091905565,5.4494128036974845e-05,0.00027643723755030325,0.001017707765819359,0.432
ood,13,0.00038925248355738227,3.544623721393748e-05,0.0002139012912157623,0.0008327321236158147,0.744
ood,14,0.00032205264551776725,2.560897444878752e-05,0.00015688056093110525,0.0007287088680284825,0.912
ood,15,0.0002693969793120783,1.5663224527723286e-05,0.00011256855134811339,0.0006185211846069071,0.624
