split,K,mean,q10,median,q90,accept_rate
test,1,0.06559735927069382,0.05004231883582237,0.0638928851366187,0.08208213511876149,1.0
test,2,0.03366473903583385,0.023891641895623594,0.032099279658499374,0.04596565350451005,1.0
test,3,0.018628274005990816,0.011913721920890158,0.017223304494701858,0.027672456123756305,1.0
test,4,0.010599581548092079,0.005565102774451225,0.009290109945772757,0.01774029884656813,1.0
test,5,0.006239522850976117,0.0026673056810164464,0.005283127792971631,0.01138629625969189,1.0
test,6,0.0038101036128812007,0.0011900804612099193,0.0031151053132378315,0.007583314907862032,1.0
test,7,0.0024155323830427787,0.0005520512175742121,0.0019667350027872676,0.005104688076806213,1.0
test,8,0.0015836502474492506,0.00028139487827886226,0.001213840873766442,0.0036148827589735644,1.0
test,9,0.001066167060793525,0.00016890682282829085,0.0007585668893138331,0.0023740996116923757,1.0
test,10,0.0007319198826695346,0.00011029377839124611,0.0004515548394315172,0.0016460206830681333,1.0
test,11,0.000510564937340151,7.648149008976368e-05,0.0002591403487009203,0.001158103820549444,1.0
test,12,0.00036277662799168376,5.1106893582092416e-05,0.00016057397880481217,0.0008025154242657373,1.0
test,13,0.00026489369090245817,3.4798692632359576e-05,0.0001014332643834992,0.0005589648968812199,1.0
test,14,0.00020130621790757686,2.3040366026699787e-05,6.599801327664134e-05,0.0004252423416790829,1.0
test,15,0.000160889716205592,1.5239410721223924e-05,5.1384921806008066e-05,0.00034628666685060925,1.0
ood,1,0.050949717115743934,0.03582189445749466,0.0507376922281601,0.0681914702707167,1.0
ood,2,0.017524664323175024,0.010458077296391333,0.016965169987599976,0.024735303479823577,1.0
ood,3,0.012618599117228492,0.006100147696271391,0.011075026232395035,0.021314820499430308,1.0
ood,4,0.0076836241187241555,0.0030923113094613653,0.00623429510088197,0.013487939007325015,1.0
ood,5,0.008005016890775788,0.0018177021016896778,0.004518093094287856,0.01808666226036269,1.0
ood,6,0.004940947072522111,0.0010391499284630346,0.0029695821789558763,0.012032990116658237,1.0
ood,7,0.006237718952212697,0.0006831388619454093,0.002427601987815803,0.019133800480470805,1.0
ood,8,0.004130169617220709,0.0003811590084344341,0.0016973524567316933,0.010860764574210036,1.0
ood,9,0.005493774904011492,0.00023824566855569775,0.0019651409600847103,0.017235182702295588,1.0
ood,10,0.0038665308691991952,0.00015235073390226783,0.001652197774372699,0.010591828745297243,1.0
ood,11,0.005377061302475658,9.796410898855192e-05,0.002041245518767859,0.017196897120850253,1.0
ood,12,0.003947858353712147,7.402811880450889e-05,0.0017704374462386985,0.011286892953124602,1.0
ood,13,0.005825218959191164,8.386945900775712e-05,0.0022792964622958822,0.01918536167751026,1.0
ood,14,0.0042396899812636845,7.580893097922648e-05,0.0021737244577712256,0.011700615398327122,1.0
ood,15,0.006147560902492388,6.949130401686655e-05,0.002721172223607349,0.020561592526250366,1.0
