exp,split,K,coarse_ls,acc,L2O,DR-L2O,OPT-PEP
quad/gd,test,5,0.5564764592328081,0.3,0.1716603035353092,0.8154966753547508,1.213522074095812
quad/gd,test,10,0.0193528288792383,0.594,0.0012310282807484,0.0058054595360197,0.1064258386368383
quad/gd,test,15,0.0009499716496996,0.408,0.0001073925995723,4.825020228828084e-05,0.0161122293594495
quad/gd,ood,5,0.752887654552412,0.514,0.4143252706427771,1.017571782422412,1.0549435336429
quad/gd,ood,10,0.0254487343029725,0.378,0.0523662663615064,0.0071186445249863,0.07991641088398
quad/gd,ood,15,0.0014047568276905,0.384,0.1334205907370885,0.00052100196608,0.0109535317649223
lasso/ista,test,5,3.0198626254214425,0.9717741935483872,2.8937345622635884,7.400775814747961,6.741880494430315
lasso/ista,test,10,0.0975399282721457,0.9032258064516128,0.4264913905241579,1.652989565836336,3.074913411368096
lasso/ista,test,15,0.0046698571085503,0.5080645161290323,0.0785148655148832,0.0889248707542336,1.3104370182935396
lasso/ista,ood,5,10.53731768772316,0.896,33.65952340031114,17.444046204224417,16.242751286578418
lasso/ista,ood,10,1.3325532844045165,0.672,5438.131816140288,6.341596952982917,9.142772409724872
lasso/ista,ood,15,0.1570152839202558,0.588,6042580.4523307895,0.8220405110426825,5.062972496498668
logreg/fgm,test,5,0.0042440381718362,0.984,0.0025004208217779,0.0060901528346053,0.0189434312804959
logreg/fgm,test,10,0.0004169835428831,0.788,0.0002951499374389,0.0011671412417843,0.0033996943602034
logreg/fgm,test,15,0.0001200461644887,0.404,0.0001000175106855,0.0003332233410792,0.0008230045885856
logreg/fgm,ood,5,0.0033132223871386,0.268,0.0487439589925872,0.0026840823137531,0.0082719647220411
logreg/fgm,ood,10,0.000262970283748,0.612,0.0481646231323694,0.0003753968167711,0.0012974631413114
logreg/fgm,ood,15,8.405410638408183e-05,0.792,0.0284481070882391,0.0001100255262865,0.0002504947446173
pdlp/cp,test,5,79.49023492965932,1.0,5.989135435354507,8.143417417792316,35.00332630310768
pdlp/cp,test,10,62.88202785089245,0.0,8.058652905407662,2.927043669889204,7.032534333859989
pdlp/cp,ood,5,502.9134322905029,1.0,73.28405514885405,90.77792049500871,189.55249517778287
pdlp/cp,ood,10,444.95961834939,0.0,74.93247539730734,38.61713360503184,79.62522569966947
