split,K,mean,q10,median,q90,accept_rate
test,1,0.06559735927069382,0.05004231883582237,0.0638928851366187,0.08208213511876149,1.0
test,2,0.022299489389692374,0.013679727144948629,0.02142375173130004,0.032536948104045414,1.0
test,3,0.01299092678702674,0.007433841661122803,0.012516763777334128,0.01990149249032113,0.008
test,4,0.006773016552639273,0.0027557356834600312,0.005698012682165271,0.012458683724830355,0.992
test,5,0.004244038171836248,0.0014949537625161546,0.0037632342246986805,0.007742540606250169,0.984
test,6,0.002648473155951019,0.0008080612003123378,0.002259226986665225,0.00537922457122425,0.2
test,7,0.0015898515372554536,0.0003167292879558914,0.0012196523542795656,0.0036566844998224325,0.808
test,8,0.0009882173642440592,0.0002160147692057912,0.0007671683615081692,0.002125957572661852,0.94
test,9,0.000663496178987339,0.00013931229373142508,0.00048135136516580523,0.001391577673696009,0.308
test,10,0.0004169835428831998,6.016032447879183e-05,0.00023156538999838383,0.0009093651088659061,0.788
test,11,0.0003024589897390915,4.8549842942841036e-05,0.00017854788104476604,0.0006250239800127732,0.864
test,12,0.00022375074933039075,3.275603214272783e-05,0.00011409084890171006,0.00047500031819941446,0.352
test,13,0.00016239434639509965,1.450728457195738e-05,6.381152925058475e-05,0.00037190650705392627,0.78
test,14,0.00014038779372521715,1.408228275225909e-05,6.0103219079649106e-05,0.0003120012074823153,0.852
test,15,0.00012004616448877026,1.1474735721994644e-05,5.018366781323058e-05,0.0002727989335443104,0.404
ood,1,0.050949717115743934,0.03582189445749466,0.0507376922281601,0.0681914702707167,1.0
ood,2,0.026199660407281843,0.014853446061961569,0.0237294538122238,0.039576424695682,0.212
ood,3,0.011293209547669936,0.005508569101666145,0.010732475596604008,0.017320550758120345,0.788
ood,4,0.005914916618062636,0.0021186268980199928,0.0053164393206876215,0.01027651692975489,0.808
ood,5,0.003313222387138601,0.0013430190522811358,0.0028509559275863017,0.005835263026838805,0.268
ood,6,0.0014801876682745334,0.00036862862423740484,0.0012290059414391818,0.0029621533922312036,0.872
ood,7,0.0009897303158516709,0.00028882482200379145,0.0007752169124893293,0.001802260242840098,0.296
ood,8,0.0005840972976979211,0.00012498837716291568,0.0004290492139012725,0.0011933599293707576,0.736
ood,9,0.0003889046490140109,7.574909150016574e-05,0.00025628788212150866,0.0007772634615811847,0.44
ood,10,0.0002629702837480081,5.109738814542686e-05,0.00014333456387816135,0.000573146406053282,0.612
ood,11,0.0001856498147489576,2.1803684057541966e-05,9.772660480150686e-05,0.00042981058016408055,0.584
ood,12,0.00014332694860950813,1.4195167725850057e-05,6.203358941836434e-05,0.00034273441768991605,0.48
ood,13,0.00011216362011612646,1.1121307908612543e-05,3.715196488576766e-05,0.0002768509774819294,0.716
ood,14,9.792392817559837e-05,1.0510999667556753e-05,3.5983179591358994e-05,0.00023933956033643232,0.396
ood,15,8.405410638408183e-05,7.530756617241119e-06,2.9602727150274122e-05,0.00020830831140677408,0.792
