split,K,mean,q10,median,q90,accept_rate
test,1,96.57674380185682,86.5668064464309,95.33071365600564,108.35919030843198,1.0
test,2,103.2584588449548,78.28992213093642,98.98369237975069,131.83665282056194,1.0
test,3,84.01684033016694,66.19750714407374,80.99467730897042,106.19027510255192,1.0
test,4,82.53408369561068,65.23507129690326,79.72751857042776,103.91617566307545,0.0
test,5,79.49023492965932,63.38867427105862,77.01642689356282,99.48812614416866,1.0
test,6,76.85108032897254,60.624208416701364,73.86620282682159,98.20548039466885,1.0
test,7,75.59111280634814,59.733974114356826,72.4035682651763,96.80504602004284,0.0
test,8,72.47824373347049,57.522240625731115,69.25645129055884,92.81383100774696,1.0
test,9,64.58859667252979,51.79202003374532,61.60404566239528,82.6918385214264,1.0
test,10,62.88202785089245,50.585674103297315,59.93747919773149,80.35433321683541,0.0
ood,1,483.83546659661914,342.22737436996397,463.4333454146731,634.4821856971295,1.0
ood,2,767.3170073890054,465.1055217615258,793.9016391900743,1019.902651520304,1.0
ood,3,649.2235848651036,366.6674497684891,655.04177882209,897.952581192178,1.0
ood,4,613.8104645077158,356.7668178506211,622.7337468848044,840.0053690915356,0.0
ood,5,502.9134322905029,337.39400892044625,519.4227085483726,655.0318105618952,1.0
ood,6,496.88904034558453,330.42085114322236,507.9472287463386,657.6096174660609,1.0
ood,7,478.01910055987673,321.6373828375651,489.2689008816351,626.5535940420979,0.0
ood,8,451.00152784652136,306.48343458385267,460.46696495411356,583.0887138256101,1.0
ood,9,465.22884443317855,282.23022541611874,492.431820070826,644.8016113485432,1.0
ood,10,444.95961834939,274.0911618263419,471.6560127744615,609.3124513454833,0.0
