split,K,mean,q10,median,q90,accept_rate
test,1,22.193905845943,16.41953277131714,21.518472030152875,29.008428772476833,0.0
test,2,11.313775243451785,8.265318839196814,10.86543348222034,14.999060409318531,0.9879032258064516
test,3,7.548389950030056,5.203873077538156,7.137219977835022,10.428740324454754,0.9354838709677419
test,4,5.245323897550711,3.4217127761944144,5.020938332309425,7.329519359826633,0.9879032258064516
test,5,3.724848420746337,2.175352189924334,3.5062156152696993,5.337402680162936,1.0
test,6,2.6800787400114165,1.4599943482829598,2.5268643974980165,3.93955057347108,1.0
test,7,1.938318217147765,0.9445996811291878,1.825194148289789,2.9963274522464345,1.0
test,8,1.4056975865028993,0.6123614201444735,1.3347323491456304,2.272783887249489,1.0
test,9,1.0188653192225186,0.39943727764607045,0.9570813496300872,1.746259741020606,1.0
test,10,0.7376631952170383,0.2450682070948414,0.6850893545657311,1.342400380343524,1.0
test,11,0.5330711898024701,0.1512102752930563,0.496076078595836,1.0340144174757586,1.0
test,12,0.38475800560969753,0.08907256620213035,0.33535146876625,0.7689044043470021,1.0
test,13,0.27774847295448873,0.054794803211684597,0.2328950826699394,0.5842218863933698,1.0
test,14,0.20067561022553437,0.03467687409756338,0.1522299543442962,0.4413851549030856,1.0
test,15,0.1451904804073446,0.019735556429228758,0.10579016988740797,0.3390122438932771,1.0
ood,1,49.24337273927331,34.56315242413101,49.25612832375537,64.56906603430303,0.0
ood,2,28.00820650457534,17.97552772571964,27.642668250631296,38.237981674952856,0.628
ood,3,19.614358897253755,12.63987035533156,20.053255140676395,26.25955521869112,0.704
ood,4,14.82093988744591,9.232477559422312,15.07196970216144,20.18693173387948,0.956
ood,5,11.587933883781275,6.889559738216293,11.594194252357035,16.321615324596813,0.944
ood,6,9.162919677891635,5.2140633645208725,9.124026063145948,13.059492306627833,0.988
ood,7,7.304286972871192,3.945863481892115,7.241147516999771,10.829245200728838,1.0
ood,8,5.851041534061499,2.9900389012127877,5.741380358227477,8.940024912772689,1.0
ood,9,4.693020014394035,2.223920525924516,4.620000467840256,7.420327203337694,1.0
ood,10,3.767585532044579,1.6960459311214153,3.683444425041735,6.095560585628847,1.0
ood,11,3.0211003595142274,1.201735509281023,2.9017919792122484,4.9236894900047,1.0
ood,12,2.4178375491302333,0.882279611674307,2.2861895451521193,4.051637736165523,1.0
ood,13,1.9298295400006449,0.63303295975658,1.8044819316720861,3.422650158783117,1.0
ood,14,1.5357512007216167,0.4459589840930463,1.4359307865819275,2.867263627166639,1.0
ood,15,1.217841331006737,0.2969631015805053,1.0942447378782205,2.299911367026825,1.0
