exp,split,K,nocompound,compound,L2O,DR-L2O,OPT-PEP
lasso,test,5,3.724848420746337,3.0198626254214425,2.8937345622635884,7.400775814747961,6.741880494430315
lasso,test,10,0.7376631952170383,0.09753992827214575,0.4264913905241579,1.652989565836336,3.074913411368096
lasso,test,15,0.1451904804073446,0.0046698571085503114,0.0785148655148832,0.0889248707542336,1.3104370182935396
lasso,ood,5,11.587933883781275,10.53731768772316,33.65952340031114,17.444046204224417,16.242751286578418
lasso,ood,10,3.767585532044579,1.3325532844045165,5438.131816140288,6.341596952982917,9.142772409724872
lasso,ood,15,1.217841331006737,0.15701528392025585,6042580.4523307895,0.8220405110426825,5.062972496498668
logreg,test,5,0.006239522850976117,0.004244038171836248,0.0025004208217779,0.0060901528346053,0.0189434312804959
logreg,test,10,0.0007319198826695346,0.0004169835428831998,0.0002951499374389,0.0011671412417843,0.0033996943602034
logreg,test,15,0.000160889716205592,0.00012004616448877026,0.0001000175106855,0.0003332233410792,0.0008230045885856
logreg,ood,5,0.008005016890775788,0.003313222387138601,0.0487439589925872,0.0026840823137531,0.0082719647220411
logreg,ood,10,0.0038665308691991952,0.0002629702837480081,0.0481646231323694,0.0003753968167711,0.0012974631413114
logreg,ood,15,0.006147560902492388,8.405410638408183e-05,0.0284481070882391,0.0001100255262865,0.0002504947446173
pdlp,test,5,45.18757020963809,79.49023492965932,5.989135435354507,8.143417417792316,35.00332630310768
pdlp,test,10,27.188058501208857,62.88202785089245,8.058652905407662,2.927043669889204,7.032534333859989
pdlp,ood,5,313.472837653293,502.9134322905029,73.28405514885405,90.77792049500871,189.55249517778287
pdlp,ood,10,171.10796598590622,444.95961834939,74.93247539730734,38.61713360503184,79.62522569966947
