K,alpha,ISTA_worst_bound,ISTA_worst_sample,ISTA_exp_bound,ISTA_exp_eps,ISTA_exp_sample,ISTA_cvar_bound,ISTA_cvar_eps,ISTA_cvar_sample,FISTA_worst_bound,FISTA_worst_sample,FISTA_exp_bound,FISTA_exp_eps,FISTA_exp_sample,FISTA_cvar_bound,FISTA_cvar_eps,FISTA_cvar_sample
14,0.01,0.967078842240575,0.15075661976319,,,0.07886599983166426,0.2275606330175252,0.001,0.1496952524849799,0.3956746602532197,0.0084217202086014,0.0058572768658333,0.001,0.004914210280641828,0.0681328649739102,0.001,0.00788132720603
15,0.01,0.9046850160854903,0.1283685647735572,,,0.067234884810274,0.2006607475159247,0.001,0.1273629689231941,0.3516374928909866,0.0110023086292487,0.0071323786234102,0.001,0.0062490013136489945,0.065808845025236,0.001,0.0103408265824145
16,0.01,0.8498540144270005,0.1094189131720938,,,0.05739018918205387,0.1776385656290524,0.001,0.108460603363165,0.314595462182332,0.0123475330775862,0.0077601638766896,0.001,0.006941515498505377,0.0626931425690712,0.001,0.0116388398681764
17,0.01,0.8012894456812051,0.0933793013256718,,,0.04905742537617894,0.1579576881321749,0.001,0.09246107712951615,0.2831381378488604,0.0122479407619834,0.007639995737467,0.001,0.006883362717383134,0.0586163717341863,0.001,0.0115414183985019
18,0.01,0.7579751005427087,0.0798027471279168,,,0.04200430947048787,0.1410994907757434,0.001,0.0789185141003533,0.2561939711658939,0.0110401945895848,0.0069703952314046,0.001,0.006249654906555438,0.0538029084465939,0.001,0.01038040563001775
19,0.01,0.7191032556968393,0.0683109249239934,,,0.03603419789342115,0.1266386766104791,0.001,0.06745552472746735,0.2329369736081038,0.0092800681327979,0.0060448474865528,0.001,0.005329213402992913,0.0488845118996145,0.001,0.008704279097073851
20,0.01,0.6840237668457837,0.0585836198796493,,,0.030980733896475973,0.1142181451944766,0.001,0.0577526864972542,0.2127221000286611,0.0075013990397413,0.0051414298924677,0.001,0.004399292497759737,0.0446603201631701,0.001,0.0070108128211546
21,0.01,0.6522075362007624,0.0503498092167541,,,0.026703092281535515,0.1035380724400773,0.001,0.04953964372298986,0.1950396210430568,0.0060774192043833,0.0044159584669889,0.001,0.0036536312057704333,0.0409526431572448,0.001,0.0056551552695836005
22,0.01,0.6232193437299309,0.0433802030965244,,,0.023082065300427102,0.0942862418917202,0.001,0.042587619271744204,0.1794825426387616,0.0051758879680097,0.0039572201988459,0.001,0.0031792700338916114,0.0382492797755228,0.001,0.0047972202169500495
23,0.01,0.5966982891150597,0.037480513488673,,,0.0200167845081866,,,0.03670286762283455,0.1657225141112528,0.0047834272145567,0.0037496578135011,0.001,0.002969205390331211,0.0364947565743588,0.001,0.004430687391998551
24,0.01,0.5723421753040252,0.0324864012358191,,,0.017421900006967906,,,0.03172145568328245,0.1534923517972263,0.004768236821805,0.0037122505188081,0.001,0.002954928792406926,,,0.00441688000841735
25,0.01,0.5498963730491937,0.0282587697079701,0.0160108186509698,0.001,0.015225138485430304,0.0734842942190978,0.001,0.0275046304995981,0.1425728244949105,0.0049524247907359,0.0037690591856032,0.001,0.0030438628752557815,0.0342044590733797,0.001,0.0045885812841836
26,0.01,0.5291445740292736,0.0246798875148013,0.0141205852400485,0.001,0.013365310080605253,0.0682976897560408,0.001,0.023934951570598148,0.132782673769414,0.0051714205329814,0.0038405783248192,0.001,0.003150835141219417,0.0335876607921834,0.001,0.0047988253505506
27,0.01,0.5099020113823258,0.0216501068049842,0.0125169943442537,0.001,0.011790674614852423,0.063750336501238,0.001,0.020913017254802352,0.123970991296831,0.0053130060727566,0.0038709038466837,0.001,0.0032174176287206816,0.0328654272499,0.001,0.0049353424957973
28,0.01,0.4920097990247214,0.0190850856347299,0.0111565181407128,0.001,0.010457418178849242,0.0598031003493312,0.001,0.01835469400164945,0.1160112848703665,0.0053283166380135,0.0038362514005817,0.001,0.0032180730825422965,0.0320394448210386,0.001,0.0049515990446419005
29,0.01,0.4753306141094953,0.0169134369805175,0.0100017271066456,0.001,0.009328458321615893,0.0563529811705258,0.001,0.0161887711727955,0.1087968873981777,0.0052228168698666,0.00374359830212,0.001,0.0031559761353965065,0.0311683437381451,0.001,0.004852847765625799
30,0.01,0.4597451544038252,0.0150747388634607,0.0090214108251018,0.001,0.008372416484390102,0.0533235042728417,0.001,0.01435497608285705,0.1022372422581648,0.0050380152808057,0.0036173086037625,0.001,0.0030526961977140944,0.0303437697529109,0.001,0.0046785480446669
